Region-County-District-Type-School (RCDTS) ,District/Parent Entity,Facility,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %,year,state
030680030263102,Hillsboro CUSD 3,Hillsboro Comm Child Dev Ctr,16.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,2018,IL
03068005X060000,Bond/Christian/Effingham/Fayette/Montgomery ROE,Zion Lutheran School,144.0,30.0,5.0,0.0,0.7569444444444444,125.0,1.0,1.0,0.0,0.0,17.0,125.0,19.0,0.8680555555555556,2018,IL
030680120260001,Litchfield CUSD 12,Litchfield Senior High School,394.0,4.0,8.0,12.0,0.9695431472081218,393.0,0.0,1.0,0.0,0.0,0.0,393.0,1.0,0.9974619289340102,2018,IL
030680120261002,Litchfield CUSD 12,Litchfield Middle School,341.0,5.0,0.0,5.0,0.9853372434017595,340.0,1.0,0.0,0.0,0.0,0.0,340.0,1.0,0.9970674486803519,2018,IL
030680120262003,Litchfield CUSD 12,J D Colt Elem School,167.0,0.0,0.0,0.0,1.0,167.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,1.0,2018,IL
030680120262004,Litchfield CUSD 12,Madison Park Elem School,198.0,0.0,0.0,0.0,1.0,196.0,0.0,2.0,0.0,0.0,0.0,196.0,2.0,0.98989898989899,2018,IL
030680120262006,Litchfield CUSD 12,Russell Elem School,202.0,0.0,0.0,0.0,1.0,202.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,1.0,2018,IL
030680120263001,Litchfield CUSD 12,Litchfield Prekindergarten,94.0,2.0,0.0,2.0,0.9787234042553191,93.0,0.0,0.0,0.0,0.0,1.0,93.0,1.0,0.9893617021276596,2018,IL
030680220260001,Nokomis CUSD 22,Nokomis Jr/Sr High Sch,300.0,0.0,0.0,0.0,1.0,298.0,2.0,0.0,0.0,0.0,0.0,298.0,2.0,0.9933333333333333,2018,IL
030680220262003,Nokomis CUSD 22,North Elem School,325.0,2.0,0.0,2.0,0.9938461538461538,322.0,1.0,0.0,0.0,0.0,2.0,322.0,3.0,0.9907692307692307,2018,IL
04004001X060000,Boone/Winnebago ROE,Immanuel Lutheran School,239.0,0.0,0.0,0.0,1.0,234.0,5.0,0.0,0.0,0.0,0.0,234.0,5.0,0.9790794979079498,2018,IL
04004002X100000,Boone/Winnebago ROE,St James School,124.0,0.0,0.0,0.0,1.0,120.0,4.0,0.0,0.0,0.0,0.0,120.0,4.0,0.967741935483871,2018,IL
040041000260001,Belvidere CUSD 100,Belvidere High School,1282.0,0.0,26.0,22.0,0.9797191887675507,1277.0,4.0,0.0,1.0,0.0,0.0,1277.0,5.0,0.9960998439937597,2018,IL
040041000260002,Belvidere CUSD 100,Belvidere North High Sch,1526.0,10.0,8.0,18.0,0.9882044560943644,1516.0,6.0,2.0,2.0,0.0,0.0,1516.0,10.0,0.9934469200524246,2018,IL
040041000261002,Belvidere CUSD 100,Belvidere South Middle School,848.0,15.0,0.0,15.0,0.9823113207547169,839.0,7.0,2.0,0.0,0.0,0.0,839.0,9.0,0.9893867924528302,2018,IL
040041000261003,Belvidere CUSD 100,Belvidere Central Middle School,979.0,29.0,0.0,22.0,0.9703779366700716,970.0,8.0,0.0,0.0,0.0,1.0,970.0,9.0,0.9908069458631257,2018,IL
040041000262003,Belvidere CUSD 100,Caledonia Elem School,400.0,1.0,1.0,1.0,0.995,386.0,12.0,1.0,0.0,0.0,1.0,386.0,14.0,0.965,2018,IL
040041000262005,Belvidere CUSD 100,Lincoln Elem School,600.0,1.0,0.0,1.0,0.9983333333333333,598.0,1.0,0.0,0.0,0.0,1.0,598.0,2.0,0.9966666666666667,2018,IL
040041000262007,Belvidere CUSD 100,Perry Elem School,280.0,0.0,0.0,0.0,1.0,275.0,5.0,0.0,0.0,0.0,0.0,275.0,5.0,0.9821428571428571,2018,IL
040041000262008,Belvidere CUSD 100,Washington Academy,831.0,5.0,0.0,5.0,0.9939831528279182,820.0,5.0,0.0,1.0,0.0,5.0,820.0,11.0,0.98676293622142,2018,IL
040041000262009,Belvidere CUSD 100,Meehan Elementary School,612.0,4.0,0.0,4.0,0.9934640522875817,598.0,6.0,4.0,0.0,0.0,4.0,598.0,14.0,0.9771241830065359,2018,IL
040041000262010,Belvidere CUSD 100,Seth Whitman Elem Sch,668.0,0.0,1.0,1.0,0.9985029940119761,660.0,7.0,0.0,1.0,0.0,0.0,660.0,8.0,0.9880239520958084,2018,IL
040042000260003,North Boone CUSD 200,North Boone High School,492.0,7.0,6.0,13.0,0.9735772357723578,490.0,2.0,0.0,0.0,0.0,0.0,490.0,2.0,0.9959349593495935,2018,IL
040042000261001,North Boone CUSD 200,North Boone Middle School,268.0,0.0,0.0,0.0,1.0,263.0,5.0,0.0,0.0,0.0,0.0,263.0,5.0,0.9813432835820896,2018,IL
040042000262001,North Boone CUSD 200,Capron Elem School,190.0,0.0,1.0,1.0,0.9947368421052631,186.0,4.0,0.0,0.0,0.0,0.0,186.0,4.0,0.9789473684210527,2018,IL
040042000262002,North Boone CUSD 200,Manchester Elem School,160.0,0.0,1.0,1.0,0.99375,155.0,5.0,0.0,0.0,0.0,0.0,155.0,5.0,0.96875,2018,IL
040042000262004,North Boone CUSD 200,Poplar Grove Elem School,270.0,0.0,0.0,0.0,1.0,259.0,11.0,0.0,0.0,0.0,0.0,259.0,11.0,0.9592592592592593,2018,IL
040042000262005,North Boone CUSD 200,North Boone Upper Elem Sch,247.0,0.0,6.0,6.0,0.9757085020242915,244.0,3.0,0.0,0.0,0.0,0.0,244.0,3.0,0.9878542510121457,2018,IL
04101001Z020000,Boone/Winnebago ROE,Berean Baptist Christian School,211.0,1.0,0.0,0.0,0.995260663507109,195.0,13.0,2.0,1.0,0.0,0.0,195.0,16.0,0.9241706161137441,2018,IL
04101002Y100000,Boone/Winnebago ROE,Boylan Central Catholic High Sch,795.0,0.0,0.0,0.0,1.0,784.0,10.0,1.0,0.0,0.0,0.0,784.0,11.0,0.9861635220125786,2018,IL
04101003X100000,Boone/Winnebago ROE,Holy Family School,360.0,0.0,0.0,0.0,1.0,356.0,3.0,1.0,0.0,0.0,0.0,356.0,4.0,0.9888888888888889,2018,IL
04101004X060000,Boone/Winnebago ROE,Concordia Lutheran School,114.0,0.0,0.0,0.0,1.0,104.0,3.0,0.0,7.0,0.0,0.0,104.0,10.0,0.9122807017543859,2018,IL
04101005Z010000,Boone/Winnebago ROE,Keith Country Day School,210.0,0.0,0.0,0.0,1.0,202.0,0.0,0.0,8.0,0.0,0.0,202.0,8.0,0.9619047619047619,2018,IL
04101008X100000,Boone/Winnebago ROE,St Bridget School,404.0,0.0,0.0,0.0,1.0,403.0,1.0,0.0,0.0,0.0,0.0,403.0,1.0,0.9975247524752475,2018,IL
04101009X100000,Boone/Winnebago ROE,St Edward,104.0,0.0,0.0,0.0,1.0,102.0,2.0,0.0,0.0,0.0,0.0,102.0,2.0,0.9807692307692307,2018,IL
04101010X100000,Boone/Winnebago ROE,St James School,180.0,0.0,0.0,0.0,1.0,180.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,1.0,2018,IL
04101013X060000,Boone/Winnebago ROE,Concordia Lutheran  St Paul Cmpus,34.0,0.0,0.0,0.0,1.0,31.0,2.0,0.0,1.0,0.0,0.0,31.0,3.0,0.9117647058823529,2018,IL
