county,num_schools,num_students,full_immunization_count,full_immunization_perc,temp_medical_exemp_count,temp_medical_exemp_perc,perm_medical_exemp_count,perm_medical_exemp_perc,religious_exemp_count,religious_exemp_perc,30_day_exemp_count,30_day_exemp_perc,year,state
Sumter,11,742,722,97.3,1,0.1,1,0.1,18,2.4,0,0.0,2019,FL
Suwannee,12,545,528,96.9,4,0.7,0,0.0,11,2.0,0,0.0,2019,FL
Taylor,4,228,226,99.1,0,0.0,0,0.0,1,0.4,1,0.4,2019,FL
Union,2,220,218,99.1,0,0.0,1,0.5,1,0.5,0,0.0,2019,FL
Volusia,90,"5,542","5,282",95.3,59,1.1,14,0.3,142,2.6,9,0.2,2019,FL
Wakulla,7,375,368,98.1,0,0.0,0,0.0,7,1.9,0,0.0,2019,FL
Walton,23,846,808,95.5,5,0.6,1,0.1,28,3.3,4,0.5,2019,FL
Washington,7,309,305,98.7,1,0.3,0,0.0,3,1.0,0,0.0,2019,FL
Deaf/Blind (St Johns),2,42,40,95.2,1,2.4,0,0.0,1,2.4,0,0.0,2019,FL
FL Virtual (Statewide),1,482,435,90.2,6,1.2,4,0.8,35,7.3,0,0.0,2019,FL
FAU Lab Sch (St Lucie),1,179,170,95.0,0,0.0,0,0.0,9,5.0,0,0.0,2019,FL
FAU Lab Sch (Palm Bch),1,80,76,95.0,0,0.0,0,0.0,4,5.0,0,0.0,2019,FL
FSU Lab Sch (Leon),1,168,168,100.0,0,0.0,0,0.0,0,0.0,0,0.0,2019,FL
FAMU Lab Sch (Leon),1,64,63,98.4,0,0.0,0,0.0,1,1.6,0,0.0,2019,FL
UF Lab Sch (Alachua),1,108,103,95.4,2,1.9,0,0.0,3,2.8,0,0.0,2019,FL
Statewide,"2,993","247,092","237,386",96.1,"3,270",1.3,941,0.4,"4,796",1.9,240,0.1,2019,FL
Alachua,20,"2,204","2,131",96.7,11,0.5,6,0.3,56,2.5,0,0.0,2019,FL
Baker,2,417,411,98.6,0,0.0,0,0.0,6,1.4,0,0.0,2019,FL
Bay,18,"1,880","1,826",97.1,10,0.5,5,0.3,25,1.3,13,0.7,2019,FL
Bradford,2,221,217,98.2,0,0.0,0,0.0,3,1.4,1,0.5,2019,FL
Brevard,36,"6,001","5,835",97.2,6,0.1,8,0.1,150,2.5,2,0.0,2019,FL
Broward,101,"20,702","19,911",96.2,350,1.7,40,0.2,339,1.6,60,0.3,2019,FL
Calhoun,4,181,178,98.3,0,0.0,1,0.6,2,1.1,0,0.0,2019,FL
Charlotte,10,"1,168","1,139",97.5,1,0.1,1,0.1,27,2.3,0,0.0,2019,FL
Citrus,8,"1,245","1,190",95.6,25,2.0,2,0.2,28,2.2,0,0.0,2019,FL
Clay,15,"3,097","3,021",97.5,10,0.3,5,0.2,61,2.0,0,0.0,2019,FL
Collier,23,"3,736","3,612",96.7,34,0.9,10,0.3,80,2.1,0,0.0,2019,FL
Columbia,4,758,732,96.6,3,0.4,2,0.3,20,2.6,1,0.1,2019,FL
Dade,193,"26,781","25,501",95.2,499,1.9,520,1.9,261,1.0,0,0.0,2019,FL
DeSoto,2,330,326,98.8,2,0.6,1,0.3,1,0.3,0,0.0,2019,FL
Dixie,1,168,168,100.0,0,0.0,0,0.0,0,0.0,0,0.0,2019,FL
Duval,63,"9,675","9,347",96.6,118,1.2,28,0.3,147,1.5,35,0.4,2019,FL
Escambia,23,"3,149","3,037",96.4,46,1.5,5,0.2,50,1.6,8,0.3,2019,FL
Flagler,5,"1,089","1,052",96.6,0,0.0,2,0.2,35,3.2,0,0.0,2019,FL
Franklin,4,112,112,100.0,0,0.0,0,0.0,0,0.0,0,0.0,2019,FL
Gadsden,9,401,397,99.0,3,0.7,0,0.0,1,0.2,0,0.0,2019,FL
Gilchrist,2,189,187,98.9,1,0.5,1,0.5,0,0.0,0,0.0,2019,FL
Glades,5,184,183,99.5,0,0.0,1,0.5,0,0.0,0,0.0,2019,FL
Gulf,3,128,125,97.7,0,0.0,0,0.0,2,1.6,1,0.8,2019,FL
Hamilton,2,141,140,99.3,1,0.7,0,0.0,0,0.0,0,0.0,2019,FL
Hardee,2,409,403,98.5,3,0.7,1,0.2,2,0.5,0,0.0,2019,FL
Hendry,6,740,718,97.0,6,0.8,0,0.0,16,2.2,0,0.0,2019,FL
Hernando,14,"1,812","1,772",97.8,2,0.1,7,0.4,30,1.7,1,0.1,2019,FL
Highlands,7,943,926,98.2,5,0.5,1,0.1,11,1.2,0,0.0,2019,FL
Hillsborough,105,"16,808","16,324",97.1,208,1.2,14,0.1,262,1.6,0,0.0,2019,FL
Holmes,6,271,267,98.5,0,0.0,1,0.4,3,1.1,0,0.0,2019,FL
Indian River,9,"1,407","1,351",96.0,14,1.0,7,0.5,31,2.2,4,0.3,2019,FL
Jackson,8,449,444,98.9,2,0.4,0,0.0,3,0.7,0,0.0,2019,FL
Jefferson,2,62,59,95.2,1,1.6,1,1.6,1,1.6,0,0.0,2019,FL
Lafayette,1,102,99,97.1,1,1.0,0,0.0,2,2.0,0,0.0,2019,FL
Lake,23,"3,414","3,334",97.7,22,0.6,9,0.3,49,1.4,0,0.0,2019,FL
Lee,37,"7,526","7,270",96.6,64,0.9,18,0.2,165,2.2,3,0.0,2019,FL
Leon,21,"2,565","2,500",97.5,10,0.4,7,0.3,48,1.9,0,0.0,2019,FL
Levy,7,485,478,98.6,1,0.2,1,0.2,5,1.0,0,0.0,2019,FL
