county,num_schools,num_students,full_immunization_count,full_immunization_perc,temp_medical_exemp_count,temp_medical_exemp_perc,perm_medical_exemp_count,perm_medical_exemp_perc,religious_exemp_count,religious_exemp_perc,30_day_exemp_count,30_day_exemp_perc,year,state
Union,1,239,228,95.4,8,3.3,0,0.0,3,1.3,0,0.0,2019,FL
Volusia3,113,"5,135","4,830",94.1,88,1.7,18,0.4,185,3.6,5,0.1,2019,FL
Wakulla3,6,399,375,94.0,12,3.0,0,0.0,8,2.0,4,1.0,2019,FL
Walton3,21,906,831,91.7,25,2.8,2,0.2,43,4.7,5,0.6,2019,FL
Washington3,5,315,305,96.8,5,1.6,1,0.3,4,1.3,0,0.0,2019,FL
Deaf/Blind (St Johns),2,10,8,80.0,1,10.0,0,0.0,1,10.0,0,0.0,2019,FL
FL Virtual (Statewide),1,122,94,77.0,3,2.5,3,2.5,22,18.0,0,0.0,2019,FL
FAU Lab Sch (St Lucie),1,149,143,96.0,0,0.0,0,0.0,6,4.0,0,0.0,2019,FL
FAU Lab Sch (Palm Bch),1,54,45,83.3,3,5.6,0,0.0,6,11.1,0,0.0,2019,FL
FSU Lab Sch (Leon),1,114,114,100.0,0,0.0,0,0.0,0,0.0,0,0.0,2019,FL
FSU Lab Sch (Broward),1,96,88,91.7,6,6.3,0,0.0,2,2.1,0,0.0,2019,FL
FAMU Lab Sch (Leon),1,40,37,92.5,2,5.0,0,0.0,1,2.5,0,0.0,2019,FL
UF Lab Sch (Alachua),1,49,46,93.9,1,2.0,0,0.0,2,4.1,0,0.0,2019,FL
Statewide,"4,245","228,298","213,455",93.5,"6,380",2.8,855,0.4,"6,903",3.0,357,0.2,2019,FL
