,unnamed:_0,total_agriculture,total_construction,total_manufacturing,total_wholesale_trade,total_retail_trade,transportation_warehousing_utilities,total_information,total_finance_and_real_estate,total_scientific_administrative_and_waste_management_services,total_educational_healthcare_and_social_assistance,total_arts_and_entertainment,total_other_services,total_public_administration,total_management_business_science_and_arts_occupations,total_service_occupations,total_sales_and_office_occupations,total_natural_resources_and_maintenance_occupations,"total_production,_transportation,_and_material_moving_occupations",population_of_one_race_total,white,black_or_african_american,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_other_pacific_islander,population_of_one_race_some_other_race,median_age:_total,ed_total,ed_no_schooling_completed,ed_nursery_school,ed_kindergarten,ed_1st_grade,ed_2nd_grade,ed_3rd_grade,ed_4th_grade,ed_5th_grade,ed_6th_grade,ed_7th_grade,ed_8th_grade,ed_9th_grade,e_10th_grade,ed_11th_grade,ed_12th_grade_no_diploma,median_income,unemployed_pop_16_years_and_over,in_civilian_labor_force,under_19_no_health_insurance_coverage,19_to_34_years_no_health_insurance_coverage,35_to_64_years_no_health_insurance_coverage,health_insurance_total,65_years_and_over_no_health_insurance_coverage,total_population_estimate,state_fip,county_fip
262,"Iosco County, Michigan: Summary level: 050, state:26> county:069",133,584,1634,56,1413,908,79,304,684,1732,785,428,368,2056,1755,1910,1464,1923,24787,24088,184,257,190,2,66,52.9,19541,144,10,0,2,0,0,5,13,4,35,199,265,470,686,330,23828,710,9818,243,451,948,24874,3,25197,26,069
263,"Iron County, Michigan: Summary level: 050, state:26> county:071",163,352,551,73,588,225,112,186,210,996,394,309,243,1111,983,925,678,705,11020,10681,61,190,65,0,23,54.3,8710,64,0,3,0,0,0,0,0,4,14,28,145,225,166,124,24450,253,4655,126,185,413,10861,0,11152,26,071
264,"Isabella County, Michigan: Summary level: 050, state:26> county:073",766,1895,3419,596,3985,1001,354,1392,1654,10131,6397,1352,888,10759,8301,7063,2671,5036,68218,62196,1916,2271,1262,10,563,28.1,38770,266,2,4,0,17,9,11,31,80,85,484,401,736,594,591,18007,2582,36412,1468,2494,1857,70160,43,70688,26,073
265,"Jackson County, Michigan: Summary level: 050, state:26> county:075",445,3954,13654,1450,8191,3611,895,2769,5303,16785,5319,3337,2982,21940,12640,14891,5856,13368,153625,138511,12350,564,1310,35,855,41.2,110176,858,1,23,18,13,25,60,60,140,182,937,1349,2593,2386,1526,28006,4234,72929,1122,3309,4256,150711,14,158636,26,075
266,"Kalamazoo County, Michigan: Summary level: 050, state:26> county:077",1236,5747,22886,2970,14157,3813,1825,8408,11884,36089,14899,6015,3609,54147,25417,27193,8238,18543,250148,212216,29215,596,6259,108,1754,34.4,164642,858,20,8,33,71,66,74,69,542,465,882,962,1888,2740,1909,27981,7793,141331,1984,6426,5683,260675,85,262745,26,077
267,"Kalkaska County, Michigan: Summary level: 050, state:26> county:079",334,749,884,232,1067,301,109,278,510,1361,823,456,251,1497,1613,1517,1292,1436,17301,16871,170,158,95,0,7,44.4,12716,119,16,6,5,2,0,2,4,8,16,131,217,402,461,225,24739,584,7939,308,466,931,17528,0,17585,26,079
268,"Kent County, Michigan: Summary level: 050, state:26> county:081",4075,17073,63574,13691,36091,13392,4982,19688,33902,77383,29312,15903,6413,123725,52150,73539,24892,61173,621706,515653,62188,2334,19427,187,21917,35.3,427937,5484,86,187,326,746,884,626,1221,3032,1124,2987,3942,5962,6453,6658,30869,15531,351010,5424,15714,15922,643646,449,648121,26,081
269,"Keweenaw County, Michigan: Summary level: 050, state:26> county:083",16,76,50,2,103,20,3,57,51,226,132,25,61,346,222,109,83,62,2079,2048,19,8,4,0,0,57.5,1703,0,0,0,0,0,0,0,0,2,0,29,2,9,6,13,28204,70,892,5,64,85,2106,0,2111,26,083
270,"Lake County, Michigan: Summary level: 050, state:26> county:085",109,313,623,56,587,210,36,173,177,652,508,179,258,916,906,808,433,818,11436,10301,940,110,25,15,45,53.2,9151,118,0,0,0,14,4,16,23,13,79,119,211,453,307,250,18793,380,4261,142,127,430,11541,25,11852,26,085
271,"Lapeer County, Michigan: Summary level: 050, state:26> county:087",823,3611,9777,765,4305,1610,342,1761,3238,7864,2744,2141,1052,12650,6500,7468,5091,8324,86611,84158,1108,266,500,26,553,44.1,62492,596,4,10,44,3,54,26,37,292,102,432,768,1204,1183,941,30352,2381,42414,1191,1835,3220,86468,19,88038,26,087
272,"Leelanau County, Michigan: Summary level: 050, state:26> county:089",354,997,952,225,1120,353,109,658,862,2280,1173,343,424,3736,1850,2127,1137,1000,21249,20123,105,678,137,17,189,54.1,16727,62,0,0,0,20,2,9,2,46,8,87,37,139,119,195,32008,467,10317,175,436,490,21495,6,21652,26,089
273,"Lenawee County, Michigan: Summary level: 050, state:26> county:091",966,2614,9676,817,5059,1698,493,1592,3254,10909,3633,2215,1702,13193,8312,8880,4537,9706,95614,91576,2471,475,305,20,767,41.9,68399,572,0,0,0,41,63,45,95,138,199,616,919,1197,1377,967,28228,2221,46849,615,1748,2993,95105,51,98381,26,091
274,"Livingston County, Michigan: Summary level: 050, state:26> county:093",461,6987,17248,3497,11395,3584,1507,6037,10743,20509,8810,4364,2633,40537,14878,21955,8754,11651,186854,182813,1135,514,1760,122,510,43.5,132951,571,0,3,6,6,27,18,64,91,57,513,672,1239,1514,1635,38524,3784,101559,605,2552,3640,188829,22,189754,26,093
275,"Luce County, Michigan: Summary level: 050, state:26> county:095",86,107,201,43,228,84,25,57,74,485,285,89,321,665,492,421,214,293,5953,5043,429,409,32,8,32,44.7,4783,78,0,0,0,0,0,0,0,19,2,56,57,116,94,132,23277,142,2227,13,85,152,5292,0,6338,26,095
276,"Mackinac County, Michigan: Summary level: 050, state:26> county:097",133,373,262,54,486,292,27,152,269,719,1030,218,504,1279,1129,944,519,648,10229,8023,363,1731,74,17,21,52.8,8381,44,0,0,6,2,49,4,0,13,3,103,96,141,207,112,25157,492,5011,152,442,505,10663,7,10780,26,097
277,"Macomb County, Michigan: Summary level: 050, state:26> county:099",907,24193,91008,10485,47781,16602,5491,25606,41502,88612,40527,19550,15334,152364,74028,94221,32337,74648,849555,704624,101734,2804,34996,546,4851,40.9,613496,10030,198,135,99,177,548,714,1314,2568,1147,5410,6137,10443,11719,11086,31619,24273,451871,5142,17991,21474,863583,711,870325,26,099
278,"Manistee County, Michigan: Summary level: 050, state:26> county:101",185,759,1184,171,1058,333,118,349,547,2017,1739,375,683,2853,2473,1859,958,1375,23639,22297,710,437,92,16,87,49.3,18346,178,3,9,0,0,3,1,9,19,28,166,164,436,384,462,25053,624,10142,216,397,729,23218,9,24457,26,101
279,"Marquette County, Michigan: Summary level: 050, state:26> county:103",1186,1948,1976,468,4319,1227,506,1559,2297,8436,3692,1368,1558,10313,6765,7121,3185,3156,64615,62152,1118,545,627,32,141,39.1,44463,208,9,11,0,11,6,8,24,36,57,281,209,444,546,392,26510,1848,32388,227,1227,1230,64947,8,66686,26,103
280,"Mason County, Michigan: Summary level: 050, state:26> county:105",399,629,2069,248,1545,773,229,638,506,2889,1867,526,507,3821,2556,2706,1221,2521,28347,27438,261,285,167,0,196,46.2,20993,261,0,0,14,3,19,10,4,24,12,169,203,324,348,265,26094,592,13417,233,590,944,28669,13,28954,26,105
281,"Mecosta County, Michigan: Summary level: 050, state:26> county:107",459,1227,2891,292,2527,571,155,604,988,5570,1916,828,588,5280,4099,3516,1660,4061,42268,40183,1296,278,370,9,132,36.9,26926,295,7,12,0,2,0,14,2,51,80,338,304,553,635,341,20605,1364,19980,437,1236,1136,43013,35,43251,26,107
282,"Menominee County, Michigan: Summary level: 050, state:26> county:109",409,512,3368,284,998,565,126,387,484,1941,1062,521,241,2559,1931,2070,1159,3179,22477,21756,73,531,94,0,23,48.8,17185,125,0,0,2,0,0,14,0,14,47,129,125,251,376,204,25843,513,11411,187,336,533,22772,0,23074,26,109
283,"Midland County, Michigan: Summary level: 050, state:26> county:111",279,2738,8217,639,3756,1261,525,1762,3008,9361,3870,1779,944,15779,6774,7157,3400,5029,81701,77659,1167,358,1916,59,542,41.8,58374,384,5,57,5,52,0,22,5,59,75,368,328,671,670,662,30833,2100,40239,518,1442,1584,82737,50,83355,26,111
284,"Missaukee County, Michigan: Summary level: 050, state:26> county:113",743,542,1254,146,602,309,32,167,327,1278,438,247,237,1528,1095,1053,1184,1462,14727,14463,95,75,29,0,65,43.5,10439,55,4,0,0,0,3,3,0,38,47,132,138,268,258,149,24963,432,6754,283,437,542,14924,0,15028,26,113
285,"Monroe County, Michigan: Summary level: 050, state:26> county:115",943,4519,15099,1347,7365,5754,745,2480,4931,16009,5899,3415,1770,22255,11519,14019,7247,15236,146561,141090,3568,372,864,11,656,42.6,105199,626,0,11,10,20,3,84,39,150,193,780,971,2126,2204,1806,31107,3532,73808,783,1957,3405,148820,36,149727,26,115
286,"Montcalm County, Michigan: Summary level: 050, state:26> county:117",965,2320,5697,804,3601,1271,315,980,1881,5390,1581,1397,1176,6980,4542,5950,3589,6317,62248,60014,1387,332,224,58,233,40.7,44114,449,7,0,0,6,21,10,23,26,86,643,572,1007,1234,915,25605,1079,28457,979,1561,2030,60929,54,63413,26,117
287,"Montmorency County, Michigan: Summary level: 050, state:26> county:119",130,257,431,26,403,185,15,140,188,689,268,168,146,857,611,664,349,565,9116,8951,22,109,14,3,17,56.1,7389,63,0,21,0,0,0,19,0,16,11,78,150,231,241,135,23146,266,3312,95,185,429,9179,0,9265,26,119
288,"Muskegon County, Michigan: Summary level: 050, state:26> county:121",747,4142,20132,1424,8786,2566,700,2453,4868,16088,7275,4091,2586,21252,14959,14968,6221,18458,166946,140103,23499,1416,955,26,947,39.3,118362,1177,34,0,22,6,32,9,96,360,359,981,1075,2009,2163,2016,26491,5300,81158,960,3426,3844,168479,81,173297,26,121
289,"Newaygo County, Michigan: Summary level: 050, state:26> county:123",749,1807,4371,457,2036,973,206,850,1227,4527,1390,996,803,5722,3579,3710,2798,4583,47486,44979,595,412,186,0,1314,42.4,33734,311,0,0,0,28,14,18,17,147,130,521,440,833,938,616,25457,1074,21466,736,1003,1270,47829,9,48366,26,123
290,"Oakland County, Michigan: Summary level: 050, state:26> county:125",1596,27525,125783,15800,61328,19783,11792,48726,94214,140651,55656,26513,17315,323543,91263,135240,33304,63332,1217848,940365,170488,3413,93551,307,9724,40.9,884264,6639,84,71,112,315,398,488,955,1834,1475,4653,4564,9317,10519,10321,39352,29578,676260,7218,20706,26346,1246756,650,1253185,26,125
291,"Oceana County, Michigan: Summary level: 050, state:26> county:127",1197,824,2628,240,1003,375,80,310,770,2057,809,437,440,3041,1846,1844,1808,2631,25949,24986,293,255,63,5,347,43.2,18085,151,3,0,5,30,35,60,21,217,73,284,374,377,414,263,24491,696,11866,339,1005,975,26254,35,26416,26,127
292,"Ogemaw County, Michigan: Summary level: 050, state:26> county:129",346,604,924,229,1204,340,96,233,502,1859,747,265,250,1931,1435,1959,994,1280,20628,20169,68,221,136,0,34,50.4,15670,149,2,0,0,0,0,0,16,27,17,237,429,542,503,288,21906,666,8265,256,407,654,20587,15,20898,26,129
293,"Ontonagon County, Michigan: Summary level: 050, state:26> county:131",129,150,118,15,231,89,55,96,102,471,306,127,144,606,535,431,246,215,5756,5640,29,48,25,6,8,58.6,4855,42,0,3,0,0,0,0,0,10,10,18,46,61,111,65,24120,151,2184,71,74,270,5821,1,5877,26,131
294,"Osceola County, Michigan: Summary level: 050, state:26> county:133",455,717,2163,164,969,505,99,304,368,1862,579,425,324,2150,1554,1574,1184,2472,22915,22388,261,170,64,0,32,43.8,16313,148,0,9,3,15,7,12,0,18,24,377,188,443,378,223,23975,664,9598,568,644,984,22977,18,23290,26,133
295,"Oscoda County, Michigan: Summary level: 050, state:26> county:135",130,226,614,83,330,107,34,79,193,457,301,126,148,705,556,572,368,627,8112,7981,44,55,12,4,16,51.8,6137,93,0,0,0,0,0,10,0,11,22,243,88,253,186,111,24163,324,3152,343,319,421,8202,17,8248,26,135
296,"Otsego County, Michigan: Summary level: 050, state:26> county:137",469,720,1011,263,1713,680,85,426,574,2126,1601,675,490,3412,2077,2480,1196,1668,23863,23442,163,79,139,3,37,44.9,17417,114,0,0,0,0,0,6,7,18,9,116,163,254,358,344,26743,662,11495,187,597,834,24303,0,24490,26,137
297,"Ottawa County, Michigan: Summary level: 050, state:26> county:139",2582,8276,36070,4771,14461,5447,1863,6629,12060,33033,13019,7516,3223,52887,24574,30509,12253,28727,278571,256755,4425,907,7747,67,8670,35.2,178343,1568,15,14,42,59,151,42,73,872,297,1498,1392,2054,2107,2331,30688,5433,154383,1718,4796,4303,285197,96,286558,26,139
298,"Presque Isle County, Michigan: Summary level: 050, state:26> county:141",341,396,495,91,503,280,53,224,264,1128,453,217,233,1442,937,875,719,705,12519,12276,75,60,72,0,36,55.0,9933,84,0,0,0,0,2,0,3,18,13,177,137,233,209,160,25208,365,5043,166,265,440,12589,2,12714,26,141
299,"Roscommon County, Michigan: Summary level: 050, state:26> county:143",120,674,820,111,1314,368,48,416,531,1588,1096,424,434,2094,1670,2098,867,1215,23333,23020,39,174,69,0,31,56.2,18913,154,0,37,0,0,0,4,12,10,13,220,183,391,610,267,22948,826,8770,80,485,1022,23640,0,23851,26,143
300,"Saginaw County, Michigan: Summary level: 050, state:26> county:145",852,4336,13440,1576,10153,3375,1416,3919,6846,21902,8529,3771,2668,26143,17764,18096,6573,14207,185642,144268,35664,642,2284,17,2767,40.9,131963,1489,31,35,3,29,86,200,117,515,260,1208,1342,2498,3834,2369,25778,6144,88927,1011,3477,3962,188503,28,191821,26,145
301,"St. Clair County, Michigan: Summary level: 050, state:26> county:147",643,5669,16749,1249,8209,3812,875,2609,4826,15528,6080,3338,3574,22166,12942,14787,7882,15384,154759,148933,3554,284,1026,57,905,43.8,112812,835,37,46,17,12,72,30,54,136,129,721,1246,2570,2558,1942,28654,4966,78127,806,3318,3544,157967,32,159247,26,147
302,"St. Joseph County, Michigan: Summary level: 050, state:26> county:149",869,1301,11099,464,2394,1086,236,894,1242,4529,1996,1275,771,6971,3986,4901,2680,9618,58890,55964,1353,182,305,36,1050,39.6,40926,489,6,0,28,8,62,20,155,137,82,1301,765,869,854,549,27909,1306,29462,997,1667,2272,60301,98,60836,26,149
303,"Sanilac County, Michigan: Summary level: 050, state:26> county:151",1551,1350,4150,329,2065,726,179,617,826,3401,1260,734,654,4923,3072,3122,2594,4131,40689,39896,222,134,113,2,322,45.2,29346,347,7,18,5,0,20,3,14,60,28,664,366,685,712,487,25829,1137,18979,1101,1083,1417,40956,51,41295,26,151
304,"Schoolcraft County, Michigan: Summary level: 050, state:26> county:153",153,220,252,36,358,144,9,218,187,648,434,119,207,745,749,614,423,454,7598,6958,36,565,30,0,9,52.1,6167,98,0,8,0,0,11,0,8,6,0,56,89,80,143,81,22869,257,3242,91,106,254,7940,14,8048,26,153
305,"Shiawassee County, Michigan: Summary level: 050, state:26> county:155",518,2642,5752,701,3717,1665,449,1381,2181,7472,2367,1545,1488,8846,5705,6977,3783,6567,67045,65997,467,194,200,19,168,42.4,48017,289,0,18,26,0,6,18,8,13,40,371,532,728,960,733,29626,1544,33422,299,1081,1895,67937,5,68340,26,155
306,"Tuscola County, Michigan: Summary level: 050, state:26> county:157",925,1974,4252,580,2569,1238,257,734,1109,5759,1563,1256,706,6007,4422,4490,3301,4702,51869,50849,531,167,181,3,138,44.6,37942,304,0,2,3,30,0,10,33,38,53,506,308,1072,1016,670,25806,1301,24223,254,856,1597,52230,23,52939,26,157
307,"Van Buren County, Michigan: Summary level: 050, state:26> county:159",1455,2611,6638,923,4157,1410,276,1611,2666,7294,2934,1629,1151,10049,6472,6912,4567,6755,72183,64935,2520,770,534,23,3401,41.6,51685,761,19,7,3,63,103,19,178,522,215,721,818,1383,1074,784,27226,2095,36850,866,2054,3138,74775,21,75358,26,159
308,"Washtenaw County, Michigan: Summary level: 050, state:26> county:161",988,5775,22693,2542,16392,6068,3634,7287,22658,70827,19085,7536,4074,102890,29575,30949,7955,18190,351761,269998,43795,1541,33476,164,2787,33.6,229268,1170,50,12,39,49,197,61,102,361,171,903,838,1977,2433,2460,33914,8308,197867,1401,6331,4718,362262,83,367000,26,161
309,"Wayne County, Michigan: Summary level: 050, state:26> county:163",2352,30616,133533,17658,77943,46500,10238,43011,78609,167935,77209,34916,23674,245797,146290,159517,49576,143014,1713857,933616,680932,5767,58915,445,34182,37.9,1181985,18758,277,213,358,952,1393,1378,3732,7543,3753,11787,16326,27851,38133,27318,26659,75426,819620,12238,44343,51156,1744974,1753,1757299,26,163
310,"Wexford County, Michigan: Summary level: 050, state:26> county:165",341,793,3133,281,1771,786,123,507,907,2641,1632,657,439,3945,2367,2753,1355,3591,32489,31836,245,153,180,28,47,41.6,23078,259,0,2,0,0,19,2,20,20,84,283,256,521,548,385,24167,927,14938,346,824,1067,33062,10,33256,26,165
311,"Anderson County, Texas: Summary level: 050, state:48> county:001",1559,1292,1490,333,3468,1375,71,601,1314,3799,1129,937,1845,4063,4313,4466,2584,3787,56914,42217,12124,317,321,9,1926,39.3,42073,401,0,0,68,82,151,90,69,733,326,623,1146,1575,1746,841,23143,641,19854,1137,2270,3003,44396,6,57810,48,001
312,"Andrews County, Texas: Summary level: 050, state:48> county:003",2128,528,611,142,979,550,145,282,398,1259,683,286,176,1837,1339,1781,1891,1319,17420,16108,122,0,65,31,1094,30.8,10700,275,0,0,0,44,67,129,0,644,97,251,385,411,439,227,33373,317,8484,1242,1052,1256,17943,0,18036,48,003
313,"Angelina County, Texas: Summary level: 050, state:48> county:005",1346,2667,4175,711,4685,2061,201,1672,2785,9847,2913,1990,1472,10542,7359,7873,4817,5934,85904,69651,12890,490,975,5,1893,37.5,57275,1369,21,0,38,123,176,140,174,912,579,1224,1459,1344,1717,1074,24657,2597,39122,3036,6097,6816,85265,77,87322,48,005
314,"Aransas County, Texas: Summary level: 050, state:48> county:007",342,1189,471,134,1311,336,55,555,821,1651,1884,501,564,2474,2878,2102,1262,1098,23482,22115,354,53,489,0,471,50.6,17878,218,0,0,0,0,122,15,32,219,127,297,367,656,500,226,21631,792,10606,826,1576,2405,24093,0,24462,48,007
315,"Archer County, Texas: Summary level: 050, state:48> county:009",423,369,319,114,543,199,42,246,364,1133,224,226,236,1527,641,1034,537,699,8552,8315,83,96,15,0,43,44.5,6137,35,0,0,22,4,21,0,18,7,19,91,55,119,83,119,32611,129,4567,142,319,658,8655,0,8716,48,009
316,"Armstrong County, Texas: Summary level: 050, state:48> county:011",92,119,85,9,52,73,0,39,46,221,56,28,68,292,151,145,165,135,1902,1833,5,22,0,0,42,46.0,1400,54,4,0,0,0,2,0,8,16,5,4,12,22,54,3,31212,9,897,0,36,104,1909,0,1973,48,011
317,"Atascosa County, Texas: Summary level: 050, state:48> county:013",1778,2338,1540,430,2277,1807,158,710,1297,4038,1665,821,1017,5419,3958,3288,3723,3488,47183,45761,135,122,173,0,992,35.4,31431,378,12,67,0,94,482,91,253,954,302,828,967,994,1187,596,24278,2016,21892,1511,3530,3622,49097,129,49528,48,013
318,"Austin County, Texas: Summary level: 050, state:48> county:015",684,1463,1588,541,1896,589,67,730,1182,2591,908,696,563,4258,2128,3390,1596,2126,28938,23146,2684,45,111,0,2952,40.7,20235,436,0,0,0,41,164,84,37,346,205,283,519,278,415,438,30570,820,14318,657,1293,2088,29488,53,29764,48,015
319,"Bailey County, Texas: Summary level: 050, state:48> county:017",656,171,276,76,602,302,27,184,131,345,176,228,131,643,309,827,771,755,7097,5949,46,80,57,0,965,33.3,4269,98,0,0,30,53,18,6,87,68,58,49,131,102,187,98,25217,84,3389,240,543,675,6887,0,7100,48,017
320,"Bandera County, Texas: Summary level: 050, state:48> county:019",713,1130,486,376,1126,287,150,622,666,2059,608,816,436,3003,1763,2423,1540,746,20756,19990,154,262,62,0,288,52.2,16904,235,0,0,4,34,27,18,74,40,125,96,217,240,332,365,24939,435,9910,524,1037,2240,22036,8,22215,48,019
321,"Bastrop County, Texas: Summary level: 050, state:48> county:021",989,5348,3412,608,3916,3041,488,1403,3130,7001,2435,1802,2723,11610,5983,7280,6268,5155,82290,57462,6298,398,739,0,17393,38.4,55546,1217,0,47,17,182,508,56,576,870,745,1017,1567,901,1492,845,30057,2309,38605,2096,5118,6104,82357,132,84522,48,021
322,"Baylor County, Texas: Summary level: 050, state:48> county:023",145,72,29,36,150,37,46,36,67,599,152,98,73,468,291,451,200,130,3555,3291,123,9,0,40,92,45.9,2534,0,0,0,0,0,0,23,0,22,32,6,80,61,106,38,22319,38,1578,89,155,248,3499,19,3577,48,023
323,"Bee County, Texas: Summary level: 050, state:48> county:025",844,447,384,256,1462,773,102,368,373,1948,1031,560,1490,2255,2936,1922,1141,1784,31476,28172,2399,164,176,4,561,35.3,22009,528,0,7,0,5,114,47,162,157,307,852,1040,1002,859,326,20371,867,10905,763,1884,2072,24977,71,32611,48,025
324,"Bell County, Texas: Summary level: 050, state:48> county:027",1194,10456,7806,3182,16481,7007,1600,7192,13853,37424,13505,7209,14222,48294,28470,31813,13905,18649,329666,220872,84435,1969,10282,2392,9716,31.0,211519,2286,94,0,107,196,413,403,481,1492,733,1409,2195,2528,3569,3063,29284,11623,152754,5779,17026,16506,327097,346,348574,48,027
325,"Bexar County, Texas: Summary level: 050, state:48> county:029",10223,72642,48808,20848,108111,43369,15695,80453,105723,211299,106102,43648,40765,320796,180465,216294,88815,101316,1886828,1549704,149706,14054,55742,2288,115334,33.6,1247428,23523,413,620,977,2675,6280,3324,5803,23755,7242,16800,30435,26541,27884,21122,27976,51192,958878,42404,120837,125781,1922572,3752,1952843,48,029
326,"Blanco County, Texas: Summary level: 050, state:48> county:031",405,752,525,268,590,268,55,147,595,1110,427,137,209,1726,1001,1418,807,536,11063,10256,3,194,165,42,403,50.4,8650,259,0,0,16,10,0,0,1,73,29,57,67,103,173,67,30193,294,5782,399,493,985,11384,14,11478,48,031
327,"Borden County, Texas: Summary level: 050, state:48> county:033",65,37,6,3,9,9,0,14,13,45,0,10,20,104,22,36,45,24,598,598,0,0,0,0,0,41.7,418,2,0,0,0,0,0,3,0,0,0,4,4,0,0,9,35926,6,237,8,0,26,613,0,613,48,033
328,"Bosque County, Texas: Summary level: 050, state:48> county:035",396,911,841,184,931,434,113,429,577,1693,487,294,421,2303,1257,1615,1198,1338,17961,17318,301,105,100,0,137,46.6,13106,161,13,0,18,26,31,25,13,174,86,138,316,330,298,138,26155,339,8050,528,954,1590,17952,25,18296,48,035
329,"Bowie County, Texas: Summary level: 050, state:48> county:037",781,1910,3401,1026,4308,1914,489,1914,3131,9980,3070,1779,3305,12207,6665,8247,3751,6138,90754,64586,22879,879,983,44,1383,38.0,63248,443,69,6,52,9,56,29,54,478,457,591,1225,1100,1524,1021,27641,2215,39223,1580,4961,5525,87808,38,93373,48,037
330,"Brazoria County, Texas: Summary level: 050, state:48> county:039",3117,18734,22749,3984,13745,10080,2498,8935,17394,42171,10625,8002,7342,71972,22941,31953,20168,22342,352681,261164,50437,2401,24110,47,14522,35.8,235400,3094,67,75,194,188,972,581,903,3409,963,2231,3775,3900,4752,3303,40496,7821,177197,10375,16968,20318,348786,1285,360677,48,039
331,"Brazos County, Texas: Summary level: 050, state:48> county:041",2572,7236,6037,2292,11522,3425,1290,4915,10703,35363,11940,5042,4012,46175,17999,22748,8785,10642,216348,171189,23807,798,13711,123,6720,26.5,118579,2092,2,0,160,233,677,212,586,1786,429,1074,2077,1836,2238,1792,24118,4375,110724,4301,12484,9815,218617,291,222981,48,041
332,"Brewster County, Texas: Summary level: 050, state:48> county:043",207,257,108,74,638,202,190,214,191,1205,562,194,453,1640,850,979,606,420,8983,8352,19,225,170,0,217,43.7,6810,89,0,0,0,34,22,43,44,87,23,59,249,188,44,95,27435,199,4694,125,471,848,9145,17,9231,48,043
333,"Briscoe County, Texas: Summary level: 050, state:48> county:045",130,51,24,6,74,57,0,34,43,82,39,25,35,160,84,158,133,65,1316,1256,12,0,0,22,26,46.4,1048,3,0,0,0,0,10,0,8,19,0,18,35,29,11,13,24375,30,630,19,126,192,1457,0,1457,48,045
334,"Brooks County, Texas: Summary level: 050, state:48> county:047",287,63,41,16,473,65,0,132,95,895,166,158,178,617,843,494,266,349,7014,6450,48,68,0,0,448,29.7,4047,92,0,0,0,24,65,58,49,115,47,94,281,275,97,65,14471,327,2896,165,786,512,6598,19,7141,48,047
335,"Brown County, Texas: Summary level: 050, state:48> county:049",914,1116,2510,225,1865,566,186,606,1147,4018,1295,1083,838,4978,3061,3451,1876,3003,36972,34554,1426,203,270,0,519,41.5,26066,355,7,0,9,9,79,45,44,281,171,286,455,475,610,506,25515,713,17082,608,1832,2850,36785,29,37855,48,049
336,"Burleson County, Texas: Summary level: 050, state:48> county:051",883,828,914,251,749,406,27,224,525,1771,389,510,346,2089,1062,1598,1610,1464,17641,14421,2395,69,7,0,749,43.3,12622,184,0,0,8,7,14,3,62,326,63,154,356,470,448,113,30170,400,8223,456,918,1339,17888,6,18058,48,051
337,"Burnet County, Texas: Summary level: 050, state:48> county:053",654,3142,1174,473,3043,842,325,1312,1950,3690,2579,943,914,6232,4239,5048,3350,2172,45740,42519,815,178,400,21,1807,44.6,32637,656,0,0,2,0,35,0,56,235,136,540,839,356,476,475,27425,889,21930,815,2717,3414,45961,64,46530,48,053
338,"Caldwell County, Texas: Summary level: 050, state:48> county:055",731,3062,1418,365,2200,754,257,910,1598,3265,1436,1063,1507,4826,3291,4126,3670,2653,41570,34069,2561,247,423,53,4217,35.9,27299,738,0,11,6,35,208,71,183,571,317,489,1107,793,823,589,27173,507,19073,1700,3652,3913,40074,116,42144,48,055
339,"Calhoun County, Texas: Summary level: 050, state:48> county:057",506,1176,2554,171,816,186,24,396,728,1643,518,495,412,2282,1854,1526,1833,2130,20802,18645,597,19,1183,7,351,37.7,14380,278,0,0,77,80,98,94,46,445,165,327,551,317,255,241,26914,563,10188,791,1473,1830,21444,0,21668,48,057
340,"Callahan County, Texas: Summary level: 050, state:48> county:059",472,609,473,205,557,373,84,388,453,1303,220,400,314,1961,959,1099,967,865,13424,13058,126,5,69,0,166,44.2,9839,53,0,0,21,0,0,14,4,33,94,138,88,259,287,170,26843,249,6100,467,752,1232,13769,16,13856,48,059
341,"Cameron County, Texas: Summary level: 050, state:48> county:061",3227,12240,9203,3300,19501,8033,1867,6992,13018,51400,15381,8627,8338,44504,43736,36137,18109,18641,418289,397718,2441,982,2900,70,14178,31.7,246971,10355,77,62,812,1908,3683,2131,3301,13952,4019,6017,12834,6540,7386,6207,19933,9883,171010,21774,42705,52828,419669,1857,421666,48,061
342,"Camp County, Texas: Summary level: 050, state:48> county:063",176,554,980,174,878,355,25,175,233,1004,236,243,273,1231,832,1200,787,1256,12510,9341,2136,58,56,0,919,37.6,8448,148,0,8,9,28,23,89,14,135,86,76,123,72,111,160,25628,383,5689,376,911,858,12831,30,12878,48,063
343,"Carson County, Texas: Summary level: 050, state:48> county:065",347,336,279,34,248,205,23,114,174,672,108,158,234,1220,318,621,411,362,5884,5657,48,97,22,0,60,40.6,4118,7,0,0,0,0,1,0,0,0,8,33,29,61,88,47,38411,68,3000,84,271,236,5972,0,6009,48,065
344,"Cass County, Texas: Summary level: 050, state:48> county:067",387,960,1221,466,1580,487,62,387,738,2987,820,738,579,2771,2558,2511,1497,2075,29336,23401,5195,46,166,1,527,43.3,21061,156,2,0,0,0,39,3,50,134,69,339,522,564,759,328,24905,940,12352,505,1272,2215,29683,88,30059,48,067
345,"Castro County, Texas: Summary level: 050, state:48> county:069",750,144,261,154,517,303,30,155,103,622,82,132,213,1017,494,823,550,582,7407,6972,163,14,47,3,208,34.8,4661,78,0,0,0,11,54,58,49,354,19,198,150,75,120,39,28772,85,3551,345,538,884,7590,18,7673,48,069
