,unnamed:_0,total_agriculture,total_construction,total_manufacturing,total_wholesale_trade,total_retail_trade,transportation_warehousing_utilities,total_information,total_finance_and_real_estate,total_scientific_administrative_and_waste_management_services,total_educational_healthcare_and_social_assistance,total_arts_and_entertainment,total_other_services,total_public_administration,total_management_business_science_and_arts_occupations,total_service_occupations,total_sales_and_office_occupations,total_natural_resources_and_maintenance_occupations,"total_production,_transportation,_and_material_moving_occupations",population_of_one_race_total,white,black_or_african_american,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_other_pacific_islander,population_of_one_race_some_other_race,median_age:_total,ed_total,ed_no_schooling_completed,ed_nursery_school,ed_kindergarten,ed_1st_grade,ed_2nd_grade,ed_3rd_grade,ed_4th_grade,ed_5th_grade,ed_6th_grade,ed_7th_grade,ed_8th_grade,ed_9th_grade,e_10th_grade,ed_11th_grade,ed_12th_grade_no_diploma,median_income,unemployed_pop_16_years_and_over,in_civilian_labor_force,under_19_no_health_insurance_coverage,19_to_34_years_no_health_insurance_coverage,35_to_64_years_no_health_insurance_coverage,health_insurance_total,65_years_and_over_no_health_insurance_coverage,total_population_estimate,state_fip,county_fip
218,"Warren County, Illinois: Summary level: 050, state:17> county:187",430,273,1364,233,660,636,82,239,402,2481,646,245,257,2444,1567,1380,661,1896,16949,15107,501,38,429,0,874,39.8,11207,174,0,2,0,6,0,118,13,35,10,157,206,274,343,158,26774,666,8614,41,184,447,16952,2,17146,17,187
219,"Washington County, Illinois: Summary level: 050, state:17> county:189",626,396,1223,146,784,474,30,397,480,1433,433,279,409,2378,1026,1352,877,1477,13871,13594,121,18,41,7,90,43.9,10102,89,0,0,0,0,3,11,0,4,24,145,30,172,193,116,35549,351,7461,38,226,219,13857,3,14058,17,189
220,"Wayne County, Illinois: Summary level: 050, state:17> county:191",739,311,1470,237,722,564,67,285,324,1736,307,352,256,2016,1158,1330,979,1887,16198,15849,248,30,42,0,29,43.4,11525,95,0,0,0,11,13,7,0,63,2,448,204,159,174,214,28537,220,7590,392,418,531,16355,17,16402,17,191
221,"White County, Illinois: Summary level: 050, state:17> county:193",765,290,794,182,511,364,64,261,361,1452,394,302,199,1745,997,1082,919,1196,13787,13527,97,28,106,11,18,44.3,9933,59,0,6,0,3,0,11,0,42,12,217,110,187,208,144,25687,419,6358,64,272,314,13527,2,13868,17,193
222,"Whiteside County, Illinois: Summary level: 050, state:17> county:195",752,1252,5358,664,3125,1701,415,972,1482,6089,2136,1332,986,6781,5244,5439,2344,6456,54876,52852,936,112,341,56,579,43.4,39288,520,0,0,0,31,25,4,123,82,39,592,312,638,702,627,27944,1235,27499,327,1054,1195,55135,19,56016,17,195
223,"Will County, Illinois: Summary level: 050, state:17> county:197",1505,23473,37849,11583,42140,29573,6493,23707,38214,77716,30875,15052,12915,128959,56415,80396,29064,56261,668595,506424,77941,2071,37809,229,44121,37.9,451665,4811,73,102,154,418,1002,441,932,5327,961,4476,3373,4709,5196,8506,37319,17294,368389,3699,12195,17645,682082,678,689315,17,197
224,"Williamson County, Illinois: Summary level: 050, state:17> county:199",698,1539,2794,576,3550,1533,403,1669,1624,8686,2831,1233,1730,9404,6279,6337,2655,4191,65381,60881,2874,154,785,21,666,41.2,47585,399,0,0,4,21,11,6,85,27,125,588,272,611,924,589,27489,1740,30606,336,1322,1787,65070,0,67102,17,199
225,"Winnebago County, Illinois: Summary level: 050, state:17> county:201",631,7283,30617,3354,14680,7172,1727,5295,11403,29411,11233,6309,3605,40589,24492,28799,9932,28908,275359,224363,36935,831,7530,44,5656,39.7,193982,2296,0,47,58,248,299,183,415,1601,575,2239,3403,3552,5536,3462,28400,11774,144494,2012,5786,8502,281711,229,284819,17,201
226,"Winnebago County, Illinois: Summary level: 050, state:17> county:201",631,7283,30617,3354,14680,7172,1727,5295,11403,29411,11233,6309,3605,40589,24492,28799,9932,28908,275359,224363,36935,831,7530,44,5656,39.7,193982,2296,0,47,58,248,299,183,415,1601,575,2239,3403,3552,5536,3462,28400,11774,144494,2012,5786,8502,281711,229,284819,17,201
227,"Woodford County, Illinois: Summary level: 050, state:17> county:203",518,1243,3021,691,1917,813,319,1265,1386,4457,1519,988,516,7331,3119,4142,1774,2287,38050,37472,254,21,200,0,103,40.5,26058,32,1,0,0,0,1,12,0,21,9,294,131,254,323,285,35400,721,19374,347,455,701,38133,16,38700,17,203
