school,district,type,county,total_students,total_vaccinated,vaccinated_perc,in_progress,unvacinated,total_waivers,waivers_perc,medical_waivers_n,medical_waivers_perc,religion_waivers_n,religion_wavers_perc,phil_waivers_n,phil_waivers_perc,year,state
Eagle's Nest Academy,Eagle's Nest Academy,Pub,Genesee,37,34,91.9,1,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
North Road Elementary,Fenton Area Public Schools,Pub,Genesee,48,46,95.8,0,1,1,2.1,0,0.0,0,0.0,1,2.1,2019,MI
State Road Elementary School,Fenton Area Public Schools,Pub,Genesee,55,52,94.5,0,0,3,5.5,0,0.0,1,1.8,2,3.6,2019,MI
St John School,Fenton Area Public Schools,Priv,Genesee,20,19,95.0,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Ellen Street Campus Young 5s,Fenton Area Public Schools,Priv,Genesee,69,55,79.7,1,2,11,15.9,0,0.0,0,0.0,11,15.9,2019,MI
Tomek-Eastern Elem School,Fenton Area Public Schools,Pub,Genesee,50,46,92.0,0,0,4,8.0,0,0.0,1,2.0,3,6.0,2019,MI
Durant Tuuri Mott School,Flint City School District,Pub,Genesee,104,98,94.2,1,1,4,3.8,0,0.0,2,1.9,2,1.9,2019,MI
Doyle-Ryder Elementary School,Flint City School District,Pub,Genesee,63,61,96.8,1,0,1,1.6,0,0.0,1,1.6,0,0.0,2019,MI
Eisenhower Elementary School,Flint City School District,Pub,Genesee,48,46,95.8,1,0,1,2.1,0,0.0,0,0.0,1,2.1,2019,MI
Freeman Elementary School,Flint City School District,Pub,Genesee,46,45,97.8,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Neithercut Elementary School,Flint City School District,Pub,Genesee,33,32,97.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Pierce Elementary School,Flint City School District,Pub,Genesee,21,18,85.7,1,1,1,4.8,0,0.0,0,0.0,1,4.8,2019,MI
Potter School,Flint City School District,Pub,Genesee,45,43,95.6,1,0,1,2.2,0,0.0,0,0.0,1,2.2,2019,MI
Brownell K-2 STEM Academy,Flint City School District,Pub,Genesee,50,47,94.0,2,0,1,2.0,0,0.0,0,0.0,1,2.0,2019,MI
St Paul Lutheran School,Flint City School District,Priv,Genesee,12,10,83.3,0,1,1,8.3,0,0.0,0,0.0,1,8.3,2019,MI
St John Vianney Catholic School,Flint City School District,Priv,Genesee,21,19,90.5,0,0,2,9.5,0,0.0,0,0.0,2,9.5,2019,MI
Flint Cultural Center Academy,Flint Cultural Center Academy,Pub,Genesee,67,65,97.0,0,0,2,3.0,0,0.0,0,0.0,2,3.0,2019,MI
St Roberts School,Flushing Community Schools,Priv,Genesee,19,17,89.5,0,0,2,10.5,0,0.0,0,0.0,2,10.5,2019,MI
Early Childhood Center KD,Flushing Community Schools,Pub,Genesee,334,309,92.5,4,2,19,5.7,1,0.3,3,0.9,15,4.5,2019,MI
Marion Crouse Instructional Center,Genesee ISD,Pub,Genesee,10,8,80.0,0,0,2,20.0,1,10.0,0,0.0,1,10.0,2019,MI
Haas Elementary School,Genesee School District,Pub,Genesee,46,39,84.8,0,1,6,13.0,0,0.0,2,4.3,4,8.7,2019,MI
Genesee STEM Academy,Genesee STEM Academy,Pub,Genesee,37,36,97.3,0,0,1,2.7,0,0.0,1,2.7,0,0.0,2019,MI
Reid Elementary School,Goodrich Area Schools,Pub,Genesee,117,106,90.6,0,3,8,6.8,0,0.0,3,2.6,5,4.3,2019,MI
Grand Blanc Academy,Grand Blanc Academy,Pub,Genesee,46,43,93.5,0,2,1,2.2,0,0.0,1,2.2,0,0.0,2019,MI
Holy Family Catholic School,Grand Blanc Community Schools,Priv,Genesee,48,45,93.8,2,0,1,2.1,0,0.0,0,0.0,1,2.1,2019,MI
Brendel Elementary School,Grand Blanc Community Schools,Pub,Genesee,94,82,87.2,3,1,8,8.5,0,0.0,1,1.1,7,7.4,2019,MI
Anderson Elementary School,Grand Blanc Community Schools,Pub,Genesee,121,115,95.0,0,1,5,4.1,0,0.0,4,3.3,1,0.8,2019,MI
Cook Elementary School,Grand Blanc Community Schools,Pub,Genesee,102,93,91.2,1,1,7,6.9,1,1.0,4,3.9,2,2.0,2019,MI
Indian Hill Elementary School,Grand Blanc Community Schools,Pub,Genesee,76,73,96.1,0,2,1,1.3,0,0.0,1,1.3,0,0.0,2019,MI
Myers Elementary School,Grand Blanc Community Schools,Pub,Genesee,66,61,92.4,0,2,3,4.5,0,0.0,2,3.0,1,1.5,2019,MI
Reid Elementary School,Grand Blanc Community Schools,Pub,Genesee,78,75,96.2,0,0,3,3.8,0,0.0,0,0.0,3,3.8,2019,MI
Greater Heights Academy,Greater Heights Academy,Pub,Genesee,40,37,92.5,1,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
International Academy of Flint,International Academy of Flint,Pub,Genesee,101,93,92.1,1,5,2,2.0,0,0.0,2,2.0,0,0.0,2019,MI
Weston Elementary,Kearsley Community Schools,Pub,Genesee,243,227,93.4,5,0,11,4.5,0,0.0,3,1.2,8,3.3,2019,MI
Holy Rosary School,Kearsley Community Schools,Priv,Genesee,5,3,60.0,0,0,2,40.0,0,0.0,0,0.0,2,40.0,2019,MI
West Shore Elementary School,Lake Fenton Community Schools,Pub,Genesee,177,169,95.5,0,1,7,4.0,0,0.0,2,1.1,5,2.8,2019,MI
Columbiaville Elementary School,Lakeville Community Schools,Pub,Genesee,66,60,90.9,0,0,6,9.1,0,0.0,0,0.0,6,9.1,2019,MI
Linden Charter Academy,Linden Charter Academy,Pub,Genesee,83,82,98.8,1,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Linden Elementary School,Linden Community Schools,Pub,Genesee,101,93,92.1,0,0,8,7.9,0,0.0,1,1.0,7,6.9,2019,MI
Hyatt Elementary,Linden Community Schools,Pub,Genesee,98,90,91.8,0,1,7,7.1,1,1.0,0,0.0,6,6.1,2019,MI
Madison Academy,Madison Academy,Pub,Genesee,30,26,86.7,0,1,3,10.0,0,0.0,0,0.0,3,10.0,2019,MI
Carter Elementary,Montrose Community Schools,Pub,Genesee,89,86,96.6,0,0,3,3.4,0,0.0,3,3.4,0,0.0,2019,MI
Pinehurst Elementary,Mt. Morris Consolidated Schools,Pub,Genesee,107,98,91.6,4,0,5,4.7,0,0.0,0,0.0,5,4.7,2019,MI
Northridge Academy,Northridge Academy,Pub,Genesee,23,21,91.3,0,0,2,8.7,0,0.0,1,4.3,1,4.3,2019,MI
Richfield Public School Academy,Richfield Public School Academy,Pub,Genesee,75,70,93.3,0,4,1,1.3,0,0.0,1,1.3,0,0.0,2019,MI
Genesee Academy,Swartz Creek Community Schools,Priv,Genesee,12,11,91.7,0,0,1,8.3,0,0.0,0,0.0,1,8.3,2019,MI
Elms Road Elementary School,Swartz Creek Community Schools,Pub,Genesee,105,97,92.4,1,0,7,6.7,0,0.0,1,1.0,6,5.7,2019,MI
Syring Elementary School,Swartz Creek Community Schools,Pub,Genesee,47,45,95.7,0,0,2,4.3,0,0.0,0,0.0,2,4.3,2019,MI
Gaines Elementary School,Swartz Creek Community Schools,Pub,Genesee,20,20,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Morrish Elementary School,Swartz Creek Community Schools,Pub,Genesee,84,82,97.6,0,1,1,1.2,0,0.0,1,1.2,0,0.0,2019,MI
Dieck Elementary School,Swartz Creek Community Schools,Pub,Genesee,71,69,97.2,0,0,2,2.8,0,0.0,0,0.0,2,2.8,2019,MI
The New Standard Academy,The New Standard School,Pub,Genesee,89,87,97.8,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Colonel Donald McMonagle Elementary,Westwood Heights Schools,Pub,Genesee,78,75,96.2,0,1,2,2.6,0,0.0,1,1.3,1,1.3,2019,MI
Woodland Park Academy,Woodland Park Academy,Pub,Genesee,33,30,90.9,2,0,1,3.0,0,0.0,1,3.0,0,0.0,2019,MI
Beaverton Primary School,Beaverton Rural Schools,Pub,Gladwin,83,77,92.8,0,2,4,4.8,1,1.2,0,0.0,3,3.6,2019,MI
Gladwin Elementary School,Gladwin Community Schools,Pub,Gladwin,146,143,97.9,0,0,3,2.1,1,0.7,0,0.0,2,1.4,2019,MI
Skeels Christian School,Gladwin Community Schools,Priv,Gladwin,8,6,75.0,0,1,1,12.5,0,0.0,1,12.5,0,0.0,2019,MI
Washington School,Bessemer Area School District,Pub,Gogebic,29,27,93.1,0,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Luther L Wright K-12 School,Ironwood Area Schools,Pub,Gogebic,55,51,92.7,0,1,3,5.5,0,0.0,1,1.8,2,3.6,2019,MI
Wakefield-Marenisco School,Wakefield-Marenisco School District,Pub,Gogebic,14,13,92.9,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Watersmeet Township School,Watersmeet Township School District,Pub,Gogebic,8,7,87.5,0,0,1,12.5,0,0.0,0,0.0,1,12.5,2019,MI
St Mary School,Alma Public Schools,Priv,Gratiot,22,21,95.5,0,0,1,4.5,0,0.0,0,0.0,1,4.5,2019,MI
Luce Road Elementary School,Alma Public Schools,Pub,Gratiot,162,153,94.4,1,7,1,0.6,0,0.0,0,0.0,1,0.6,2019,MI
Ashley Elementary School,Ashley Community Schools,Pub,Gratiot,24,23,95.8,0,0,1,4.2,0,0.0,1,4.2,0,0.0,2019,MI
Breckenridge Elementary School,Breckenridge Community Schools,Pub,Gratiot,42,41,97.6,0,0,1,2.4,0,0.0,0,0.0,1,2.4,2019,MI
Fulton Elementary School,Fulton Schools,Pub,Gratiot,50,44,88.0,0,1,5,10.0,0,0.0,1,2.0,4,8.0,2019,MI
Countryside Christian School,Fulton Schools,Priv,Gratiot,10,9,90.0,0,0,1,10.0,0,0.0,0,0.0,1,10.0,2019,MI
South Elementary School,Ithaca Public Schools,Pub,Gratiot,79,76,96.2,0,1,2,2.5,0,0.0,0,0.0,2,2.5,2019,MI
Ithaca SDA School,Ithaca Public Schools,Priv,Gratiot,5,5,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Carrie Knause Early Childhood Learning,St. Louis Public Schools,Pub,Gratiot,65,57,87.7,2,1,5,7.7,0,0.0,1,1.5,4,6.2,2019,MI
Camden-Frontier Elementary School,Camden-Frontier Schools,Pub,Hillsdale,53,49,92.5,0,3,1,1.9,0,0.0,0,0.0,1,1.9,2019,MI
Hillsdale Academy,Hillsdale Community Schools,Priv,Hillsdale,9,8,88.9,0,0,1,11.1,0,0.0,0,0.0,1,11.1,2019,MI
Bailey Elementary School,Hillsdale Community Schools,Pub,Hillsdale,12,11,91.7,0,0,1,8.3,0,0.0,0,0.0,1,8.3,2019,MI
Gier Elementary School,Hillsdale Community Schools,Pub,Hillsdale,90,83,92.2,1,0,6,6.7,0,0.0,1,1.1,5,5.6,2019,MI
Hillsdale Preparatory School,Hillsdale Preparatory Schools,Pub,Hillsdale,11,10,90.9,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Emily B Williams Elementary School,Jonesville Community Schools,Pub,Hillsdale,129,124,96.1,1,0,4,3.1,0,0.0,1,0.8,3,2.3,2019,MI
Litchfield Elementary School,Litchfield Community Schools,Pub,Hillsdale,27,25,92.6,0,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
North Adams-Jerome Elem. School,North Adams Jerome Public Schools District,Pub,Hillsdale,29,26,89.7,0,0,3,10.3,2,6.9,0,0.0,1,3.4,2019,MI
Pittsford Area Elem. School,Pittsford Area Schools,Pub,Hillsdale,22,21,95.5,0,0,1,4.5,0,0.0,0,0.0,1,4.5,2019,MI
Freedom Farm Christian School,Pittsford Area Schools,Priv,Hillsdale,5,4,80.0,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Reynolds Elementary School,Reading Community Schools,Pub,Hillsdale,75,70,93.3,2,1,2,2.7,0,0.0,0,0.0,2,2.7,2019,MI
Waldron Area School,Waldron Area Schools,Pub,Hillsdale,18,16,88.9,0,0,2,11.1,0,0.0,0,0.0,2,11.1,2019,MI
Waldron Elementary School,Waldron Area Schools,Pub,Hillsdale,18,15,83.3,0,1,2,11.1,0,0.0,0,0.0,2,11.1,2019,MI
Will Carleton Academy,Will Carleton Academy,Pub,Hillsdale,27,25,92.6,0,0,1,3.7,0,0.0,0,0.0,1,3.7,2019,MI
South Range Elementary School,Adams Township School District,Pub,Houghton,31,20,64.5,1,1,9,29.0,0,0.0,2,6.5,7,22.6,2019,MI
Chassell K-12 School,Chassell Township School District,Pub,Houghton,18,17,94.4,0,0,1,5.6,0,0.0,0,0.0,1,5.6,2019,MI
T R Davis Elementary School,Dollar Bay-Tamarack City Area Schools,Pub,Houghton,19,18,94.7,0,0,1,5.3,0,0.0,0,0.0,1,5.3,2019,MI
Barkell Elementary School,Hancock Public Schools,Pub,Houghton,65,55,84.6,0,3,7,10.8,0,0.0,0,0.0,7,10.8,2019,MI
Houghton Elementary School,Houghton-Portage Township Schools,Pub,Houghton,112,100,89.3,0,0,12,10.7,0,0.0,0,0.0,12,10.7,2019,MI
Lake Linden Hubbell Schools,Lake Linden-Hubbell School District,Pub,Houghton,27,26,96.3,0,0,1,3.7,0,0.0,0,0.0,1,3.7,2019,MI
CLK Elementary School,Public Schools of Calumet,Pub,Houghton,5,2,40.0,0,0,3,60.0,1,20.0,0,0.0,2,40.0,2019,MI
E B Holman Elementary School,Stanton Township Public Schools,Pub,Houghton,12,9,75.0,0,1,2,16.7,0,0.0,0,0.0,2,16.7,2019,MI
Bad Axe Elementary School,Bad Axe Public Schools,Pub,Huron,69,63,91.3,0,0,6,8.7,0,0.0,0,0.0,6,8.7,2019,MI
Caseville High School,Caseville Public Schools,Pub,Huron,20,19,95.0,0,0,1,5.0,0,0.0,0,0.0,1,5.0,2019,MI
Laker Elementary,Elkton-Pigeon-Bay Port Laker Schools,Pub,Huron,86,80,93.0,1,1,4,4.7,0,0.0,2,2.3,2,2.3,2019,MI
Cross Lutheran School,Elkton-Pigeon-Bay Port Laker Schools,Priv,Huron,10,8,80.0,0,0,2,20.0,0,0.0,1,10.0,1,10.0,2019,MI
Zion Lutheran School,Harbor Beach Community Schools,Priv,Huron,11,9,81.8,0,1,1,9.1,0,0.0,0,0.0,1,9.1,2019,MI
Harbor Beach Elementary School,Harbor Beach Community Schools,Pub,Huron,23,23,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Our Lady of Lake Huron School,Harbor Beach Community Schools,Priv,Huron,13,11,84.6,0,0,2,15.4,1,7.7,0,0.0,1,7.7,2019,MI
North Huron Elementary School,North Huron School District,Pub,Huron,25,22,88.0,0,0,3,12.0,0,0.0,0,0.0,3,12.0,2019,MI
Owendale-Gagetown Elementary Sch,Owendale-Gagetown Area Schools,Pub,Huron,16,14,87.5,0,0,2,12.5,0,0.0,0,0.0,2,12.5,2019,MI
Ubly Elementary School,Ubly Community Schools,Pub,Huron,59,55,93.2,0,0,4,6.8,2,3.4,0,0.0,2,3.4,2019,MI
Cole Academy East,Cole Academy,Pub,Ingham,53,48,90.6,0,0,5,9.4,0,0.0,2,3.8,3,5.7,2019,MI
Cole Academy,Cole Academy,Pub,Ingham,29,28,96.6,1,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Dansville Elementary School,Dansville Schools,Pub,Ingham,78,69,88.5,0,3,6,7.7,0,0.0,6,7.7,0,0.0,2019,MI
Donley School,East Lansing School District,Pub,Ingham,61,58,95.1,0,0,3,4.9,0,0.0,1,1.6,2,3.3,2019,MI
Pinecrest School,East Lansing School District,Pub,Ingham,46,43,93.5,1,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Marble School,East Lansing School District,Pub,Ingham,41,38,92.7,1,0,2,4.9,0,0.0,1,2.4,1,2.4,2019,MI
Glencairn School,East Lansing School District,Pub,Ingham,68,62,91.2,0,2,4,5.9,0,0.0,0,0.0,4,5.9,2019,MI
St Thomas Aquinas Catholic School,East Lansing School District,Priv,Ingham,28,27,96.4,0,0,1,3.6,0,0.0,1,3.6,0,0.0,2019,MI
Whitehills Elementary School,East Lansing School District,Pub,Ingham,70,66,94.3,0,3,1,1.4,0,0.0,0,0.0,1,1.4,2019,MI
Stepping Stones Montessori School of East Lansing,East Lansing School District,Priv,Ingham,7,7,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Greater Lansing Islamic School,East Lansing School District,Priv,Ingham,22,22,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Wilkshire School,Haslett Public Schools,Pub,Ingham,199,183,92.0,0,9,7,3.5,0,0.0,4,2.0,3,1.5,2019,MI
Elliott Elementary School,Holt Public Schools,Pub,Ingham,89,83,93.3,0,3,3,3.4,0,0.0,1,1.1,2,2.2,2019,MI
Capitol City Baptist School,Holt Public Schools,Priv,Ingham,5,5,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Dimondale Elementary School,Holt Public Schools,Pub,Ingham,64,61,95.3,0,0,3,4.7,0,0.0,1,1.6,2,3.1,2019,MI
Wilcox Elementary School,Holt Public Schools,Pub,Ingham,89,84,94.4,2,3,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Horizon Elementary School,Holt Public Schools,Pub,Ingham,79,72,91.1,0,4,3,3.8,0,0.0,2,2.5,1,1.3,2019,MI
Sycamore Elementary,Holt Public Schools,Pub,Ingham,75,72,96.0,0,2,1,1.3,0,0.0,0,0.0,1,1.3,2019,MI
Holt Lutheran Schools,Holt Public Schools,Priv,Ingham,14,12,85.7,0,0,2,14.3,0,0.0,0,0.0,2,14.3,2019,MI
Lansing Christian School,Holt Public Schools,Priv,Ingham,32,30,93.8,0,1,1,3.1,0,0.0,0,0.0,1,3.1,2019,MI
Heartwood School,Ingham ISD,Pub,Ingham,5,4,80.0,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Lansing Charter Academy,Lansing Charter Academy,Pub,Ingham,56,49,87.5,2,2,3,5.4,0,0.0,1,1.8,2,3.6,2019,MI
Post Oak Elementary,Lansing Public School District,Pub,Ingham,75,73,97.3,0,1,1,1.3,0,0.0,0,0.0,1,1.3,2019,MI
Cumberland Elementary School,Lansing Public School District,Pub,Ingham,72,70,97.2,0,0,2,2.8,1,1.4,0,0.0,1,1.4,2019,MI
Emanuel Lutheran School,Lansing Public School District,Priv,Ingham,9,9,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Montessori Childrens House,Lansing Public School District,Priv,Ingham,21,18,85.7,0,1,2,9.5,0,0.0,1,4.8,1,4.8,2019,MI
Forest View Elementary School,Lansing Public School District,Pub,Ingham,72,70,97.2,1,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Resurrection School,Lansing Public School District,Priv,Ingham,28,26,92.9,0,0,2,7.1,0,0.0,1,3.6,1,3.6,2019,MI
Reo Elementary School,Lansing Public School District,Pub,Ingham,69,65,94.2,1,3,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Dwight Rich School of Arts,Lansing Public School District,Pub,Ingham,44,40,90.9,2,1,1,2.3,0,0.0,0,0.0,1,2.3,2019,MI
Gier Park School,Lansing Public School District,Pub,Ingham,75,69,92.0,2,4,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Lyons Elementary School,Lansing Public School District,Pub,Ingham,71,70,98.6,1,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Vivian Riddle Elementary School,Lansing Public School District,Pub,Ingham,39,36,92.3,3,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Cavanaugh School,Lansing Public School District,Pub,Ingham,84,81,96.4,0,2,1,1.2,0,0.0,0,0.0,1,1.2,2019,MI
Forrest G Averill School,Lansing Public School District,Pub,Ingham,65,62,95.4,0,0,3,4.6,0,0.0,2,3.1,1,1.5,2019,MI
Pattengill Middle School,Lansing Public School District,Pub,Ingham,69,66,95.7,0,3,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Immaculate Heart of Mary-St. Casimir,Lansing Public School District,Priv,Ingham,20,17,85.0,0,3,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Kendon School,Lansing Public School District,Pub,Ingham,52,47,90.4,1,2,2,3.8,0,0.0,1,1.9,1,1.9,2019,MI
Lewton School,Lansing Public School District,Pub,Ingham,49,48,98.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Willow School,Lansing Public School District,Pub,Ingham,46,41,89.1,1,3,1,2.2,0,0.0,1,2.2,0,0.0,2019,MI
Wexford Montessori Magnet,Lansing Public School District,Pub,Ingham,49,43,87.8,1,1,4,8.2,0,0.0,2,4.1,2,4.1,2019,MI
Gardner School,Lansing Public School District,Pub,Ingham,50,47,94.0,2,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Pam's Academy of Champions,Lansing Public School District,Priv,Ingham,11,11,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Woodworth Elementary,Leslie Public Schools,Pub,Ingham,81,72,88.9,1,5,3,3.7,1,1.2,0,0.0,2,2.5,2019,MI
James C Harvey Education Center,Mason Public Schools (Ingham),Pub,Ingham,253,239,94.5,1,9,4,1.6,0,0.0,3,1.2,1,0.4,2019,MI
Michigan Connection Academy,Michigan Connection Academy,Pub,Ingham,51,36,70.6,0,0,15,29.4,0,0.0,2,3.9,13,25.5,2019,MI
Mid-Michigan Leadership Academy,Mid-Michigan Leadership Academy,Pub,Ingham,27,26,96.3,1,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
St Martha School,Okemos Public Schools,Priv,Ingham,17,14,82.4,0,0,3,17.6,1,5.9,0,0.0,2,11.8,2019,MI
Cornell Elementary School,Okemos Public Schools,Pub,Ingham,79,76,96.2,0,0,3,3.8,0,0.0,0,0.0,3,3.8,2019,MI
MI Montessori International Ctr.,Okemos Public Schools,Priv,Ingham,21,20,95.2,0,0,1,4.8,0,0.0,1,4.8,0,0.0,2019,MI
Hiawatha Elementary School,Okemos Public Schools,Pub,Ingham,118,105,89.0,2,7,4,3.4,0,0.0,2,1.7,2,1.7,2019,MI
Bennett Woods Elementary School,Okemos Public Schools,Pub,Ingham,95,95,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Okemos Public Montessori,Okemos Public Schools,Pub,Ingham,52,51,98.1,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Emma Smith Elementary School,Stockbridge Community Schools,Pub,Ingham,96,89,92.7,0,2,5,5.2,1,1.0,1,1.0,3,3.1,2019,MI
New Covenant Christian School,Waverly Community Schools,Priv,Ingham,8,7,87.5,0,0,1,12.5,0,0.0,1,12.5,0,0.0,2019,MI
St Gerard School,Waverly Community Schools,Priv,Ingham,43,40,93.0,0,1,2,4.7,0,0.0,0,0.0,2,4.7,2019,MI
Meryl S Colt Elementary School,Waverly Community Schools,Pub,Ingham,189,178,94.2,0,7,4,2.1,1,0.5,1,0.5,2,1.1,2019,MI
Greater Lansing Adventist School,Waverly Community Schools,Priv,Ingham,10,6,60.0,0,0,4,40.0,0,0.0,1,10.0,3,30.0,2019,MI
Webberville Elementary School,Webberville Community Schools,Pub,Ingham,34,31,91.2,0,2,1,2.9,0,0.0,0,0.0,1,2.9,2019,MI
White Pine Academy,White Pine Academy,Pub,Ingham,10,7,70.0,0,0,3,30.0,0,0.0,1,10.0,2,20.0,2019,MI
Williamston Discovery Elementary School,Williamston Community Schools,Pub,Ingham,128,122,95.3,0,1,5,3.9,0,0.0,1,0.8,4,3.1,2019,MI
St. Mary Catholic School,Williamston Community Schools,Priv,Ingham,14,9,64.3,0,1,4,28.6,0,0.0,3,21.4,1,7.1,2019,MI
Windemere Park Charter Academy,Windemere Park Charter Academy,Pub,Ingham,70,63,90.0,1,2,4,5.7,0,0.0,2,2.9,2,2.9,2019,MI
Ellis Elementary School,Belding Area School District,Pub,Ionia,131,126,96.2,0,1,4,3.1,1,0.8,0,0.0,3,2.3,2019,MI
Faith Community Christian School,Belding Area School District,Priv,Ionia,11,10,90.9,0,0,1,9.1,1,9.1,0,0.0,0,0.0,2019,MI
Haynor School,Easton Township S/D #6,Pub,Ionia,6,4,66.7,0,0,2,33.3,0,0.0,0,0.0,2,33.3,2019,MI
Twin Rivers Elementary School,Ionia Public Schools,Pub,Ionia,46,44,95.7,1,0,1,2.2,0,0.0,0,0.0,1,2.2,2019,MI
Emerson School,Ionia Public Schools,Pub,Ionia,50,47,94.0,0,0,3,6.0,2,4.0,0,0.0,1,2.0,2019,MI
A.A. Rather School,Ionia Public Schools,Pub,Ionia,53,50,94.3,0,0,3,5.7,0,0.0,0,0.0,3,5.7,2019,MI
Jefferson School,Ionia Public Schools,Pub,Ionia,75,68,90.7,0,5,2,2.7,1,1.3,0,0.0,1,1.3,2019,MI
R B Boyce Elementary School,Ionia Public Schools,Pub,Ionia,68,61,89.7,0,2,5,7.4,0,0.0,3,4.4,2,2.9,2019,MI
SS. Peter & Paul School,Ionia Public Schools,Priv,Ionia,7,5,71.4,0,0,2,28.6,0,0.0,0,0.0,2,28.6,2019,MI
Lakewood Early Childhood Center,Lakewood Public Schools,Pub,Ionia,175,167,95.4,0,1,7,4.0,2,1.1,2,1.1,3,1.7,2019,MI
Faith Christian School,Lakewood Public Schools,Priv,Ionia,18,14,77.8,1,1,2,11.1,0,0.0,0,0.0,2,11.1,2019,MI
Oakwood Elementary School,Portland Public School District,Pub,Ionia,223,213,95.5,1,0,9,4.0,0,0.0,0,0.0,9,4.0,2019,MI
St. Patrick School,Portland Public School District,Priv,Ionia,29,27,93.1,0,0,2,6.9,0,0.0,1,3.4,1,3.4,2019,MI
Saranac Elementary School,Saranac Community Schools,Pub,Ionia,65,60,92.3,0,2,3,4.6,0,0.0,0,0.0,3,4.6,2019,MI
Hale Schools All Buildings,Hale Area Schools,Pub,Iosco,29,26,89.7,0,2,1,3.4,0,0.0,1,3.4,0,0.0,2019,MI
Richardson Elementary School,Oscoda Area Schools,Pub,Iosco,38,33,86.8,0,4,1,2.6,0,0.0,0,0.0,1,2.6,2019,MI
Clara B Bolen Elementary,Tawas Area Schools,Pub,Iosco,88,86,97.7,0,1,1,1.1,0,0.0,0,0.0,1,1.1,2019,MI
Holy Family School,Tawas Area Schools,Priv,Iosco,29,25,86.2,0,0,4,13.8,0,0.0,2,6.9,2,6.9,2019,MI
Whittemore-Prescott Elementary School,Whittemore-Prescott Area Schools,Pub,Iosco,66,63,95.5,0,2,1,1.5,1,1.5,0,0.0,0,0.0,2019,MI
Forest Park Elementary Middle and High School,Forest Park School District,Pub,Iron,37,35,94.6,0,0,2,5.4,0,0.0,0,0.0,2,5.4,2019,MI
Stambaugh Elementary School,Iron County Community Schools,Pub,Iron,82,71,86.6,0,4,7,8.5,1,1.2,3,3.7,3,3.7,2019,MI
St. Joseph The Worker School,Beal City Public Schools,Priv,Isabella,13,13,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Carl D Mayes Elementary School,Beal City Public Schools,Pub,Isabella,42,40,95.2,0,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Ganiard Elementary School,Mt. Pleasant City School District,Pub,Isabella,60,57,95.0,0,3,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Pullen Elementary,Mt. Pleasant City School District,Pub,Isabella,107,98,91.6,1,4,4,3.7,0,0.0,4,3.7,0,0.0,2019,MI
Vowles School,Mt. Pleasant City School District,Pub,Isabella,43,40,93.0,0,1,2,4.7,0,0.0,0,0.0,2,4.7,2019,MI
Sacred Heart Academy Elementary School,Mt. Pleasant City School District,Priv,Isabella,32,28,87.5,0,3,1,3.1,1,3.1,0,0.0,0,0.0,2019,MI
