school,district,type,county,total_students,total_vaccinated,vaccinated_perc,in_progress,unvacinated,total_waivers,waivers_perc,medical_waivers_n,medical_waivers_perc,religion_waivers_n,religion_wavers_perc,phil_waivers_n,phil_waivers_perc,year,state
Inland Lakes Elementary,Inland Lakes Schools,Pub,Cheboygan,49,42,85.7,0,4,3,6.1,0,0.0,2,4.1,1,2.0,2019,MI
Northern Michigan Christian Academy,Inland Lakes Schools,Priv,Cheboygan,5,4,80.0,0,0,1,20.0,0,0.0,1,20.0,0,0.0,2019,MI
Mackinaw City K-12 School,Mackinaw City Public Schools,Pub,Cheboygan,7,7,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Wolverine Elementary,Wolverine Community Schools,Pub,Cheboygan,24,20,83.3,0,1,3,12.5,0,0.0,1,4.2,2,8.3,2019,MI
Brimley Elementary School,Brimley Area Schools,Pub,Chippewa,44,42,95.5,0,0,2,4.5,2,4.5,0,0.0,0,0.0,2019,MI
Drummond Island Elem. School,Detour Area Schools,Pub,Chippewa,11,11,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Detour Arts and Technology Academy,Detour Arts and Technology Academy,Pub,Chippewa,6,6,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Joseph K Lumsden Bahweting School,Joseph K Lumsden Bahweting School,Pub,Chippewa,84,82,97.6,1,0,1,1.2,0,0.0,0,0.0,1,1.2,2019,MI
Lake Superior Academy,Lake Superior Academy,Pub,Chippewa,17,15,88.2,0,0,2,11.8,0,0.0,0,0.0,2,11.8,2019,MI
Ojibwe Charter School,Ojibwe Charter School,Pub,Chippewa,10,9,90.0,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Pickford Public Schools,Pickford Public Schools,Pub,Chippewa,41,37,90.2,0,3,1,2.4,0,0.0,0,0.0,1,2.4,2019,MI
Rudyard Elementary School,Rudyard Area Schools,Pub,Chippewa,14,12,85.7,0,1,1,7.1,0,0.0,0,0.0,1,7.1,2019,MI
Washington Elementary School,Sault Ste. Marie Area Schools,Pub,Chippewa,133,126,94.7,4,0,3,2.3,0,0.0,0,0.0,3,2.3,2019,MI
St Mary Catholic School,Sault Ste. Marie Area Schools,Priv,Chippewa,12,11,91.7,0,0,1,8.3,0,0.0,0,0.0,1,8.3,2019,MI
Clare Primary School,Clare Public Schools,Pub,Clare,146,141,96.6,1,4,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Farwell Elementary School,Farwell Area Schools,Pub,Clare,82,75,91.5,1,1,5,6.1,1,1.2,2,2.4,2,2.4,2019,MI
Robert M Larson Elementary School,Harrison Community Schools,Pub,Clare,96,91,94.8,1,1,3,3.1,1,1.0,0,0.0,2,2.1,2019,MI
Bath Elementary School,Bath Community Schools,Pub,Clinton,98,91,92.9,1,3,3,3.1,0,0.0,2,2.0,1,1.0,2019,MI
Schavey Road Elementary,DeWitt Public Schools,Pub,Clinton,282,274,97.2,0,2,6,2.1,2,0.7,3,1.1,1,0.4,2019,MI
Waldron Elementary & Middle School,Fowler Public Schools,Pub,Clinton,57,51,89.5,0,1,5,8.8,0,0.0,0,0.0,5,8.8,2019,MI
