school_code,county,public/private,district,city,school_name,enrollment_n,vaccinated_n,vaccinated_perc,temp_unvax_n,temp_unvax_perc,perm_med_exempt_n,perm_med_exempt_perc,other_n,other_perc,over_due_n,over_due_perc,five_dose_DTP_n,five_dose_DTP_perc,polio_n,polio_perc,mmr_n,mmr_perc,hepb_n,hepb_perc,varicell_n,varicella_perc,reported,year,state
6090211,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,EMERSON ELEMENTARY,67.0,61,91,2,3,2,3,0,0,2,3,65,97,65,97,64,96,65,97,64,96,Y,2018,CA
6090252,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,JEFFERSON ELEMENTARY,69.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6105316,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,JOHN MUIR ELEMENTARY,42.0,--*,≥95%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y,2018,CA
6090286,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,MALCOLM X ELEMENTARY,125.0,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6090302,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,OXFORD ELEMENTARY,45.0,--*,≥95%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y,2018,CA
6090187,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,ROSA PARKS ENVIRONMENTAL SCIENCE,69.0,67,97,2,3,0,0,0,0,0,0,--*,≥98%,--*,≥98%,--*,≥98%,67,97,--*,≥98%,Y,2018,CA
6090278,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,SYLVIA MENDEZ ELEMENTARY,103.0,99,96,3,3,1,1,0,0,0,0,100,97,101,98,--*,≥99%,101,98,--*,≥99%,Y,2018,CA
6090310,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,THOUSAND OAKS ELEMENTARY,68.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6090328,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,WASHINGTON ELEMENTARY,127.0,123,97,4,3,0,0,0,0,0,0,125,98,125,98,125,98,--*,≥99%,--*,≥99%,Y,2018,CA
6090351,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,CASTRO VALLEY ELEMENTARY,73.0,69,95,2,3,1,1,0,0,1,1,71,97,--*,≥98%,71,97,71,97,71,97,Y,2018,CA
