school_code,county,public/private,district,city,school_name,enrollment_n,vaccinated_n,vaccinated_perc,temp_unvax_n,temp_unvax_perc,perm_med_exempt_n,perm_med_exempt_perc,other_n,other_perc,over_due_n,over_due_perc,five_dose_DTP_n,five_dose_DTP_perc,polio_n,polio_perc,mmr_n,mmr_perc,hepb_n,hepb_perc,varicell_n,varicella_perc,reported,year,state
6003313,BUTTE,PUBLIC,PARADISE UNIFIED,PARADISE,PARADISE ELEMENTARY,103.0,99,96,4,4,0,0,0,0,0,0,99,96,99,96,--*,≥99%,101,98,--*,≥99%,Y,2018,CA
6003339,BUTTE,PUBLIC,PARADISE UNIFIED,PARADISE,PONDEROSA ELEMENTARY,122.0,115,94,5,4,0,0,2,2,0,0,116,95,118,97,120,98,--*,≥99%,--*,≥99%,Y,2018,CA
0102327,BUTTE,PUBLIC,THERMALITO UNION ELEMENTARY,OROVILLE,PLUMAS AVENUE ELEMENTARY,80.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6003362,BUTTE,PUBLIC,THERMALITO UNION ELEMENTARY,OROVILLE,POPLAR AVENUE ELEMENTARY,72.0,69,96,2,3,1,1,0,0,0,0,69,96,70,97,--*,≥98%,70,97,70,97,Y,2018,CA
6003370,BUTTE,PUBLIC,THERMALITO UNION ELEMENTARY,OROVILLE,SIERRA AVENUE ELEMENTARY,79.0,77,97,2,3,0,0,0,0,0,0,77,97,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
0530154,CALAVERAS,PUBLIC,CALAVERAS COUNTY OFFICE OF EDUCATION,SAN ANDREAS,MOUNTAIN OAKS,27.0,10,37,1,4,1,4,15,56,0,0,10,37,11,41,10,37,10,37,15,56,Y,2018,CA
6003438,CALAVERAS,PUBLIC,CALAVERAS UNIFIED,SAN ANDREAS,SAN ANDREAS ELEMENTARY,61.0,55,90,1,2,5,8,0,0,0,0,58,95,58,95,55,90,58,95,58,95,Y,2018,CA
6108518,CALAVERAS,PUBLIC,CALAVERAS UNIFIED,VALLEY SPRINGS,JENNY LIND ELEMENTARY,85.0,82,96,0,0,3,4,0,0,0,0,82,96,82,96,82,96,82,96,82,96,Y,2018,CA
6003446,CALAVERAS,PUBLIC,CALAVERAS UNIFIED,VALLEY SPRINGS,VALLEY SPRINGS ELEMENTARY,67.0,62,93,3,4,0,0,2,3,0,0,63,94,64,96,63,94,64,96,--*,≥98%,Y,2018,CA
6003453,CALAVERAS,PUBLIC,CALAVERAS UNIFIED,WEST POINT,WEST POINT ELEMENTARY,23.0,20,87,2,9,1,4,0,0,0,0,20,87,21,91,--*,≥95%,21,91,--*,≥95%,Y,2018,CA
6003461,CALAVERAS,PUBLIC,MARK TWAIN UNION ELEMENTARY,ANGELS CAMP,MARK TWAIN ELEMENTARY,41.0,--*,≥95%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y,2018,CA
6003388,CALAVERAS,PUBLIC,MARK TWAIN UNION ELEMENTARY,COPPEROPOLIS,COPPEROPOLIS ELEMENTARY,34.0,32,94,2,6,0,0,0,0,0,0,--*,≥95%,--*,≥95%,32,94,--*,≥95%,--*,≥95%,Y,2018,CA
6003396,CALAVERAS,PUBLIC,VALLECITO UNION,ARNOLD,HAZEL FISCHER ELEMENTARY,41.0,--*,≥95%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y,2018,CA
6088975,CALAVERAS,PUBLIC,VALLECITO UNION,MURPHYS,ALBERT A. MICHELSON ELEMENTARY,37.0,34,92,2,5,1,3,0,0,0,0,34,92,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y,2018,CA
6003495,COLUSA,PUBLIC,COLUSA UNIFIED,COLUSA,JAMES M. BURCHFIELD PRIMARY,127.0,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6003503,COLUSA,PUBLIC,MAXWELL UNIFIED,MAXWELL,MAXWELL ELEMENTARY,25.0,20,80,5,20,0,0,0,0,0,0,22,88,23,92,23,92,22,88,23,92,Y,2018,CA
6003511,COLUSA,PUBLIC,PIERCE JOINT UNIFIED,ARBUCKLE,ARBUCKLE ELEMENTARY,79.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6003552,COLUSA,PUBLIC,WILLIAMS UNIFIED,WILLIAMS,WILLIAMS PRIMARY ELEMENTARY,118.0,116,98,2,2,0,0,0,0,0,0,--*,≥99%,--*,≥99%,116,98,--*,≥99%,--*,≥99%,Y,2018,CA
6115703,CONTRA COSTA,PUBLIC,ANTIOCH UNIFIED,ANTIOCH,ANTIOCH CHARTER ACADEMY,30.0,--*,≥95%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y,2018,CA
0115063,CONTRA COSTA,PUBLIC,ANTIOCH UNIFIED,ANTIOCH,ANTIOCH CHARTER ACADEMY II,32.0,--*,≥95%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y,2018,CA
6003578,CONTRA COSTA,PUBLIC,ANTIOCH UNIFIED,ANTIOCH,BELSHAW ELEMENTARY,68.0,61,90,7,10,0,0,0,0,0,0,61,90,64,94,63,93,--*,≥98%,--*,≥98%,Y,2018,CA
6117501,CONTRA COSTA,PUBLIC,ANTIOCH UNIFIED,ANTIOCH,DIABLO VISTA ELEMENTARY,109.0,97,89,0,0,0,0,0,0,12,11,99,91,101,93,100,92,105,96,--*,≥99%,Y,2018,CA
6003594,CONTRA COSTA,PUBLIC,ANTIOCH UNIFIED,ANTIOCH,FREMONT ELEMENTARY,73.0,71,97,1,1,1,1,0,0,0,0,71,97,--*,≥98%,71,97,--*,≥98%,--*,≥98%,Y,2018,CA
6115380,CONTRA COSTA,PUBLIC,ANTIOCH UNIFIED,ANTIOCH,GRANT ELEMENTARY,59.0,47,80,0,0,1,2,3,5,8,14,50,85,53,90,53,90,57,97,--*,≥98%,Y,2018,CA
6110514,CONTRA COSTA,PUBLIC,ANTIOCH UNIFIED,ANTIOCH,JACK LONDON ELEMENTARY,69.0,63,91,6,9,0,0,0,0,0,0,63,91,63,91,63,91,--*,≥98%,--*,≥98%,Y,2018,CA
6003602,CONTRA COSTA,PUBLIC,ANTIOCH UNIFIED,ANTIOCH,KIMBALL ELEMENTARY,93.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
0100461,CONTRA COSTA,PUBLIC,ANTIOCH UNIFIED,ANTIOCH,LONE TREE ELEMENTARY,80.0,67,84,0,0,1,1,0,0,12,15,73,91,74,93,73,91,--*,≥98%,77,96,Y,2018,CA
6003610,CONTRA COSTA,PUBLIC,ANTIOCH UNIFIED,ANTIOCH,MARSH ELEMENTARY,119.0,114,96,1,1,0,0,1,1,3,3,114,96,117,98,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6084941,CONTRA COSTA,PUBLIC,ANTIOCH UNIFIED,ANTIOCH,MISSION ELEMENTARY,118.0,109,92,9,8,0,0,0,0,0,0,110,93,113,96,113,96,--*,≥99%,116,98,Y,2018,CA
6108989,CONTRA COSTA,PUBLIC,ANTIOCH UNIFIED,ANTIOCH,MUIR JOHN ELEMENTARY,85.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
0137430,CONTRA COSTA,PUBLIC,ANTIOCH UNIFIED,ANTIOCH,ROCKETSHIP DELTA PREP,133.0,96,72,0,0,0,0,0,0,37,28,112,84,112,84,107,80,113,85,123,92,Y,2018,CA
6003628,CONTRA COSTA,PUBLIC,ANTIOCH UNIFIED,ANTIOCH,SUTTER ELEMENTARY,115.0,111,97,3,3,1,1,0,0,0,0,112,97,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6003636,CONTRA COSTA,PUBLIC,ANTIOCH UNIFIED,ANTIOCH,TURNER ELEMENTARY,94.0,87,93,0,0,0,0,0,0,7,7,89,95,91,97,91,97,--*,≥98%,--*,≥98%,Y,2018,CA
0113761,CONTRA COSTA,PUBLIC,ANTIOCH UNIFIED,OAKLEY,ORCHARD PARK,60.0,58,97,2,3,0,0,0,0,0,0,58,97,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6003644,CONTRA COSTA,PUBLIC,BRENTWOOD UNION ELEMENTARY,BRENTWOOD,BRENTWOOD ELEMENTARY,130.0,128,98,1,1,1,1,0,0,0,0,--*,≥99%,128,98,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6070981,CONTRA COSTA,PUBLIC,BRENTWOOD UNION ELEMENTARY,BRENTWOOD,GARIN ELEMENTARY,122.0,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6117410,CONTRA COSTA,PUBLIC,BRENTWOOD UNION ELEMENTARY,BRENTWOOD,LOMA VISTA ELEMENTARY,122.0,119,98,2,2,1,1,0,0,0,0,120,98,120,98,120,98,119,98,--*,≥99%,Y,2018,CA
0108019,CONTRA COSTA,PUBLIC,BRENTWOOD UNION ELEMENTARY,BRENTWOOD,MARSH CREEK ELEMENTARY,149.0,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
0127464,CONTRA COSTA,PUBLIC,BRENTWOOD UNION ELEMENTARY,BRENTWOOD,MARY CASEY BLACK ELEMENTARY,152.0,146,96,2,1,1,1,0,0,3,2,148,97,148,97,147,97,--*,≥99%,--*,≥99%,Y,2018,CA
0102376,CONTRA COSTA,PUBLIC,BRENTWOOD UNION ELEMENTARY,BRENTWOOD,PIONEER ELEMENTARY,156.0,152,97,0,0,2,1,0,0,2,1,152,97,152,97,152,97,--*,≥99%,--*,≥99%,Y,2018,CA
6119754,CONTRA COSTA,PUBLIC,BRENTWOOD UNION ELEMENTARY,BRENTWOOD,R. PAUL KREY ELEMENTARY,153.0,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6109730,CONTRA COSTA,PUBLIC,BRENTWOOD UNION ELEMENTARY,BRENTWOOD,RON NUNN ELEMENTARY,125.0,115,92,5,4,1,1,0,0,4,3,118,94,120,96,115,92,--*,≥99%,--*,≥99%,Y,2018,CA
0130930,CONTRA COSTA,PUBLIC,BYRON UNION ELEMENTARY,BYRON,VISTA OAKS CHARTER,42.0,20,48,1,2,4,10,17,40,0,0,21,50,22,52,21,50,23,55,22,52,Y,2018,CA
6101943,CONTRA COSTA,PUBLIC,BYRON UNION ELEMENTARY,DISCOVERY BAY,DISCOVERY BAY ELEMENTARY,64.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6119838,CONTRA COSTA,PUBLIC,BYRON UNION ELEMENTARY,DISCOVERY BAY,TIMBER POINT ELEMENTARY,72.0,70,97,0,0,1,1,1,1,0,0,70,97,70,97,70,97,70,97,70,97,Y,2018,CA
0129528,CONTRA COSTA,PUBLIC,CONTRA COSTA COUNTY OFFICE OF EDUCATION,RICHMOND,CALIBER: BETA ACADEMY,95.0,92,97,3,3,0,0,0,0,0,0,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6003701,CONTRA COSTA,PUBLIC,JOHN SWETT UNIFIED,RODEO,RODEO HILLS ELEMENTARY,125.0,123,98,2,2,0,0,0,0,0,0,123,98,123,98,--*,≥99%,123,98,--*,≥99%,Y,2018,CA
0133769,CONTRA COSTA,PUBLIC,KNIGHTSEN ELEMENTARY,BRENTWOOD,OLD RIVER ELEMENTARY,48.0,--*,≥95%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y,2018,CA
6003719,CONTRA COSTA,PUBLIC,KNIGHTSEN ELEMENTARY,KNIGHTSEN,KNIGHTSEN ELEMENTARY,49.0,--*,≥95%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y,2018,CA
6003727,CONTRA COSTA,PUBLIC,LAFAYETTE ELEMENTARY,LAFAYETTE,BURTON VALLEY ELEMENTARY,145.0,128,88,0,0,2,1,0,0,15,10,132,91,135,93,--*,≥99%,142,98,--*,≥99%,Y,2018,CA
6003743,CONTRA COSTA,PUBLIC,LAFAYETTE ELEMENTARY,LAFAYETTE,HAPPY VALLEY ELEMENTARY,105.0,97,92,8,8,0,0,0,0,0,0,97,92,102,97,102,97,--*,≥99%,--*,≥99%,Y,2018,CA
6003750,CONTRA COSTA,PUBLIC,LAFAYETTE ELEMENTARY,LAFAYETTE,LAFAYETTE ELEMENTARY,83.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6003792,CONTRA COSTA,PUBLIC,LAFAYETTE ELEMENTARY,LAFAYETTE,SPRINGHILL ELEMENTARY,63.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6003826,CONTRA COSTA,PUBLIC,MARTINEZ UNIFIED,MARTINEZ,JOHN MUIR ELEMENTARY,91.0,88,97,1,1,1,1,1,1,0,0,88,97,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6003834,CONTRA COSTA,PUBLIC,MARTINEZ UNIFIED,MARTINEZ,JOHN SWETT ELEMENTARY,98.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6003842,CONTRA COSTA,PUBLIC,MARTINEZ UNIFIED,MARTINEZ,LAS JUNTAS ELEMENTARY,68.0,64,94,1,1,2,3,1,1,0,0,64,94,65,96,65,96,66,97,66,97,Y,2018,CA
6003875,CONTRA COSTA,PUBLIC,MARTINEZ UNIFIED,MARTINEZ,MORELLO PARK ELEMENTARY,91.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6003909,CONTRA COSTA,PUBLIC,MORAGA ELEMENTARY,MORAGA,CAMINO PABLO ELEMENTARY,50.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6003917,CONTRA COSTA,PUBLIC,MORAGA ELEMENTARY,MORAGA,DONALD L. RHEEM ELEMENTARY,63.0,61,97,2,3,0,0,0,0,0,0,--*,≥98%,--*,≥98%,--*,≥98%,61,97,--*,≥98%,Y,2018,CA
6003933,CONTRA COSTA,PUBLIC,MORAGA ELEMENTARY,MORAGA,LOS PERALES ELEMENTARY,67.0,65,97,1,1,0,0,0,0,1,1,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6003974,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,BAY POINT,BEL AIR ELEMENTARY,84.0,81,96,3,4,0,0,0,0,0,0,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6096226,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,BAY POINT,RIO VISTA ELEMENTARY,81.0,75,93,3,4,0,0,3,4,0,0,--*,≥98%,--*,≥98%,78,96,--*,≥98%,77,95,Y,2018,CA
6004295,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,BAY POINT,SHORE ACRES ELEMENTARY,71.0,69,97,2,3,0,0,0,0,0,0,69,97,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6004188,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,CLAYTON,MT. DIABLO ELEMENTARY,147.0,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6003958,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,CONCORD,AYERS ELEMENTARY,82.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6003982,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,CONCORD,CAMBRIDGE ELEMENTARY,102.0,100,98,2,2,0,0,0,0,0,0,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,100,98,Y,2018,CA
6004048,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,CONCORD,EL MONTE ELEMENTARY,96.0,91,95,3,3,2,2,0,0,0,0,--*,≥98%,93,97,93,97,93,97,--*,≥98%,Y,2018,CA
6004105,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,CONCORD,HIGHLANDS ELEMENTARY,91.0,88,97,0,0,3,3,0,0,0,0,88,97,88,97,88,97,88,97,88,97,Y,2018,CA
0135822,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,CONCORD,HOLBROOK LANGUAGE ACADEMY,103.0,101,98,2,2,0,0,0,0,0,0,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6004154,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,CONCORD,MEADOW HOMES ELEMENTARY,142.0,138,97,4,3,0,0,0,0,0,0,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,139,98,Y,2018,CA
6004162,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,CONCORD,MONTE GARDENS ELEMENTARY,79.0,76,96,0,0,3,4,0,0,0,0,76,96,76,96,76,96,76,96,76,96,Y,2018,CA
6004170,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,CONCORD,MOUNTAIN VIEW ELEMENTARY,51.0,49,96,2,4,0,0,0,0,0,0,--*,≥98%,49,96,--*,≥98%,49,96,--*,≥98%,Y,2018,CA
6004303,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,CONCORD,SILVERWOOD ELEMENTARY,111.0,105,95,4,4,2,2,0,0,0,0,107,96,108,97,109,98,--*,≥99%,--*,≥99%,Y,2018,CA
6004329,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,CONCORD,SUN TERRACE ELEMENTARY,80.0,78,98,2,3,0,0,0,0,0,0,78,98,--*,≥98%,--*,≥98%,78,98,--*,≥98%,Y,2018,CA
6004378,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,CONCORD,WESTWOOD ELEMENTARY,57.0,55,96,2,4,0,0,0,0,0,0,--*,≥98%,--*,≥98%,--*,≥98%,55,96,--*,≥98%,Y,2018,CA
6004394,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,CONCORD,WOODSIDE ELEMENTARY,75.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6004402,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,CONCORD,WREN AVENUE ELEMENTARY,107.0,102,95,5,5,0,0,0,0,0,0,102,95,105,98,104,97,103,96,103,96,Y,2018,CA
6004410,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,CONCORD,YGNACIO VALLEY ELEMENTARY,72.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6004097,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,MARTINEZ,HIDDEN VALLEY ELEMENTARY,167.0,163,98,3,2,0,0,1,1,0,0,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
0106088,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,PITTSBURG,DELTA VIEW ELEMENTARY,121.0,116,96,5,4,0,0,0,0,0,0,117,97,117,97,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6004055,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,PLEASANT HILL,FAIR OAKS ELEMENTARY,78.0,67,86,10,13,1,1,0,0,0,0,73,94,74,95,73,94,76,97,69,88,Y,2018,CA
6112395,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,PLEASANT HILL,GREGORY GARDENS ELEMENTARY,84.0,80,95,4,5,0,0,0,0,0,0,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,80,95,Y,2018,CA
6004246,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,PLEASANT HILL,PLEASANT HILL ELEMENTARY,139.0,134,96,2,1,3,2,0,0,0,0,136,98,136,98,135,97,--*,≥99%,134,96,Y,2018,CA
6004253,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,PLEASANT HILL,SEQUOIA ELEMENTARY,96.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6004311,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,PLEASANT HILL,STRANDWOOD ELEMENTARY,121.0,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6004337,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,PLEASANT HILL,VALHALLA ELEMENTARY,105.0,103,98,2,2,0,0,0,0,0,0,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,103,98,Y,2018,CA
6003966,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,WALNUT CREEK,BANCROFT ELEMENTARY,125.0,123,98,1,1,1,1,0,0,0,0,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,123,98,Y,2018,CA
6004345,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,WALNUT CREEK,VALLE VERDE ELEMENTARY,103.0,98,95,5,5,0,0,0,0,0,0,98,95,--*,≥99%,100,97,--*,≥99%,101,98,Y,2018,CA
6004360,CONTRA COSTA,PUBLIC,MT. DIABLO UNIFIED,WALNUT CREEK,WALNUT ACRES ELEMENTARY,132.0,130,98,1,1,0,0,1,1,0,0,--*,≥99%,--*,≥99%,130,98,--*,≥99%,130,98,Y,2018,CA
0129064,CONTRA COSTA,PUBLIC,OAKLEY UNION ELEMENTARY,OAKLEY,ALMOND GROVE ELEMENTARY,101.0,99,98,0,0,2,2,0,0,0,0,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,99,98,Y,2018,CA
6096234,CONTRA COSTA,PUBLIC,OAKLEY UNION ELEMENTARY,OAKLEY,GEHRINGER ELEMENTARY,134.0,131,98,2,1,1,1,0,0,0,0,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
0110684,CONTRA COSTA,PUBLIC,OAKLEY UNION ELEMENTARY,OAKLEY,IRON HOUSE ELEMENTARY,144.0,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6110803,CONTRA COSTA,PUBLIC,OAKLEY UNION ELEMENTARY,OAKLEY,LAUREL ELEMENTARY,110.0,106,96,2,2,2,2,0,0,0,0,107,97,108,98,108,98,106,96,108,98,Y,2018,CA
6004428,CONTRA COSTA,PUBLIC,OAKLEY UNION ELEMENTARY,OAKLEY,OAKLEY ELEMENTARY,82.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6110811,CONTRA COSTA,PUBLIC,OAKLEY UNION ELEMENTARY,OAKLEY,VINTAGE PARKWAY ELEMENTARY,107.0,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6004444,CONTRA COSTA,PUBLIC,ORINDA UNION ELEMENTARY,ORINDA,DEL REY ELEMENTARY,80.0,77,96,0,0,3,4,0,0,0,0,77,96,--*,≥98%,77,96,--*,≥98%,--*,≥98%,Y,2018,CA
6004451,CONTRA COSTA,PUBLIC,ORINDA UNION ELEMENTARY,ORINDA,GLORIETTA ELEMENTARY,86.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6004501,CONTRA COSTA,PUBLIC,ORINDA UNION ELEMENTARY,ORINDA,SLEEPY HOLLOW ELEMENTARY,53.0,50,94,0,0,3,6,0,0,0,0,50,94,51,96,51,96,51,96,51,96,Y,2018,CA
6066583,CONTRA COSTA,PUBLIC,ORINDA UNION ELEMENTARY,ORINDA,WAGNER RANCH ELEMENTARY,79.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6098578,CONTRA COSTA,PUBLIC,PITTSBURG UNIFIED,PITTSBURG,FOOTHILL ELEMENTARY,104.0,101,97,3,3,0,0,0,0,0,0,101,97,101,97,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6004527,CONTRA COSTA,PUBLIC,PITTSBURG UNIFIED,PITTSBURG,HEIGHTS ELEMENTARY,109.0,107,98,2,2,0,0,0,0,0,0,--*,≥99%,--*,≥99%,--*,≥99%,107,98,--*,≥99%,Y,2018,CA
6004535,CONTRA COSTA,PUBLIC,PITTSBURG UNIFIED,PITTSBURG,HIGHLANDS ELEMENTARY,84.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6004543,CONTRA COSTA,PUBLIC,PITTSBURG UNIFIED,PITTSBURG,LOS MEDANOS ELEMENTARY,139.0,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
