,year,FIPS,office,state,dem_votes,rep_votes,total_votes,target,win_percentage,win_margin,skew,Population(2010),Land Areami²,Water Areami²,Total Areami²,Latitude,Longitude
244,2020,6081.0,PRESIDENT,CA,291496.0,75584.0,367080.0,0,79.41,29.41,-29.41,718451,448.408,292.551,740.959,37.41466,-122.37154
250,2020,6083.0,PRESIDENT,CA,129963.0,65736.0,195699.0,0,66.41,16.41,-16.41,423895,2735.085,1053.993,3789.078,34.53737,-120.03848
256,2020,6085.0,PRESIDENT,CA,617967.0,214612.0,832579.0,0,74.22,24.22,-24.22,1781642,1290.100,13.967,1304.067,37.22077,-121.69062
262,2020,6087.0,PRESIDENT,CA,114246.0,26937.0,141183.0,0,80.92,30.92,-30.92,262382,445.170,161.996,607.166,37.01248,-122.0072
268,2020,6089.0,PRESIDENT,CA,30000.0,60789.0,90789.0,1,66.96,16.96,16.96,177223,3775.402,72.020,3847.422,40.76052,-122.04355
274,2020,6091.0,PRESIDENT,CA,730.0,1142.0,1872.0,1,61.0,11.0,11.0,3240,953.214,8.996,962.210,39.57692,-120.52199
280,2020,6093.0,PRESIDENT,CA,9593.0,13290.0,22883.0,1,58.08,8.08,8.08,44900,6277.887,69.456,6347.343,41.58798,-122.53328
286,2020,6095.0,PRESIDENT,CA,131639.0,69306.0,200945.0,0,65.51,15.51,-15.51,413344,821.765,84.427,906.192,38.26722,-121.93959
292,2020,6097.0,PRESIDENT,CA,199938.0,61825.0,261763.0,0,76.38,26.38,-26.38,483878,1575.849,192.098,1767.947,38.53257,-122.94519
298,2020,6099.0,PRESIDENT,CA,105841.0,104145.0,209986.0,0,50.4,0.4,-0.4,514453,1494.827,19.860,1514.687,37.56238,-121.00265
304,2020,6101.0,PRESIDENT,CA,17367.0,24375.0,41742.0,1,58.39,8.39,8.39,94737,602.410,6.080,608.490,39.03525,-121.70275
310,2020,6103.0,PRESIDENT,CA,8911.0,19141.0,28052.0,1,68.23,18.23,18.23,63463,2949.709,12.462,2962.171,40.12615,-122.23227
316,2020,6105.0,PRESIDENT,CA,2851.0,3188.0,6039.0,1,52.79,2.79,2.79,13786,3179.254,28.343,3207.597,40.64772,-123.1144
322,2020,6107.0,PRESIDENT,CA,66105.0,77579.0,143684.0,1,53.99,3.99,3.99,442179,4824.215,14.437,4838.652,36.23045,-118.78054
328,2020,6109.0,PRESIDENT,CA,11978.0,17689.0,29667.0,1,59.63,9.63,9.63,55365,2220.884,53.546,2274.430,38.02145,-119.9647
334,2020,6111.0,PRESIDENT,CA,251388.0,162207.0,413595.0,0,60.78,10.78,-10.78,823318,1843.133,365.249,2208.382,34.35874,-119.13314
340,2020,6113.0,PRESIDENT,CA,67598.0,27292.0,94890.0,0,71.24,21.24,-21.24,200849,1014.689,8.868,1023.557,38.67926,-121.90317
346,2020,6115.0,PRESIDENT,CA,11230.0,17676.0,28906.0,1,61.15,11.15,11.15,72155,631.839,11.969,643.808,39.27002,-121.34428
352,2020,12001.0,PRESIDENT,FL,89704.0,50972.0,140676.0,0,63.77,13.77,-13.77,247336,875.020,93.788,968.808,29.67574,-82.35722
358,2020,12003.0,PRESIDENT,FL,2037.0,11911.0,13948.0,1,85.4,35.4,35.4,27115,585.231,3.740,588.971,30.32444,-82.30228
364,2020,12005.0,PRESIDENT,FL,25614.0,66097.0,91711.0,1,72.07,22.07,22.07,168852,758.459,274.694,1033.153,30.23756,-85.63134
370,2020,12007.0,PRESIDENT,FL,3160.0,10334.0,13494.0,1,76.58,26.58,26.58,28520,293.962,6.527,300.489,29.94693,-82.16679
376,2020,12009.0,PRESIDENT,FL,148549.0,207883.0,356432.0,1,58.32,8.32,8.32,543376,1015.664,541.331,1556.995,28.29827,-80.70038
382,2020,12011.0,PRESIDENT,FL,618752.0,333409.0,952161.0,0,64.98,14.98,-14.98,1748066,1209.785,113.077,1322.862,26.19352,-80.47665
388,2020,12013.0,PRESIDENT,FL,1209.0,5274.0,6483.0,1,81.35,31.35,31.35,14625,567.334,6.979,574.313,30.3888,-85.19791
394,2020,12015.0,PRESIDENT,FL,42273.0,73243.0,115516.0,1,63.41,13.41,13.41,159978,680.279,178.022,858.301,26.86882,-81.94085
400,2020,12017.0,PRESIDENT,FL,27092.0,65352.0,92444.0,1,70.69,20.69,20.69,141236,581.696,191.598,773.294,28.84362,-82.52479
