,year,FIPS,office,state,dem_votes,rep_votes,total_votes,target,win_percentage,win_margin,skew,Population(2010),Land Areami²,Water Areami²,Total Areami²,Latitude,Longitude
1030,2020,17093.0,PRESIDENT,IL,33168.0,29492.0,62660.0,0,52.93,2.93,-2.93,114736,320.335,1.985,322.320,41.58814,-88.43062
1036,2020,17095.0,PRESIDENT,IL,10703.0,12009.0,22712.0,1,52.88,2.88,2.88,52919,716.395,3.417,719.812,40.93094,-90.21376
1042,2020,17097.0,PRESIDENT,IL,204032.0,123594.0,327626.0,0,62.28,12.28,-12.28,703462,443.670,924.809,1368.479,42.32644,-87.43611
1048,2020,17099.0,PRESIDENT,IL,22442.0,30113.0,52555.0,1,57.3,7.3,7.3,113924,1135.124,13.012,1148.136,41.34334,-88.88593
1054,2020,17101.0,PRESIDENT,IL,1419.0,4886.0,6305.0,1,77.49,27.49,27.49,16833,372.178,1.961,374.139,38.71895,-87.73022
1060,2020,17103.0,PRESIDENT,IL,6407.0,9630.0,16037.0,1,60.05,10.05,10.05,36031,724.896,4.057,728.953,41.74744,-89.29935
1066,2020,17105.0,PRESIDENT,IL,4615.0,12208.0,16823.0,1,72.57,22.57,22.57,38950,1044.285,1.642,1045.927,40.89437,-88.55285
1072,2020,17107.0,PRESIDENT,IL,3840.0,9136.0,12976.0,1,70.41,20.41,20.41,30305,618.059,0.868,618.927,40.12907,-89.3653
1078,2020,17109.0,PRESIDENT,IL,4992.0,7027.0,12019.0,1,58.47,8.47,8.47,32612,589.407,0.777,590.184,40.45578,-90.67757
1084,2020,17111.0,PRESIDENT,IL,78154.0,82260.0,160414.0,1,51.28,1.28,1.28,308760,603.171,7.642,610.813,42.32429,-88.45224
1090,2020,17113.0,PRESIDENT,IL,43933.0,40502.0,84435.0,0,52.03,2.03,-2.03,169572,1183.378,2.892,1186.270,40.49455,-88.84453
1096,2020,17115.0,PRESIDENT,IL,19847.0,28589.0,48436.0,1,59.02,9.02,9.02,110768,580.689,5.176,585.865,39.86023,-88.96152
1102,2020,17117.0,PRESIDENT,IL,7365.0,16153.0,23518.0,1,68.68,18.68,18.68,47765,862.906,4.744,867.650,39.2659,-89.92634
1108,2020,17119.0,PRESIDENT,IL,57836.0,76031.0,133867.0,1,56.8,6.8,6.8,269282,715.582,24.980,740.562,38.82708,-89.90019
1114,2020,17121.0,PRESIDENT,IL,4524.0,12678.0,17202.0,1,73.7,23.7,23.7,39437,572.363,3.673,576.036,38.64839,-88.92022
1120,2020,17123.0,PRESIDENT,IL,2005.0,4197.0,6202.0,1,67.67,17.67,17.67,12640,386.789,11.725,398.514,41.03111,-89.34237
1126,2020,17125.0,PRESIDENT,IL,1985.0,4654.0,6639.0,1,70.1,20.1,20.1,14666,539.238,24.226,563.464,40.23699,-89.91357
1132,2020,17127.0,PRESIDENT,IL,1725.0,4997.0,6722.0,1,74.34,24.34,24.34,15429,237.218,4.596,241.814,37.21611,-88.70565
1138,2020,17129.0,PRESIDENT,IL,2022.0,4764.0,6786.0,1,70.2,20.2,20.2,12705,314.437,1.020,315.457,40.02256,-89.79413
1144,2020,17131.0,PRESIDENT,IL,3280.0,5418.0,8698.0,1,62.29,12.29,12.29,16434,561.202,7.492,568.694,41.20479,-90.74143
1150,2020,17133.0,PRESIDENT,IL,6569.0,14142.0,20711.0,1,68.28,18.28,18.28,32957,385.011,13.025,398.036,38.27798,-90.17907
1156,2020,17135.0,PRESIDENT,IL,3905.0,9544.0,13449.0,1,70.96,20.96,20.96,30104,703.687,5.990,709.677,39.22809,-89.478
1162,2020,17137.0,PRESIDENT,IL,5076.0,9950.0,15026.0,1,66.22,16.22,16.22,35547,568.791,3.506,572.297,39.7168,-90.20227
1168,2020,17139.0,PRESIDENT,IL,1662.0,4964.0,6626.0,1,74.92,24.92,24.92,14846,335.943,8.534,344.477,39.63689,-88.62572
1174,2020,17141.0,PRESIDENT,IL,9428.0,16248.0,25676.0,1,63.28,13.28,13.28,53497,758.574,4.411,762.985,42.04188,-89.32017
1180,2020,17143.0,PRESIDENT,IL,43578.0,38252.0,81830.0,0,53.25,3.25,-3.25,186494,619.209,11.390,630.599,40.78599,-89.76735
1186,2020,17145.0,PRESIDENT,IL,2612.0,7313.0,9925.0,1,73.68,23.68,23.68,22350,441.761,5.192,446.953,38.08438,-89.36848
1192,2020,17147.0,PRESIDENT,IL,3329.0,6248.0,9577.0,1,65.24,15.24,15.24,16729,439.202,0.260,439.462,40.00905,-88.59232
1198,2020,17149.0,PRESIDENT,IL,1484.0,6332.0,7816.0,1,81.01,31.01,31.01,16430,831.381,17.503,848.884,39.6251,-90.88903
1204,2020,17151.0,PRESIDENT,IL,433.0,1722.0,2155.0,1,79.91,29.91,29.91,4470,368.770,5.532,374.302,37.41716,-88.54237
1210,2020,17153.0,PRESIDENT,IL,891.0,1699.0,2590.0,1,65.6,15.6,15.6,6161,199.185,4.044,203.229,37.21561,-89.12775
1216,2020,17155.0,PRESIDENT,IL,1338.0,1993.0,3331.0,1,59.83,9.83,9.83,6006,160.161,12.063,172.224,41.19894,-89.29838
1222,2020,17157.0,PRESIDENT,IL,3592.0,11076.0,14668.0,1,75.51,25.51,25.51,33476,575.500,21.705,597.205,38.05651,-89.82121
1228,2020,17159.0,PRESIDENT,IL,1830.0,6089.0,7919.0,1,76.89,26.89,26.89,16233,359.990,1.906,361.896,38.71155,-88.08569
1234,2020,17161.0,PRESIDENT,IL,36691.0,28603.0,65294.0,0,56.19,6.19,-6.19,147546,427.636,23.652,451.288,41.4684,-90.5722
1240,2020,17163.0,PRESIDENT,IL,68325.0,57150.0,125475.0,0,54.45,4.45,-4.45,270056,657.759,16.274,674.033,38.47019,-89.92854
1246,2020,17165.0,PRESIDENT,IL,2789.0,8103.0,10892.0,1,74.39,24.39,24.39,24913,379.819,6.961,386.780,37.75165,-88.54503
1252,2020,17167.0,PRESIDENT,IL,48917.0,53485.0,102402.0,1,52.23,2.23,2.23,197465,868.302,8.717,877.019,39.75637,-89.66231
1258,2020,17169.0,PRESIDENT,IL,1068.0,2773.0,3841.0,1,72.19,22.19,22.19,7544,437.273,4.059,441.332,40.1569,-90.61346
1264,2020,17171.0,PRESIDENT,IL,572.0,2114.0,2686.0,1,78.7,28.7,28.7,5355,250.913,1.858,252.771,39.63698,-90.47775
1270,2020,17173.0,PRESIDENT,IL,2504.0,9426.0,11930.0,1,79.01,29.01,29.01,22363,758.523,9.547,768.070,39.38492,-88.79886
1276,2020,17175.0,PRESIDENT,IL,815.0,2004.0,2819.0,1,71.09,21.09,21.09,5994,288.079,0.274,288.353,41.0969,-89.79741
1282,2020,17177.0,PRESIDENT,IL,9055.0,12521.0,21576.0,1,58.03,8.03,8.03,47711,564.523,0.535,565.058,42.34972,-89.66599
1288,2020,17179.0,PRESIDENT,IL,24819.0,42513.0,67332.0,1,63.14,13.14,13.14,135394,648.974,8.962,657.936,40.50807,-89.51626
1294,2020,17181.0,PRESIDENT,IL,2579.0,6161.0,8740.0,1,70.49,20.49,20.49,17808,413.459,8.689,422.148,37.4751,-89.25287
1300,2020,17183.0,PRESIDENT,IL,10323.0,20725.0,31048.0,1,66.75,16.75,16.75,81625,898.368,2.909,901.277,40.18674,-87.72677
1306,2020,17185.0,PRESIDENT,IL,1253.0,4237.0,5490.0,1,77.18,27.18,27.18,11947,223.252,4.254,227.506,38.44582,-87.83916
1312,2020,17187.0,PRESIDENT,IL,3090.0,4676.0,7766.0,1,60.21,10.21,10.21,17707,542.405,0.646,543.051,40.85044,-90.62022
1318,2020,17189.0,PRESIDENT,IL,1641.0,6115.0,7756.0,1,78.84,28.84,28.84,14716,562.572,1.334,563.906,38.35314,-89.41718
1324,2020,17191.0,PRESIDENT,IL,1187.0,7176.0,8363.0,1,85.81,35.81,35.81,16760,713.814,1.672,715.486,38.43194,-88.43212
1330,2020,17193.0,PRESIDENT,IL,1517.0,5791.0,7308.0,1,79.24,29.24,29.24,14665,494.766,7.095,501.861,38.08737,-88.17858
1336,2020,17195.0,PRESIDENT,IL,12253.0,14527.0,26780.0,1,54.25,4.25,4.25,58498,684.250,12.277,696.527,41.75057,-89.91095
1342,2020,17197.0,PRESIDENT,IL,183915.0,155116.0,339031.0,0,54.25,4.25,-4.25,677560,836.908,12.318,849.226,41.44847,-87.97845
1348,2020,17199.0,PRESIDENT,IL,10206.0,22801.0,33007.0,1,69.08,19.08,19.08,66357,420.149,24.203,444.352,37.73035,-88.93001
1354,2020,17201.0,PRESIDENT,IL,64056.0,60861.0,124917.0,0,51.28,1.28,-1.28,295266,513.362,5.888,519.250,42.33739,-89.1612
1360,2020,17203.0,PRESIDENT,IL,6160.0,14799.0,20959.0,1,70.61,20.61,20.61,38664,527.799,14.843,542.642,40.78959,-89.2103
1366,2020,26001.0,PRESIDENT,MI,2142.0,4848.0,6990.0,1,69.36,19.36,19.36,10942,674.585,1115.997,1790.582,44.68253,-82.83408
1372,2020,26003.0,PRESIDENT,MI,2053.0,3014.0,5067.0,1,59.48,9.48,9.48,9601,915.070,4132.666,5047.736,47.08007,-86.5641
1378,2020,26005.0,PRESIDENT,MI,24449.0,41392.0,65841.0,1,62.87,12.87,12.87,111408,825.231,1008.057,1833.288,42.59578,-86.63474
1384,2020,26007.0,PRESIDENT,MI,6000.0,10686.0,16686.0,1,64.04,14.04,14.04,29598,571.860,1123.062,1694.922,44.89495,-83.42657
1390,2020,26009.0,PRESIDENT,MI,5960.0,9748.0,15708.0,1,62.06,12.06,12.06,23580,475.703,126.067,601.770,45.00545,-85.17562
1396,2020,26011.0,PRESIDENT,MI,2774.0,5928.0,8702.0,1,68.12,18.12,18.12,15899,363.191,317.499,680.690,44.03687,-83.74067
1402,2020,26013.0,PRESIDENT,MI,1478.0,2512.0,3990.0,1,62.96,12.96,12.96,8860,898.257,170.514,1068.771,46.69606,-88.35602
1408,2020,26015.0,PRESIDENT,MI,11797.0,23471.0,35268.0,1,66.55,16.55,16.55,59173,553.092,23.950,577.042,42.58281,-85.31455
1414,2020,26017.0,PRESIDENT,MI,26151.0,33125.0,59276.0,1,55.88,5.88,5.88,107771,442.302,188.415,630.717,43.69971,-83.9787
1420,2020,26019.0,PRESIDENT,MI,5480.0,6601.0,12081.0,1,54.64,4.64,4.64,17525,319.704,539.864,859.568,44.64862,-86.49431
1426,2020,26021.0,PRESIDENT,MI,37438.0,43519.0,80957.0,1,53.76,3.76,3.76,156813,567.747,1013.725,1581.472,41.79263,-86.74182
1432,2020,26023.0,PRESIDENT,MI,6159.0,14064.0,20223.0,1,69.54,19.54,19.54,45248,506.369,13.307,519.676,41.91858,-85.06652
1438,2020,26025.0,PRESIDENT,MI,28877.0,36221.0,65098.0,1,55.64,5.64,5.64,136146,706.233,12.120,718.353,42.24299,-85.01238
1444,2020,26027.0,PRESIDENT,MI,9130.0,16699.0,25829.0,1,64.65,14.65,14.65,52293,490.062,18.255,508.317,41.91624,-85.99945
1450,2020,26029.0,PRESIDENT,MI,6939.0,9841.0,16780.0,1,58.65,8.65,8.65,25949,416.339,974.125,1390.464,45.51316,-85.45039
1456,2020,26031.0,PRESIDENT,MI,5437.0,10186.0,15623.0,1,65.2,15.2,15.2,26152,715.264,170.119,885.383,45.47612,-84.49527
1462,2020,26033.0,PRESIDENT,MI,6648.0,10681.0,17329.0,1,61.64,11.64,11.64,38520,1558.420,1139.970,2698.390,46.32181,-84.52063
1468,2020,26035.0,PRESIDENT,MI,5199.0,10861.0,16060.0,1,67.63,17.63,17.63,30926,564.315,11.024,575.339,43.99113,-84.83832
1474,2020,26037.0,PRESIDENT,MI,21968.0,25098.0,47066.0,1,53.33,3.33,3.33,75382,566.408,8.149,574.557,42.95045,-84.59169
1480,2020,26039.0,PRESIDENT,MI,2672.0,5087.0,7759.0,1,65.56,15.56,15.56,14074,556.280,6.962,563.242,44.6802,-84.61113
1486,2020,26041.0,PRESIDENT,MI,7606.0,13207.0,20813.0,1,63.46,13.46,13.46,37069,1171.096,820.228,1991.324,45.8051,-86.90137
1492,2020,26043.0,PRESIDENT,MI,4744.0,9617.0,14361.0,1,66.97,16.97,16.97,26168,761.400,15.650,777.050,46.01282,-87.86611
1498,2020,26045.0,PRESIDENT,MI,31299.0,31798.0,63097.0,1,50.4,0.4,0.4,107759,575.175,4.258,579.433,42.58961,-84.84652
1504,2020,26047.0,PRESIDENT,MI,9662.0,12135.0,21797.0,1,55.67,5.67,5.67,32694,467.494,414.503,881.997,45.59009,-84.98682
1510,2020,26049.0,PRESIDENT,MI,119390.0,98714.0,218104.0,0,54.74,4.74,-4.74,425790,636.977,12.610,649.587,43.02107,-83.70637
1516,2020,26051.0,PRESIDENT,MI,4524.0,9893.0,14417.0,1,68.62,18.62,18.62,25692,501.779,14.151,515.930,43.98975,-84.38981
1522,2020,26053.0,PRESIDENT,MI,3570.0,4600.0,8170.0,1,56.3,6.3,6.3,16427,1101.849,374.495,1476.344,46.48805,-89.78831
1528,2020,26055.0,PRESIDENT,MI,28683.0,30502.0,59185.0,1,51.54,1.54,1.54,86986,464.331,136.984,601.315,44.71868,-85.55384
1534,2020,26057.0,PRESIDENT,MI,6693.0,12102.0,18795.0,1,64.39,14.39,14.39,42476,568.464,3.147,571.611,43.29232,-84.60469
1540,2020,26059.0,PRESIDENT,MI,5883.0,17037.0,22920.0,1,74.33,24.33,24.33,46688,598.133,8.873,607.006,41.86447,-84.6424
1546,2020,26061.0,PRESIDENT,MI,7750.0,10378.0,18128.0,1,57.25,7.25,7.25,36628,1009.099,492.402,1501.501,46.9983,-88.65206
1552,2020,26063.0,PRESIDENT,MI,5490.0,12731.0,18221.0,1,69.87,19.87,19.87,33118,835.706,1301.096,2136.802,43.90761,-82.85704
1558,2020,26065.0,PRESIDENT,MI,94212.0,47639.0,141851.0,0,66.42,16.42,-16.42,280895,556.120,4.592,560.712,42.60353,-84.37381
1564,2020,26067.0,PRESIDENT,MI,10901.0,20657.0,31558.0,1,65.46,15.46,15.46,63905,571.304,8.742,580.046,42.94465,-85.07376
1570,2020,26069.0,PRESIDENT,MI,5373.0,9759.0,15132.0,1,64.49,14.49,14.49,25887,549.096,1340.961,1890.057,44.32948,-82.84944
1576,2020,26071.0,PRESIDENT,MI,2493.0,4216.0,6709.0,1,62.84,12.84,12.84,11817,1166.149,45.061,1211.210,46.17024,-88.5404
1582,2020,26073.0,PRESIDENT,MI,14072.0,14815.0,28887.0,1,51.29,1.29,1.29,70311,572.677,5.004,577.681,43.64523,-84.83942
1588,2020,26075.0,PRESIDENT,MI,31995.0,47372.0,79367.0,1,59.69,9.69,9.69,160248,701.666,21.830,723.496,42.24847,-84.42086
1594,2020,26077.0,PRESIDENT,MI,83686.0,56823.0,140509.0,0,59.56,9.56,-9.56,250331,561.658,18.639,580.297,42.24626,-85.53285
1600,2020,26079.0,PRESIDENT,MI,3002.0,7436.0,10438.0,1,71.24,21.24,21.24,17153,559.865,10.841,570.706,44.67888,-85.08899
1606,2020,26081.0,PRESIDENT,MI,187915.0,165741.0,353656.0,0,53.13,3.13,-3.13,602622,846.948,24.996,871.944,43.03249,-85.54744
1612,2020,26083.0,PRESIDENT,MI,672.0,862.0,1534.0,1,56.19,6.19,6.19,2156,540.112,5426.078,5966.190,47.68198,-88.1488
1618,2020,26085.0,PRESIDENT,MI,2288.0,3946.0,6234.0,1,63.3,13.3,13.3,11539,567.370,6.910,574.280,43.99518,-85.8114
1624,2020,26087.0,PRESIDENT,MI,16367.0,35482.0,51849.0,1,68.43,18.43,18.43,88319,643.014,19.831,662.845,43.08863,-83.22432
1630,2020,26089.0,PRESIDENT,MI,8795.0,7916.0,16711.0,0,52.63,2.63,-2.63,21708,347.171,2185.021,2532.192,45.14618,-86.05157
1636,2020,26091.0,PRESIDENT,MI,20918.0,31541.0,52459.0,1,60.13,10.13,10.13,99892,749.555,11.854,761.409,41.89591,-84.06685
1642,2020,26093.0,PRESIDENT,MI,48220.0,76982.0,125202.0,1,61.49,11.49,11.49,180967,565.254,20.150,585.404,42.60253,-83.91171
1648,2020,26095.0,PRESIDENT,MI,842.0,2109.0,2951.0,1,71.47,21.47,21.47,6631,899.078,1013.409,1912.487,46.9406,-85.58236
1654,2020,26097.0,PRESIDENT,MI,2632.0,4304.0,6936.0,1,62.05,12.05,12.05,11113,1021.569,1079.075,2100.644,46.16798,-85.30375
1660,2020,26099.0,PRESIDENT,MI,223952.0,263863.0,487815.0,1,54.09,4.09,4.09,840978,479.223,91.627,570.850,42.67146,-82.91086
1666,2020,26101.0,PRESIDENT,MI,6107.0,8321.0,14428.0,1,57.67,7.67,7.67,24733,542.149,738.415,1280.564,44.35038,-86.60296
1672,2020,26103.0,PRESIDENT,MI,20465.0,16286.0,36751.0,0,55.69,5.69,-5.69,67077,1808.401,1616.139,3424.540,46.65659,-87.58402
1678,2020,26105.0,PRESIDENT,MI,6802.0,10207.0,17009.0,1,60.01,10.01,10.01,28705,495.073,747.369,1242.442,43.99663,-86.75081
1684,2020,26107.0,PRESIDENT,MI,7375.0,13267.0,20642.0,1,64.27,14.27,14.27,42798,555.071,16.123,571.194,43.63529,-85.33275
1690,2020,26109.0,PRESIDENT,MI,4316.0,8117.0,12433.0,1,65.29,15.29,15.29,24029,1044.079,294.133,1338.212,45.54417,-87.50989
1696,2020,26111.0,PRESIDENT,MI,20493.0,27675.0,48168.0,1,57.46,7.46,7.46,83629,516.253,11.815,528.068,43.64837,-84.37922
1702,2020,26113.0,PRESIDENT,MI,1967.0,6648.0,8615.0,1,77.17,27.17,27.17,14849,564.726,9.103,573.829,44.32542,-85.08547
1708,2020,26115.0,PRESIDENT,MI,32975.0,52710.0,85685.0,1,61.52,11.52,11.52,152021,549.394,130.625,680.019,41.91609,-83.4871
1714,2020,26117.0,PRESIDENT,MI,9703.0,21815.0,31518.0,1,69.21,19.21,19.21,63342,705.399,15.427,720.826,43.31278,-85.14946
1720,2020,26119.0,PRESIDENT,MI,1628.0,4171.0,5799.0,1,71.93,21.93,21.93,9765,546.663,15.989,562.652,45.02413,-84.1301
1726,2020,26121.0,PRESIDENT,MI,45643.0,45133.0,90776.0,0,50.28,0.28,-0.28,172188,499.246,960.779,1460.025,43.28925,-86.75189
1732,2020,26123.0,PRESIDENT,MI,7873.0,18857.0,26730.0,1,70.55,20.55,20.55,48460,813.204,48.485,861.689,43.5627,-85.79142
1738,2020,26125.0,PRESIDENT,MI,434148.0,325971.0,760119.0,0,57.12,7.12,-7.12,1202362,867.663,39.631,907.294,42.66045,-83.38421
1744,2020,26127.0,PRESIDENT,MI,4944.0,8892.0,13836.0,1,64.27,14.27,14.27,26570,512.071,793.879,1305.950,43.64725,-86.80757
1750,2020,26129.0,PRESIDENT,MI,3475.0,8253.0,11728.0,1,70.37,20.37,20.37,21699,563.488,11.465,574.953,44.33328,-84.12807
1756,2020,26131.0,PRESIDENT,MI,1391.0,2358.0,3749.0,1,62.9,12.9,12.9,6780,1311.225,2429.594,3740.819,47.2166,-89.50046
1762,2020,26133.0,PRESIDENT,MI,3214.0,8928.0,12142.0,1,73.53,23.53,23.53,23528,566.391,6.705,573.096,43.99755,-85.32228
1768,2020,26135.0,PRESIDENT,MI,1342.0,3466.0,4808.0,1,72.09,22.09,22.09,8640,565.731,5.851,571.582,44.68512,-84.12489
1774,2020,26137.0,PRESIDENT,MI,4743.0,9779.0,14522.0,1,67.34,17.34,17.34,24164,514.971,11.218,526.189,45.02179,-84.57659
1780,2020,26139.0,PRESIDENT,MI,64705.0,100913.0,165618.0,1,60.93,10.93,10.93,263801,563.467,1067.942,1631.409,42.94234,-86.65534
1786,2020,26141.0,PRESIDENT,MI,2911.0,5342.0,8253.0,1,64.73,14.73,14.73,13376,658.719,1914.037,2572.756,45.48951,-83.38401
1792,2020,26143.0,PRESIDENT,MI,5166.0,9670.0,14836.0,1,65.18,15.18,15.18,24449,519.636,60.396,580.032,44.33951,-84.61127
1798,2020,26145.0,PRESIDENT,MI,51088.0,50785.0,101873.0,0,50.15,0.15,-0.15,200169,800.114,15.852,815.966,43.32826,-84.05541
1804,2020,26147.0,PRESIDENT,MI,31363.0,59185.0,90548.0,1,65.36,15.36,15.36,163040,721.170,115.336,836.506,42.9288,-82.66891
1810,2020,26149.0,PRESIDENT,MI,9262.0,18127.0,27389.0,1,66.18,16.18,16.18,61295,500.591,20.441,521.032,41.91148,-85.52287
1816,2020,26151.0,PRESIDENT,MI,5966.0,16194.0,22160.0,1,73.08,23.08,23.08,43114,962.566,627.375,1589.941,43.44915,-82.64281
1822,2020,26153.0,PRESIDENT,MI,1589.0,3090.0,4679.0,1,66.04,16.04,16.04,8485,1171.358,712.621,1883.979,46.02075,-86.19935
1828,2020,26155.0,PRESIDENT,MI,15347.0,23149.0,38496.0,1,60.13,10.13,10.13,70648,530.668,10.280,540.948,42.95154,-84.14635
1834,2020,26157.0,PRESIDENT,MI,8712.0,20297.0,29009.0,1,69.97,19.97,19.97,55729,803.127,110.784,913.911,43.4879,-83.43661
1840,2020,26159.0,PRESIDENT,MI,16803.0,21591.0,38394.0,1,56.24,6.24,6.24,76258,607.474,482.423,1089.897,42.28398,-86.30569
1846,2020,26161.0,PRESIDENT,MI,157136.0,56241.0,213377.0,0,73.64,23.64,-23.64,344791,705.965,16.454,722.419,42.25232,-83.84463
1852,2020,26163.0,PRESIDENT,MI,597170.0,264553.0,861723.0,0,69.3,19.3,-19.3,1820584,612.080,60.597,672.677,42.28466,-83.26195
1858,2020,26165.0,PRESIDENT,MI,5838.0,12102.0,17940.0,1,67.46,17.46,17.46,32735,565.002,10.464,575.466,44.33137,-85.57004
1864,2020,48001.0,PRESIDENT,TX,3955.0,15110.0,19065.0,1,79.26,29.26,29.26,58458,1062.602,15.399,1078.001,31.84126,-95.66174
1870,2020,48003.0,PRESIDENT,TX,850.0,4943.0,5793.0,1,85.33,35.33,35.33,14786,1500.713,0.370,1501.083,32.31225,-102.6402
1876,2020,48005.0,PRESIDENT,TX,9143.0,25076.0,34219.0,1,73.28,23.28,23.28,86771,797.778,66.928,864.706,31.25195,-94.61105
1882,2020,48007.0,PRESIDENT,TX,2916.0,9239.0,12155.0,1,76.01,26.01,26.01,23158,252.074,275.917,527.991,28.10422,-96.97798
1888,2020,48009.0,PRESIDENT,TX,446.0,4300.0,4746.0,1,90.6,40.6,40.6,9054,903.110,22.308,925.418,33.6163,-98.68726
1894,2020,48011.0,PRESIDENT,TX,75.0,1035.0,1110.0,1,93.24,43.24,43.24,1901,909.109,4.718,913.827,34.96417,-101.35663
1900,2020,48013.0,PRESIDENT,TX,5876.0,12039.0,17915.0,1,67.2,17.2,17.2,44911,1219.544,1.929,1221.473,28.89429,-98.52818
1906,2020,48015.0,PRESIDENT,TX,2951.0,11447.0,14398.0,1,79.5,29.5,29.5,28417,646.508,9.875,656.383,29.8919,-96.27017
1912,2020,48017.0,PRESIDENT,TX,409.0,1434.0,1843.0,1,77.81,27.81,27.81,7165,826.797,0.684,827.481,34.06752,-102.83034
1918,2020,48019.0,PRESIDENT,TX,2505.0,10057.0,12562.0,1,80.06,30.06,30.06,20485,790.961,6.675,797.636,29.75574,-99.26068
1924,2020,48021.0,PRESIDENT,TX,15474.0,20516.0,35990.0,1,57.0,7.0,7.0,74171,888.150,7.396,895.546,30.10312,-97.31185
1930,2020,48023.0,PRESIDENT,TX,183.0,1494.0,1677.0,1,89.09,39.09,39.09,3726,867.482,33.585,901.067,33.61817,-99.19722
1936,2020,48025.0,PRESIDENT,TX,3288.0,6006.0,9294.0,1,64.62,14.62,14.62,31861,880.239,0.095,880.334,28.41607,-97.74258
1942,2020,48027.0,PRESIDENT,TX,57014.0,67893.0,124907.0,1,54.35,4.35,4.35,310235,1051.016,36.821,1087.837,31.04211,-97.48192
1948,2020,48029.0,PRESIDENT,TX,448452.0,308618.0,757070.0,0,59.24,9.24,-9.24,1714773,1239.820,16.266,1256.086,29.44867,-98.52014
1954,2020,48031.0,PRESIDENT,TX,1911.0,5443.0,7354.0,1,74.01,24.01,24.01,10497,709.251,4.176,713.427,30.2656,-98.39997
1960,2020,48033.0,PRESIDENT,TX,16.0,397.0,413.0,1,96.13,46.13,46.13,641,897.443,8.609,906.052,32.74406,-101.43303
1966,2020,48035.0,PRESIDENT,TX,1561.0,7469.0,9030.0,1,82.71,32.71,32.71,18212,982.978,19.565,1002.543,31.90076,-97.63763
1972,2020,48037.0,PRESIDENT,TX,10747.0,27116.0,37863.0,1,71.62,21.62,21.62,92565,885.006,37.962,922.968,33.44605,-94.42237
1978,2020,48039.0,PRESIDENT,TX,62228.0,90433.0,152661.0,1,59.24,9.24,9.24,313166,1357.701,250.886,1608.587,29.16781,-95.43464
1984,2020,48041.0,PRESIDENT,TX,35349.0,47530.0,82879.0,1,57.35,7.35,7.35,194851,585.445,5.793,591.238,30.65672,-96.30238
1990,2020,48043.0,PRESIDENT,TX,2258.0,2461.0,4719.0,1,52.15,2.15,2.15,9232,6183.733,8.519,6192.252,29.80899,-103.25245
1996,2020,48045.0,PRESIDENT,TX,78.0,639.0,717.0,1,89.12,39.12,39.12,1637,900.001,1.571,901.572,34.52517,-101.20589
2002,2020,48047.0,PRESIDENT,TX,1470.0,998.0,2468.0,0,59.56,9.56,-9.56,7223,943.364,0.286,943.650,27.03499,-98.21527
2008,2020,48049.0,PRESIDENT,TX,2107.0,13698.0,15805.0,1,86.67,36.67,36.67,38106,944.433,12.521,956.954,31.7641,-98.99847
2014,2020,48051.0,PRESIDENT,TX,1788.0,6743.0,8531.0,1,79.04,29.04,29.04,17187,659.026,17.786,676.812,30.49348,-96.62209
2020,2020,48053.0,PRESIDENT,TX,5639.0,18767.0,24406.0,1,76.9,26.9,26.9,42750,994.258,27.004,1021.262,30.78961,-98.20119
2026,2020,48055.0,PRESIDENT,TX,6672.0,8031.0,14703.0,1,54.62,4.62,4.62,38066,545.257,1.905,547.162,29.84042,-97.63109
2032,2020,48057.0,PRESIDENT,TX,2148.0,5641.0,7789.0,1,72.42,22.42,22.42,21381,506.840,525.836,1032.676,28.44536,-96.5833
2038,2020,48059.0,PRESIDENT,TX,734.0,6012.0,6746.0,1,89.12,39.12,39.12,13544,899.372,1.891,901.263,32.29315,-99.37224
2044,2020,48061.0,PRESIDENT,TX,64063.0,49032.0,113095.0,0,56.65,6.65,-6.65,406220,890.922,385.535,1276.457,26.10292,-97.47895
2050,2020,48063.0,PRESIDENT,TX,1394.0,3626.0,5020.0,1,72.23,22.23,22.23,12401,195.826,7.407,203.233,32.97458,-94.97908
2056,2020,48065.0,PRESIDENT,TX,297.0,2779.0,3076.0,1,90.34,40.34,40.34,6182,920.220,3.886,924.106,35.40549,-101.35535
2062,2020,48067.0,PRESIDENT,TX,2795.0,11033.0,13828.0,1,79.79,29.79,29.79,30464,936.963,23.359,960.322,33.08369,-94.35757
2068,2020,48069.0,PRESIDENT,TX,466.0,1602.0,2068.0,1,77.47,27.47,27.47,8062,894.434,4.859,899.293,34.53362,-102.25878
2074,2020,48071.0,PRESIDENT,TX,3997.0,17353.0,21350.0,1,81.28,31.28,31.28,35096,597.137,274.046,871.183,29.70393,-94.66887
2080,2020,48073.0,PRESIDENT,TX,4210.0,15101.0,19311.0,1,78.2,28.2,28.2,50845,1052.913,9.279,1062.192,31.84385,-95.1565
2086,2020,48075.0,PRESIDENT,TX,310.0,1943.0,2253.0,1,86.24,36.24,36.24,7041,696.405,17.311,713.716,34.52933,-100.20833
2092,2020,48077.0,PRESIDENT,TX,614.0,5069.0,5683.0,1,89.2,39.2,39.2,10752,1088.721,28.033,1116.754,33.7859,-98.21291
2098,2020,48079.0,PRESIDENT,TX,177.0,809.0,986.0,1,82.05,32.05,32.05,3127,775.150,0.088,775.238,33.60844,-102.83044
