FIP,YEAR,STATEFIP,avg_inc,avg_age,avg_educ,avg_educd,sex,insurance,white,black,american_indian_or_alaska_native,chinese,japanese,other_asian_or_pacific_islander,other_race,two_major_races,three_or_more_major_races,married_spouse_present,married_spouse_absent,separated,divorced,widowed,single,NA,at_work,has_job_not_working,armed_forces_at_work,unemployed,not_in_labor_force
48441,2015,48,1765577.45,46.22,7.06,72.8,0.62,0.9,44355.0,4791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13922.0,1422.0,823.0,7230.0,9162.0,16587.0,0.0,27229.0,2081.0,718.0,1827.0,17291.0
48245,2015,48,1239094.27,46.77,6.88,71.29,0.57,0.76,81240.0,45630.0,0.0,0.0,0.0,1392.0,2021.0,0.0,0.0,60103.0,2066.0,4895.0,16662.0,7530.0,39027.0,0.0,62617.0,7530.0,449.0,5839.0,53848.0
48375,2015,48,1297519.21,45.29,6.75,69.02,0.28,0.7,47980.0,988.0,0.0,0.0,0.0,943.0,0.0,1257.0,0.0,21033.0,3667.0,2560.0,15330.0,404.0,8174.0,0.0,28159.0,449.0,0.0,0.0,22560.0
48041,2015,48,1891002.41,43.73,7.09,73.28,0.54,0.9,61316.0,9369.0,0.0,2305.0,0.0,554.0,3504.0,4461.0,0.0,19610.0,0.0,0.0,13174.0,9057.0,39668.0,0.0,45776.0,0.0,0.0,1168.0,34565.0
48479,2015,48,402356.29,51.13,6.19,64.22,0.49,0.68,58999.0,0.0,0.0,0.0,0.0,0.0,2051.0,0.0,0.0,33773.0,2710.0,3533.0,7336.0,6437.0,7261.0,0.0,42141.0,1183.0,0.0,778.0,16948.0
48157,2015,48,577273.4,48.43,8.25,84.84,0.37,0.9,97063.0,29324.0,0.0,11064.0,1437.0,32471.0,12170.0,748.0,0.0,133382.0,793.0,8803.0,17841.0,2485.0,20973.0,0.0,138936.0,0.0,0.0,988.0,44353.0
48061,2015,48,326811.72,52.52,5.97,62.26,0.48,0.7,132603.0,0.0,0.0,0.0,0.0,0.0,7320.0,988.0,0.0,87381.0,3593.0,2619.0,9295.0,18801.0,19222.0,0.0,79460.0,0.0,0.0,2245.0,59206.0
48309,2015,48,980765.35,46.36,7.03,73.1,0.6,0.8,77845.0,17259.0,0.0,0.0,0.0,0.0,1721.0,659.0,0.0,43924.0,0.0,4206.0,17337.0,7708.0,24309.0,1407.0,58518.0,180.0,0.0,3188.0,34191.0
48215,2015,48,392355.49,49.49,5.66,58.97,0.47,0.64,215817.0,2725.0,0.0,0.0,0.0,0.0,9655.0,4086.0,0.0,126269.0,14969.0,8323.0,25283.0,13727.0,43712.0,0.0,137948.0,1826.0,0.0,13232.0,79277.0
48339,2015,48,539026.07,49.04,6.97,72.56,0.65,0.87,144312.0,3458.0,823.0,0.0,0.0,2395.0,868.0,1542.0,0.0,82080.0,2709.0,12470.0,22607.0,20688.0,12844.0,0.0,88308.0,0.0,0.0,1123.0,63967.0
48257,2015,48,463292.59,53.71,7.09,73.3,0.56,0.95,37833.0,4911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19536.0,0.0,1079.0,14088.0,719.0,7322.0,0.0,30168.0,0.0,0.0,0.0,12576.0
48167,2015,48,180515.21,51.57,7.75,80.13,0.61,0.76,88562.0,24011.0,0.0,0.0,0.0,0.0,4671.0,2305.0,0.0,40120.0,2695.0,6961.0,28247.0,16392.0,25134.0,0.0,74699.0,1198.0,0.0,5389.0,38263.0
48187,2015,48,71761.16,47.85,7.01,72.7,0.5,0.82,39955.0,8653.0,2081.0,0.0,0.0,1003.0,7320.0,1422.0,0.0,27321.0,0.0,1198.0,24235.0,3428.0,4252.0,0.0,42499.0,0.0,0.0,1063.0,16872.0
48329,2015,48,687147.28,49.66,6.73,69.61,0.6,0.83,44489.0,9401.0,0.0,0.0,0.0,0.0,3189.0,0.0,0.0,21451.0,5015.0,928.0,5060.0,11557.0,13068.0,0.0,36122.0,1841.0,0.0,0.0,19116.0
48251,2015,48,1497673.71,53.28,5.69,59.1,0.44,0.73,42199.0,1482.0,329.0,0.0,0.0,0.0,823.0,2949.0,0.0,23638.0,3263.0,0.0,5165.0,8472.0,7244.0,0.0,21556.0,3218.0,0.0,0.0,23008.0
48485,2015,48,1993944.94,44.7,6.22,64.57,0.33,0.64,63784.0,5150.0,4416.0,2560.0,0.0,0.0,1856.0,0.0,0.0,24834.0,3562.0,2201.0,18936.0,2724.0,25509.0,0.0,40822.0,2919.0,6137.0,2560.0,25328.0
48139,2015,48,1287091.73,41.98,7.43,76.94,0.65,0.65,26555.0,2680.0,0.0,0.0,0.0,1632.0,0.0,1108.0,0.0,20328.0,2276.0,898.0,2994.0,2081.0,3398.0,0.0,22932.0,0.0,0.0,2515.0,6528.0
48183,2015,48,726470.66,45.9,7.2,73.69,0.43,0.82,31993.0,22155.0,0.0,0.0,0.0,0.0,0.0,5359.0,0.0,16931.0,778.0,3758.0,11587.0,5779.0,20674.0,0.0,41438.0,0.0,0.0,913.0,17156.0
