FIP,YEAR,STATEFIP,avg_inc,avg_age,avg_educ,avg_educd,sex,insurance,white,black,american_indian_or_alaska_native,chinese,japanese,other_asian_or_pacific_islander,other_race,two_major_races,three_or_more_major_races,married_spouse_present,married_spouse_absent,separated,divorced,widowed,single,NA,at_work,has_job_not_working,armed_forces_at_work,unemployed,not_in_labor_force
12111,2015,12,388344.29,53.51,6.26,65.58,0.53,0.81,99373.0,26242.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,44912.0,3892.0,4746.0,29745.0,19117.0,23428.0,0.0,47980.0,0.0,0.0,1677.0,76183.0
12031,2015,12,583386.29,48.88,7.42,76.32,0.5,0.88,228642.0,114506.0,0.0,0.0,2994.0,31855.0,3144.0,7290.0,1482.0,155455.0,18624.0,7694.0,80749.0,33323.0,94068.0,0.0,262372.0,2200.0,11813.0,4730.0,108798.0
12015,2015,12,834004.94,59.57,7.16,74.07,0.4,0.92,68872.0,7844.0,0.0,0.0,0.0,793.0,0.0,3638.0,1602.0,51643.0,0.0,509.0,15449.0,7289.0,7859.0,1392.0,32095.0,0.0,0.0,1497.0,47765.0
12061,2015,12,121878.95,59.86,7.1,73.85,0.48,0.93,69703.0,2455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31634.0,0.0,778.0,12515.0,13578.0,13653.0,0.0,40900.0,2021.0,0.0,0.0,29237.0
12053,2015,12,86746.59,66.81,7.34,75.73,0.44,0.96,64590.0,1048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36012.0,3039.0,0.0,12664.0,12096.0,1827.0,0.0,18605.0,0.0,0.0,2170.0,44863.0
12001,2015,12,1219216.46,44.46,7.95,81.96,0.58,0.89,83145.0,30734.0,599.0,0.0,0.0,6182.0,0.0,7201.0,0.0,47981.0,3997.0,0.0,23325.0,4326.0,48232.0,0.0,69311.0,719.0,0.0,6047.0,51784.0
12091,2015,12,1245443.38,50.37,7.56,77.87,0.36,0.82,44703.0,7380.0,0.0,0.0,0.0,0.0,3323.0,943.0,0.0,28129.0,4342.0,1153.0,8638.0,5749.0,8338.0,0.0,30835.0,0.0,4027.0,704.0,20783.0
12019,2015,12,117346.17,53.37,7.17,74.16,0.53,0.95,70476.0,5868.0,0.0,0.0,0.0,0.0,0.0,1377.0,0.0,43681.0,419.0,6722.0,11062.0,4102.0,11735.0,0.0,52887.0,1377.0,0.0,1841.0,21616.0
12057,2015,12,471108.82,49.95,7.64,78.75,0.48,0.9,334881.0,64925.0,1677.0,3488.0,0.0,6646.0,10883.0,20091.0,1961.0,184145.0,5299.0,12275.0,86360.0,32809.0,123664.0,943.0,275712.0,2590.0,554.0,17201.0,147552.0
12113,2015,12,533420.38,49.53,7.65,79.16,0.29,0.79,74222.0,2305.0,0.0,0.0,0.0,0.0,374.0,958.0,0.0,51619.0,374.0,6497.0,10074.0,1497.0,7798.0,0.0,44717.0,0.0,0.0,5075.0,28067.0
12085,2015,12,210367.42,61.32,7.58,78.07,0.41,0.86,58322.0,8638.0,0.0,0.0,0.0,464.0,0.0,0.0,0.0,34161.0,299.0,10958.0,4491.0,8578.0,8937.0,0.0,31317.0,2365.0,0.0,614.0,33128.0
12033,2015,12,1314708.91,50.21,8.04,82.65,0.45,0.91,110808.0,25224.0,0.0,0.0,0.0,4850.0,0.0,2485.0,1751.0,62470.0,5299.0,4910.0,19461.0,14402.0,38576.0,0.0,74008.0,2186.0,12364.0,2710.0,53850.0
12115,2015,12,442757.32,61.87,7.61,78.39,0.51,0.93,165899.0,8009.0,0.0,0.0,0.0,1766.0,0.0,0.0,0.0,78575.0,1437.0,928.0,33305.0,34994.0,26435.0,0.0,69605.0,838.0,0.0,3502.0,101729.0
12017,2015,12,205108.9,61.87,7.37,76.25,0.65,0.84,66779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23517.0,5524.0,0.0,7275.0,21900.0,8563.0,0.0,27006.0,0.0,0.0,808.0,38965.0
17097,2015,17,501734.21,51.4,7.97,82.1,0.45,0.95,225166.0,28474.0,0.0,3264.0,1392.0,12363.0,5059.0,0.0,0.0,166302.0,2770.0,5419.0,37187.0,13699.0,50341.0,0.0,165013.0,2739.0,4715.0,6378.0,96873.0
17000,2015,17,1133837.31,52.21,6.96,72.0,0.44,0.93,957444.0,93518.0,0.0,808.0,0.0,2215.0,4805.0,2455.0,2650.0,465727.0,34777.0,37484.0,163871.0,119362.0,242674.0,150.0,572485.0,15180.0,0.0,46525.0,429555.0
17197,2015,17,465871.57,51.91,7.81,80.34,0.47,0.93,235830.0,50526.0,0.0,0.0,1826.0,4611.0,9073.0,3818.0,0.0,172432.0,7949.0,4206.0,46528.0,26365.0,48204.0,928.0,205798.0,1168.0,0.0,1752.0,96038.0
17113,2015,17,355555.68,46.15,7.43,77.08,0.61,0.87,53081.0,4551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23651.0,554.0,0.0,6258.0,10388.0,16781.0,0.0,34099.0,0.0,0.0,1482.0,22051.0
17031,2015,17,547637.43,50.15,7.65,78.94,0.5,0.9,1252701.0,553193.0,3279.0,27426.0,10120.0,80835.0,120507.0,25090.0,0.0,764667.0,64880.0,57393.0,246589.0,195377.0,744245.0,3189.0,1282149.0,36886.0,0.0,82561.0,668366.0
17043,2015,17,629991.02,54.0,8.31,85.37,0.43,0.97,253355.0,9925.0,0.0,9805.0,0.0,41975.0,6212.0,3249.0,0.0,195654.0,4790.0,11273.0,31859.0,26766.0,54179.0,165.0,223244.0,3114.0,0.0,8293.0,89705.0
17143,2015,17,1205788.02,48.57,7.19,74.41,0.49,1.0,70047.0,11049.0,0.0,0.0,0.0,0.0,1452.0,1422.0,0.0,25792.0,1422.0,2964.0,16034.0,7082.0,30676.0,0.0,49550.0,0.0,0.0,4806.0,29614.0
17111,2015,17,271490.56,57.62,7.67,79.15,0.47,0.99,133097.0,3368.0,0.0,0.0,0.0,0.0,2156.0,0.0,0.0,88427.0,8189.0,1826.0,20810.0,12439.0,6930.0,0.0,94280.0,0.0,0.0,2126.0,42215.0
17119,2015,17,355448.98,55.99,6.86,71.2,0.55,0.95,75270.0,4296.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,36285.0,195.0,0.0,10674.0,16631.0,16275.0,0.0,39520.0,0.0,0.0,1078.0,39462.0
17089,2015,17,527320.95,50.68,7.17,74.43,0.51,0.94,143878.0,27486.0,0.0,0.0,0.0,0.0,13833.0,0.0,0.0,110887.0,1872.0,5853.0,24056.0,11197.0,31332.0,0.0,119493.0,0.0,0.0,6273.0,59431.0
17115,2015,17,958353.32,60.55,6.61,69.0,0.48,1.0,24654.0,4041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11151.0,0.0,0.0,8114.0,6301.0,3129.0,0.0,16810.0,0.0,0.0,928.0,10957.0
17167,2015,17,304341.25,56.65,7.62,79.06,0.5,0.98,79728.0,8683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43485.0,2949.0,913.0,13833.0,8772.0,18459.0,0.0,50421.0,0.0,0.0,3308.0,34682.0
17091,2015,17,1172106.74,60.74,6.68,68.82,0.67,0.96,26078.0,7081.0,0.0,0.0,0.0,0.0,359.0,0.0,0.0,17035.0,1722.0,1332.0,5703.0,5165.0,2561.0,0.0,9490.0,868.0,0.0,0.0,23160.0
17019,2015,17,1216248.91,43.49,7.81,80.49,0.51,0.96,82275.0,6871.0,0.0,5628.0,0.0,4251.0,0.0,269.0,0.0,34714.0,7740.0,1168.0,7350.0,14042.0,34280.0,0.0,62440.0,0.0,0.0,4925.0,31929.0
17161,2015,17,1201496.1,54.12,8.16,83.6,0.36,0.95,50298.0,5704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26092.0,1108.0,269.0,9985.0,10119.0,8429.0,0.0,35390.0,0.0,0.0,0.0,20612.0
17099,2015,17,384053.13,49.1,6.9,71.39,0.33,1.0,48458.0,0.0,0.0,0.0,0.0,0.0,793.0,494.0,0.0,25702.0,0.0,1782.0,3773.0,3548.0,14940.0,0.0,28531.0,0.0,0.0,7380.0,13834.0
17163,2015,17,618397.09,56.77,7.23,74.23,0.6,0.93,66391.0,21392.0,0.0,0.0,0.0,0.0,0.0,3698.0,1347.0,44103.0,1871.0,5090.0,13908.0,13862.0,13994.0,1362.0,45464.0,0.0,3024.0,928.0,42050.0
17037,2015,17,854580.49,40.29,7.5,77.23,0.41,0.94,37214.0,9491.0,0.0,0.0,0.0,0.0,0.0,1377.0,0.0,11466.0,0.0,0.0,3129.0,4940.0,28547.0,0.0,27663.0,4895.0,0.0,8099.0,7425.0
17179,2015,17,1169321.72,57.04,7.33,75.64,0.4,0.82,51751.0,1347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26809.0,1408.0,3219.0,9536.0,6213.0,5913.0,0.0,23322.0,0.0,1886.0,2365.0,25525.0
26000,2015,26,706334.21,54.15,7.09,73.23,0.45,0.94,1082397.0,94491.0,8010.0,1093.0,2141.0,9327.0,13173.0,18458.0,2126.0,575447.0,30044.0,9534.0,245590.0,124649.0,245952.0,180.0,618375.0,12888.0,,22574.0,577199.0
26163,2015,26,452542.83,52.32,6.87,71.07,0.51,0.91,333109.0,306448.0,2545.0,0.0,3248.0,5269.0,15134.0,22006.0,778.0,244618.0,11707.0,11676.0,109657.0,78922.0,231957.0,0.0,343783.0,6257.0,,32050.0,306447.0
26147,2015,26,310679.14,50.84,7.11,73.22,0.36,0.98,68548.0,554.0,0.0,0.0,0.0,0.0,0.0,3533.0,0.0,43562.0,1018.0,3084.0,8503.0,5854.0,10614.0,0.0,44027.0,554.0,,1766.0,26288.0
26125,2015,26,377165.6,52.18,8.3,85.19,0.43,0.94,389692.0,61918.0,1677.0,5165.0,1707.0,29909.0,11558.0,5853.0,1213.0,272827.0,12260.0,284.0,78098.0,42141.0,103082.0,0.0,352514.0,5613.0,,10628.0,139937.0
26115,2015,26,434537.41,53.36,6.78,70.26,0.4,0.91,64909.0,943.0,1228.0,0.0,0.0,0.0,0.0,2934.0,0.0,31555.0,0.0,0.0,22486.0,5868.0,10105.0,0.0,42650.0,0.0,,2739.0,24625.0
26099,2015,26,292669.26,49.48,7.06,72.72,0.4,0.95,280569.0,41210.0,0.0,0.0,0.0,9176.0,553.0,11153.0,0.0,162573.0,0.0,7545.0,52666.0,41001.0,78876.0,240.0,223397.0,5643.0,,11722.0,101659.0
26121,2015,26,1042251.3,51.98,7.54,77.45,0.58,0.91,73038.0,7171.0,1482.0,0.0,0.0,0.0,0.0,4596.0,0.0,34476.0,1482.0,853.0,21768.0,6587.0,21121.0,0.0,49938.0,0.0,,359.0,35990.0
26081,2015,26,283216.7,49.64,7.48,77.07,0.48,0.88,208247.0,39836.0,0.0,3713.0,0.0,0.0,20389.0,7021.0,0.0,119518.0,6332.0,7695.0,75676.0,26600.0,43385.0,0.0,182230.0,6332.0,,9401.0,81243.0
26075,2015,26,959221.38,55.75,7.64,79.02,0.58,0.91,53204.0,4581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27994.0,659.0,0.0,13189.0,2590.0,13353.0,0.0,32456.0,0.0,,0.0,25329.0
26077,2015,26,725669.46,50.55,7.68,79.39,0.61,0.98,85495.0,12844.0,0.0,0.0,0.0,0.0,0.0,6572.0,0.0,43248.0,2111.0,0.0,24865.0,12799.0,21888.0,0.0,66182.0,4775.0,,7141.0,26813.0
26021,2015,26,628561.79,52.16,7.01,72.03,0.37,0.95,47694.0,18234.0,0.0,748.0,0.0,0.0,0.0,748.0,0.0,23369.0,734.0,0.0,17485.0,4192.0,21644.0,0.0,44789.0,0.0,,539.0,22096.0
26005,2015,26,99151.85,52.07,7.84,80.69,0.32,0.92,30582.0,0.0,0.0,0.0,0.0,0.0,1632.0,0.0,0.0,20059.0,1003.0,0.0,4850.0,958.0,5344.0,0.0,21871.0,0.0,,2230.0,8113.0
26093,2015,26,81778.89,54.05,6.86,71.02,0.49,1.0,85120.0,1931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36407.0,913.0,0.0,15719.0,10449.0,23563.0,0.0,39970.0,0.0,,1542.0,45539.0
26065,2015,26,1600032.52,46.89,8.32,86.05,0.43,0.95,88474.0,11077.0,0.0,8832.0,4835.0,5569.0,1108.0,10674.0,0.0,46992.0,2485.0,2919.0,16228.0,5913.0,56032.0,0.0,72109.0,3009.0,,10540.0,44911.0
26145,2015,26,785300.92,56.03,6.46,67.4,0.46,0.91,52648.0,8024.0,4865.0,0.0,0.0,0.0,0.0,2186.0,0.0,37514.0,0.0,0.0,11646.0,5135.0,13428.0,0.0,37243.0,0.0,,1348.0,29132.0
26139,2015,26,954832.3,51.77,7.53,77.59,0.41,0.94,90074.0,4372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45328.0,1048.0,0.0,19132.0,9446.0,19492.0,0.0,63413.0,0.0,,4596.0,26437.0
