,C24050_002E,C24050_003E,C24050_004E,C24050_005E,C24050_006E,C24050_007E,C24050_008E,C24050_009E,C24050_010E,C24050_011E,C24050_012E,C24050_013E,C24050_014E,C24050_015E,C24050_029E,C24050_043E,C24050_057E,C24050_071E,C02003_002E,C02003_003E,C02003_004E,C02003_005E,C02003_006E,C02003_007E,C02003_008E,B01002_001E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B19326_001E,B23025_005E,B23025_003E,B27010_017E,B27010_033E,B27010_050E,B27010_001E,B27010_066E,B01003_001E,state_fip,county_fip
"Mercer County, Illinois: Summary level: 050, state:17> county:131",489,574,1406,195,820,533,139,382,367,1516,521,298,328,2239,1012,1806,988,1523,15951,15692,76,8,51,0,124,44.3,11377,62,0,0,2,0,0,0,0,8,12,136,88,211,249,176,28624,497,8065,76,293,449,15851,10,16107,17,131
"Monroe County, Illinois: Summary level: 050, state:17> county:133",290,1490,1711,793,1932,942,418,1464,1734,4002,1048,726,570,6371,2588,4656,1654,1851,33257,32773,114,13,346,0,11,42.1,23364,91,0,0,0,0,0,6,0,99,6,249,127,228,285,320,33835,930,18050,159,572,782,33249,5,33539,17,133
"Montgomery County, Illinois: Summary level: 050, state:17> county:135",410,582,842,208,1087,590,151,527,449,3106,454,430,768,3114,1952,2309,900,1329,29052,26188,2569,54,143,11,87,42.2,20886,149,0,0,0,6,8,0,36,106,63,618,365,551,918,199,22695,549,10153,137,389,875,23882,2,29348,17,135
"Morgan County, Illinois: Summary level: 050, state:17> county:137",518,885,1821,571,1711,739,315,1013,612,4665,1223,868,1148,5150,3052,3696,1425,2766,34398,32029,2103,31,194,0,41,41.0,24088,257,0,0,0,18,5,0,18,58,35,387,280,542,438,235,24717,1451,17540,140,1080,1441,33363,21,35129,17,137
"Moultrie County, Illinois: Summary level: 050, state:17> county:139",200,493,1778,224,872,356,167,252,322,1439,415,256,189,1960,1129,1567,600,1707,14786,14682,50,17,32,0,5,41.0,10186,174,0,0,0,0,0,0,10,6,18,708,95,217,225,141,26795,358,7321,457,447,866,14605,42,14927,17,139
"Ogle County, Illinois: Summary level: 050, state:17> county:141",745,1364,4471,699,2803,2217,291,1057,1904,5863,1621,1019,935,7823,4077,5175,2461,5453,51471,49821,593,18,181,2,856,41.5,35909,245,0,15,23,40,109,50,67,105,79,656,604,785,758,676,28876,2171,27160,289,1567,2331,51896,54,52397,17,141
"Peoria County, Illinois: Summary level: 050, state:17> county:143",749,4220,13888,1788,9307,3544,1421,4608,8610,22957,7444,4326,2777,32612,15817,21165,6070,9975,181269,138383,32802,541,6896,32,2615,36.8,124036,705,53,18,64,45,133,60,73,464,280,1440,1766,2169,2947,1992,27457,8120,93759,938,7073,7659,184842,36,187112,17,143
"Perry County, Illinois: Summary level: 050, state:17> county:145",489,597,1406,150,914,480,123,250,354,2019,591,439,500,2053,1746,1567,1254,1692,21361,19201,1903,65,95,0,97,40.8,15317,99,0,0,7,0,32,0,0,43,46,322,287,476,633,216,23738,724,9036,300,663,858,19713,10,21810,17,145
"Piatt County, Illinois: Summary level: 050, state:17> county:147",460,558,1104,312,929,603,91,493,558,2176,377,345,445,3030,1266,2040,998,1117,16171,16067,68,0,13,0,23,43.3,11567,21,0,0,0,0,2,0,0,0,2,178,40,116,115,166,33833,573,9024,134,257,471,16445,12,16495,17,147
"Pike County, Illinois: Summary level: 050, state:17> county:149",592,575,708,304,809,580,49,255,294,1730,433,265,603,1842,1423,1487,1039,1406,15981,15619,198,90,60,0,14,42.6,11247,80,0,0,27,0,11,4,18,38,52,266,184,292,282,152,23533,430,7627,142,552,898,15611,15,16144,17,149
"Pope County, Illinois: Summary level: 050, state:17> county:151",85,72,123,7,263,123,13,35,90,398,92,64,104,319,346,295,199,310,4298,4068,159,9,21,0,41,47.7,3148,32,0,0,0,0,0,2,0,14,38,67,55,60,131,51,20151,164,1633,0,86,195,4126,0,4331,17,151
"Pulaski County, Illinois: Summary level: 050, state:17> county:153",91,140,174,11,196,228,16,83,109,532,93,88,174,502,517,391,201,324,5748,3828,1879,9,13,0,19,43.5,4054,76,0,0,0,0,11,23,12,9,14,84,115,156,182,108,18911,374,2309,47,170,367,5863,0,5871,17,153
"Putnam County, Illinois: Summary level: 050, state:17> county:155",147,179,482,88,402,293,39,108,131,571,192,81,114,813,495,560,384,575,5725,5674,12,0,15,0,24,46.0,4200,16,0,0,0,0,7,0,2,13,7,37,38,113,110,67,30426,311,3138,25,196,272,5816,0,5822,17,155
"Randolph County, Illinois: Summary level: 050, state:17> county:157",561,991,2834,207,1345,900,203,499,680,3212,814,612,840,3367,2799,2642,1652,3238,32736,29051,3406,36,92,0,151,41.7,24041,259,9,6,39,9,0,32,2,73,40,614,462,831,1014,291,25343,987,14685,262,825,1304,29941,0,33069,17,157
"Richland County, Illinois: Summary level: 050, state:17> county:159",492,333,1057,172,1002,407,152,239,282,1905,430,417,429,2028,1229,1679,760,1621,15886,15701,70,51,60,0,4,42.4,11243,45,0,0,42,30,24,41,29,5,47,271,194,285,192,103,24557,418,7735,183,460,758,15917,0,16127,17,159
"Rock Island County, Illinois: Summary level: 050, state:17> county:161",712,3693,12959,1761,7968,4373,1464,2652,5788,14753,6026,3191,3098,20197,12911,16338,5781,13211,142577,120888,13906,411,3159,35,4178,40.0,100858,968,36,13,41,70,46,82,172,936,239,1403,1142,2406,2789,1647,26898,5839,74277,907,5125,6726,144775,115,147161,17,161
"St. Clair County, Illinois: Summary level: 050, state:17> county:163",708,6322,10248,2687,13016,7914,1508,7516,12774,28398,10818,5529,9099,40413,22723,28842,9438,15121,260000,174069,79877,470,3508,62,2014,37.7,177595,1860,29,0,20,27,108,137,172,391,511,1994,2186,2992,4184,2530,27516,11344,127881,2361,11258,12407,261228,110,267029,17,163
"Saline County, Illinois: Summary level: 050, state:17> county:165",1047,602,784,255,1252,558,152,365,496,2504,745,502,579,2270,2375,2306,1498,1392,24281,23082,911,121,156,0,11,42.4,17210,101,0,0,8,5,5,0,14,15,25,568,342,507,563,295,19775,1473,11314,31,1066,1444,24235,0,24783,17,165
"Sangamon County, Illinois: Summary level: 050, state:17> county:167",1304,4254,4679,2213,10352,3997,1725,7779,8334,25288,8044,4760,13426,39615,17427,24144,6717,8252,194569,164596,24595,270,3545,60,1503,39.7,135955,761,16,0,14,0,36,30,54,168,356,1401,1255,2436,2568,1634,30755,8210,104365,976,5881,7352,196845,107,199016,17,167
"Schuyler County, Illinois: Summary level: 050, state:17> county:169",228,171,442,191,360,122,38,116,88,788,128,141,249,841,570,787,339,525,7249,6901,332,16,0,0,0,44.7,5409,47,0,0,0,1,1,0,2,9,0,181,91,152,111,75,24886,171,3233,65,413,722,7232,47,7311,17,169
"Scott County, Illinois: Summary level: 050, state:17> county:171",140,159,300,144,277,164,47,161,91,518,71,121,177,662,363,548,281,516,5148,5128,0,10,10,0,0,43.5,3637,0,0,0,0,0,0,0,14,4,11,81,33,43,101,48,26349,247,2617,15,149,262,5150,7,5198,17,171
"Shelby County, Illinois: Summary level: 050, state:17> county:173",538,631,1993,260,1042,589,180,472,560,2212,484,509,425,2734,1793,2013,1204,2151,22029,21778,122,46,72,0,11,44.4,15670,111,0,0,0,0,5,0,1,4,26,306,126,280,314,121,25821,652,10547,198,722,957,21923,2,22115,17,173
"Stark County, Illinois: Summary level: 050, state:17> county:175",265,121,413,102,287,111,32,112,164,658,149,82,60,908,472,508,279,389,5796,5719,44,0,33,0,0,45.9,4177,32,0,0,0,0,4,0,3,0,8,103,70,151,75,33,24574,213,2769,25,168,288,5758,4,5859,17,175
"Stephenson County, Illinois: Summary level: 050, state:17> county:177",1139,1243,4153,525,2408,976,146,1406,1472,5283,1450,1122,530,6353,3842,5046,2218,4394,45383,40223,4286,48,391,0,435,44.3,32774,203,0,1,0,8,28,0,73,68,12,474,404,486,838,520,24139,2393,24246,146,1697,1879,45878,33,46625,17,177
"Tazewell County, Illinois: Summary level: 050, state:17> county:179",1016,3845,11615,1664,7756,2907,995,4048,4992,15673,5292,2788,2292,23059,10853,15677,5195,10099,133869,130300,1659,158,1212,26,514,40.5,94102,376,0,5,3,3,29,21,95,102,144,980,958,1508,1422,1197,30831,3771,68654,1088,3717,4436,133362,34,135697,17,179
"Union County, Illinois: Summary level: 050, state:17> county:181",358,553,608,72,855,516,125,314,368,2296,406,270,598,2320,1505,1411,974,1129,17281,16615,267,18,74,0,307,43.6,12480,290,0,0,0,3,10,2,24,73,45,471,180,366,208,233,23960,551,7890,234,658,843,17398,0,17551,17,181
"Vermilion County, Illinois: Summary level: 050, state:17> county:183",755,1861,5470,1284,3700,2045,387,1747,1993,8080,2220,1571,1401,8358,6586,7034,3014,7522,79291,66536,11121,309,657,33,635,40.0,54239,572,0,0,20,14,37,47,52,130,233,1009,784,1704,1539,1009,25498,3903,36417,836,2910,3734,78088,73,80368,17,183
"Wabash County, Illinois: Summary level: 050, state:17> county:185",383,360,940,124,584,395,18,213,349,1335,356,269,175,1459,1096,960,726,1260,11516,11265,109,18,106,0,18,42.7,8113,80,0,0,0,0,2,0,8,9,26,168,63,194,122,196,25594,527,6028,102,297,484,11569,0,11652,17,185
"Warren County, Illinois: Summary level: 050, state:17> county:187",398,354,1154,198,902,457,86,351,396,2633,552,340,247,2370,1687,1616,747,1648,17472,16153,467,42,305,0,505,40.2,11603,149,11,0,0,3,0,20,38,122,2,132,160,338,319,125,22463,819,8887,102,384,929,17508,2,17701,17,187
"Washington County, Illinois: Summary level: 050, state:17> county:189",714,447,1173,185,814,542,71,284,381,1523,589,213,258,2275,1144,1351,882,1542,14293,14042,107,8,53,0,83,42.6,10266,87,0,0,0,0,0,0,4,7,12,312,101,121,136,115,29073,418,7612,81,446,441,14248,41,14457,17,189
"Wayne County, Illinois: Summary level: 050, state:17> county:191",704,397,1644,187,843,469,77,255,397,1582,307,362,299,2004,1137,1607,1006,1769,16352,16090,108,26,120,0,8,42.4,11549,121,0,0,0,21,2,47,0,34,6,348,224,244,291,206,25427,425,7948,230,383,785,16506,0,16555,17,191
"White County, Illinois: Summary level: 050, state:17> county:193",874,313,758,213,591,453,75,294,268,1290,410,311,245,1559,1098,1321,948,1169,14320,14200,58,6,54,0,2,44.5,10318,63,0,0,0,5,0,5,13,35,40,250,145,225,275,218,23872,591,6686,83,387,762,14130,0,14464,17,193
"Whiteside County, Illinois: Summary level: 050, state:17> county:195",671,1330,5173,543,3853,1486,307,1097,1612,5954,1855,1452,1003,7095,4862,6252,2496,5631,56223,53161,1028,153,343,17,1521,42.7,39785,461,0,0,0,8,48,59,44,93,103,921,394,911,835,856,25367,2308,28644,429,2070,2381,56651,0,57525,17,195
"Will County, Illinois: Summary level: 050, state:17> county:197",1450,20337,39176,10588,40656,24413,6905,22286,37259,74722,28731,14736,12174,121274,52838,84402,28661,46258,666219,511671,75835,1467,34222,66,42958,36.6,437079,3882,59,57,263,378,874,584,1240,5460,1309,4571,3343,5308,5662,8493,32708,28218,361651,5110,21486,26652,677429,794,683995,17,197
"Williamson County, Illinois: Summary level: 050, state:17> county:199",599,1811,2547,534,3691,1239,402,1668,1722,8949,2874,1168,2010,9082,6456,7347,2905,3424,65960,62086,2886,178,637,14,159,41.0,47041,288,16,2,9,11,21,43,49,105,123,895,509,954,1140,672,24465,2214,31428,336,2560,2937,65283,31,67121,17,199
"Winnebago County, Illinois: Summary level: 050, state:17> county:201",974,5798,29277,3467,14501,7236,2002,6184,10279,29931,10826,6723,3974,39792,23118,31908,9695,26659,282183,228788,36402,688,7223,104,8978,39.2,195388,2801,0,33,107,137,483,172,340,1343,631,2851,3291,3968,5027,3864,25437,17023,148195,2336,11817,15076,287276,383,290439,17,201
"Winnebago County, Illinois: Summary level: 050, state:17> county:201",974,5798,29277,3467,14501,7236,2002,6184,10279,29931,10826,6723,3974,39792,23118,31908,9695,26659,282183,228788,36402,688,7223,104,8978,39.2,195388,2801,0,33,107,137,483,172,340,1343,631,2851,3291,3968,5027,3864,25437,17023,148195,2336,11817,15076,287276,383,290439,17,201
"Woodford County, Illinois: Summary level: 050, state:17> county:203",576,1063,3134,521,2267,847,321,1313,1127,4410,1718,871,630,6968,3284,4255,1668,2623,38641,37855,228,14,305,0,239,39.9,25868,62,0,4,0,0,2,10,10,29,5,338,289,325,245,301,31691,1173,19971,232,891,1104,38548,0,39106,17,203
"Alcona County, Michigan: Summary level: 050, state:26> county:001",89,213,521,34,363,275,56,125,233,640,301,197,241,751,740,739,429,629,10404,10290,29,30,38,4,13,56.6,8594,103,0,0,0,0,3,3,1,6,23,116,124,187,262,158,21054,457,3745,69,374,656,10454,0,10550,26,001
"Alger County, Michigan: Summary level: 050, state:26> county:003",128,156,422,69,302,121,98,132,135,657,550,103,293,935,610,742,293,586,9120,8125,733,242,10,0,10,48.7,7330,61,0,0,0,8,11,0,0,38,30,95,169,166,160,84,22134,383,3549,69,387,536,8499,27,9476,26,003
"Allegan County, Michigan: Summary level: 050, state:26> county:005",1775,3434,13706,1698,4810,1885,544,1898,4087,9588,3651,2803,1202,14697,8065,10664,5904,11751,110874,106592,1714,657,843,12,1056,40.0,75605,730,4,8,17,51,48,39,64,232,123,1130,1072,1550,1616,980,26111,3323,54404,715,3536,5509,112118,6,112837,26,005
"Alpena County, Michigan: Summary level: 050, state:26> county:007",366,855,1264,314,1750,660,150,607,717,3307,1193,587,463,3618,2345,3206,1339,1725,28662,28118,165,191,135,4,49,47.1,21197,192,3,0,2,49,16,0,12,79,33,371,254,409,414,342,21235,1257,13490,329,1216,1873,28703,7,29068,26,007
"Antrim County, Michigan: Summary level: 050, state:26> county:009",320,821,1533,148,1131,323,162,416,702,1764,1269,520,419,2509,2189,2127,1045,1658,22885,22354,75,227,64,0,165,49.5,17297,280,0,0,5,0,23,17,9,44,19,154,181,339,418,228,23011,1021,10549,209,939,1453,23101,1,23267,26,009
"Arenac County, Michigan: Summary level: 050, state:26> county:011",198,326,873,108,814,307,50,219,292,1376,586,198,222,1493,1146,1280,618,1032,15255,14877,75,209,40,0,54,48.4,11417,181,0,0,0,3,4,3,7,51,27,242,194,403,406,180,20603,757,6326,114,629,849,15255,15,15424,26,011
"Baraga County, Michigan: Summary level: 050, state:26> county:013",112,127,312,37,303,101,24,143,76,591,191,113,228,641,481,588,231,417,8474,6411,1607,395,50,1,10,43.6,6593,48,0,0,0,0,0,9,10,21,17,225,134,235,339,121,22323,207,2565,59,160,314,6387,2,8690,26,013
"Barry County, Michigan: Summary level: 050, state:26> county:015",666,2030,6329,957,2500,1146,266,1383,1978,5659,1866,1289,830,8430,3887,5866,3182,5534,58261,57000,288,139,282,0,552,42.6,40874,249,0,0,1,5,74,3,15,99,119,396,417,894,762,508,27206,2311,29210,402,1752,2410,58660,19,59147,26,015
"Bay County, Michigan: Summary level: 050, state:26> county:017",521,2386,7040,1255,6440,2202,779,2045,3399,11659,4252,2286,1649,13617,9598,11708,3939,7051,103901,100823,1444,366,628,13,627,42.6,75039,834,21,5,18,0,34,33,73,198,107,924,1074,1895,1955,839,23957,4910,50823,523,3530,5045,105742,24,106698,26,017
"Benzie County, Michigan: Summary level: 050, state:26> county:019",146,635,752,58,1031,390,56,384,619,1761,997,323,427,2249,1679,1703,945,1003,17102,16742,58,215,47,0,40,48.4,12931,87,0,4,0,0,6,23,6,26,15,133,172,171,285,184,23419,698,8277,237,874,964,17249,0,17437,26,019
"Berrien County, Michigan: Summary level: 050, state:26> county:021",1167,3613,13750,1356,7194,4091,850,2938,5174,16368,6887,3222,1853,22492,12888,15783,6026,11274,151203,121476,23373,515,2875,61,2903,41.4,106841,982,20,15,42,32,164,155,260,635,187,1312,1366,2745,2708,1479,23597,7062,75525,1507,6927,9006,154339,66,155565,26,021
"Branch County, Michigan: Summary level: 050, state:26> county:023",657,880,4374,391,2684,973,181,668,988,3419,1618,675,820,4175,3542,4318,1763,4530,43003,41380,1039,83,203,0,298,40.6,29832,273,0,0,0,25,13,25,61,104,123,590,439,762,760,395,22711,1383,19711,1046,1575,2215,41575,29,43706,26,023
"Calhoun County, Michigan: Summary level: 050, state:26> county:025",699,1922,12995,752,7222,2752,549,2180,3857,12377,5804,2740,2838,15730,11291,13003,4445,12218,130483,111511,14742,993,2572,24,641,40.1,90820,708,3,28,0,34,41,43,49,338,241,1185,1428,1794,1934,1214,22693,6320,63007,984,5621,6651,133138,80,134790,26,025
"Cass County, Michigan: Summary level: 050, state:26> county:027",530,1374,5970,633,2217,1008,153,1039,1366,4793,1807,1036,630,6370,3481,4949,2680,5076,50225,45848,2459,592,400,16,910,44.1,36366,439,0,0,0,0,15,12,28,99,109,335,721,817,1062,680,23654,2435,24991,548,1862,3379,51817,31,51952,26,027
"Charlevoix County, Michigan: Summary level: 050, state:26> county:029",200,792,2062,212,1506,406,130,595,956,2398,1673,483,380,3482,2387,2882,1143,1899,25563,24871,85,360,126,7,114,46.7,18916,108,0,2,0,0,13,11,31,14,5,126,166,382,371,244,24750,1003,12796,250,987,1299,25866,13,26134,26,029
"Cheboygan County, Michigan: Summary level: 050, state:26> county:031",253,1018,859,204,1712,489,163,458,713,1692,1353,608,507,2490,2249,2661,1369,1260,24745,23940,173,516,91,0,25,49.1,19200,124,0,11,0,10,0,0,2,32,46,196,291,529,559,295,20702,1613,11642,247,961,2148,25387,3,25690,26,031
"Chippewa County, Michigan: Summary level: 050, state:26> county:033",236,843,1010,198,1655,480,301,529,805,4070,2353,748,1505,4523,3907,3422,1132,1749,36418,27614,2583,5762,349,13,97,39.0,26283,221,0,4,9,0,0,7,12,45,96,381,484,653,654,326,20418,1950,16683,507,1742,1850,34898,10,38586,26,033
"Clare County, Michigan: Summary level: 050, state:26> county:035",401,923,1450,189,1280,552,100,493,529,2520,1209,617,445,2544,2527,2454,1319,1864,30076,29630,139,143,75,0,89,46.4,22184,239,0,10,0,0,5,4,19,46,63,658,483,738,785,450,18495,1624,12332,603,1428,2289,30387,13,30710,26,035
"Clinton County, Michigan: Summary level: 050, state:26> county:037",1059,1937,3978,819,3376,1353,534,2575,3424,9176,2799,1804,3343,14206,6077,8440,3019,4435,74840,71986,1206,113,1068,0,467,39.7,51430,244,4,10,0,45,65,4,37,48,20,545,428,666,819,554,30636,2526,38703,621,2264,2429,76277,11,76905,26,037
"Crawford County, Michigan: Summary level: 050, state:26> county:039",99,248,553,78,632,357,61,186,311,1270,676,263,463,1414,1204,1135,581,863,13653,13374,64,38,81,0,96,49.3,10349,90,0,0,0,0,22,10,0,25,14,108,159,218,441,209,21756,710,5907,38,491,679,13713,0,13895,26,039
"Delta County, Michigan: Summary level: 050, state:26> county:041",468,1005,2363,195,2128,982,267,755,842,3278,1719,907,601,4167,2968,3531,1778,3066,35546,34569,93,728,95,13,48,46.4,26538,219,2,11,8,10,0,40,6,66,17,293,205,463,407,344,21676,1567,17077,478,1616,1882,36302,0,36712,26,041
"Dickinson County, Michigan: Summary level: 050, state:26> county:043",211,762,1800,268,1710,521,210,331,500,2963,958,577,350,3618,1923,2660,1198,1762,25560,25128,127,122,161,0,22,46.4,18835,74,0,0,0,0,0,2,12,3,18,170,122,234,353,304,23407,844,12005,139,854,1228,25640,0,26012,26,043
"Eaton County, Michigan: Summary level: 050, state:26> county:045",381,2592,7559,758,6125,2331,738,3490,4002,11219,4797,2395,5064,17431,8940,13414,4104,7562,105472,94391,6926,457,2138,18,1542,41.0,74682,357,0,23,21,4,57,11,46,101,50,502,484,1166,992,927,29746,4355,55806,769,3603,4157,107663,42,108341,26,045
"Emmet County, Michigan: Summary level: 050, state:26> county:047",149,1352,1332,206,2070,451,391,820,1275,4037,2583,777,426,5604,3533,3789,1528,1415,31821,30533,247,753,188,27,73,44.3,23485,110,0,0,6,6,0,11,14,33,30,125,201,233,481,236,25528,1460,17329,306,1213,1858,32678,2,33018,26,047
"Genesee County, Michigan: Summary level: 050, state:26> county:049",901,8293,25401,3947,21554,6959,2261,7744,13127,42322,15345,8401,5495,49257,32168,40063,13147,27115,403702,310956,84922,1819,3982,58,1965,39.6,278937,2642,28,28,71,28,103,158,188,476,696,2910,3891,6839,7394,4483,23604,24591,186341,2676,15576,16648,413289,58,415874,26,049
"Gladwin County, Michigan: Summary level: 050, state:26> county:051",247,781,1653,192,1111,377,78,391,517,1853,781,439,310,2203,1709,1918,1260,1640,25237,24883,92,136,105,0,21,48.9,18818,191,9,0,0,0,19,6,22,56,54,601,308,621,561,375,20839,1081,9811,838,1064,1411,25275,8,25501,26,051
"Gogebic County, Michigan: Summary level: 050, state:26> county:053",218,351,820,113,729,198,48,127,240,1423,786,278,428,1634,1428,984,627,1086,15590,14382,723,377,79,10,19,48.3,12033,69,0,0,0,5,0,6,22,16,41,84,86,251,243,89,19580,602,6361,101,781,1003,14292,0,15824,26,053
"Grand Traverse County, Michigan: Summary level: 050, state:26> county:055",882,2449,4425,1160,6011,1324,716,3077,3555,11526,5523,1827,1329,15298,8570,11333,3467,5136,88411,85033,1235,1098,642,57,346,41.7,63727,326,0,2,0,43,19,9,61,88,147,423,321,974,1012,565,25240,3091,46895,730,3926,3976,87764,0,89907,26,055
"Gratiot County, Michigan: Summary level: 050, state:26> county:057",756,716,2806,237,1445,811,216,551,792,4596,1368,698,988,4484,3626,3298,1520,3052,41167,38150,2360,184,158,17,298,38.9,28340,424,14,8,0,0,14,10,47,47,69,401,351,675,730,347,21726,1492,17472,436,1407,1684,37518,10,41878,26,057
"Hillsdale County, Michigan: Summary level: 050, state:26> county:059",828,826,4769,475,2263,923,178,571,826,4589,1456,959,653,5096,3406,3941,1802,5071,45583,44860,293,220,150,0,60,42.0,31182,235,5,11,0,4,13,11,32,91,85,792,427,1062,843,517,22259,1900,21216,1286,1830,2730,45781,28,46178,26,059
"Houghton County, Michigan: Summary level: 050, state:26> county:061",296,920,1433,181,1663,256,242,779,969,5759,1785,642,515,6031,3461,3161,1307,1480,35921,34320,272,163,1071,9,86,32.8,21481,148,0,2,0,0,2,11,55,9,81,174,197,482,314,224,19278,1202,16642,320,1522,1572,36232,15,36660,26,061
"Huron County, Michigan: Summary level: 050, state:26> county:063",1288,820,2986,263,1551,581,188,533,671,2931,868,620,569,3789,2280,3055,1849,2896,32026,31477,128,129,195,0,97,48.0,23671,245,5,1,16,12,23,13,20,53,44,628,308,486,526,494,23198,1170,15039,251,1117,1736,31921,4,32290,26,063
"Ingham County, Michigan: Summary level: 050, state:26> county:065",946,4260,12927,2150,14106,4784,2437,9556,12326,39014,14982,6556,9047,52658,25844,31789,7040,15760,268086,214055,31612,1217,16093,85,5024,31.5,169257,1794,7,39,8,66,172,153,183,456,443,1243,1567,3047,2825,1880,22052,13204,146295,1937,12055,9475,281784,158,283491,26,065
"Ionia County, Michigan: Summary level: 050, state:26> county:067",1248,1693,5190,598,3321,1143,286,1440,1462,5029,2152,1402,1821,7047,4724,6182,3477,5355,61858,58351,2097,512,223,0,675,37.9,43017,597,21,0,20,26,11,45,56,90,59,519,624,1147,1229,635,23916,3119,29904,400,2284,2665,60309,0,64064,26,067
"Iosco County, Michigan: Summary level: 050, state:26> county:069",202,544,1412,79,1350,645,73,466,511,1956,854,391,297,1963,1794,2274,1074,1675,25042,24422,159,293,132,0,36,52.0,19516,131,0,10,2,0,0,6,0,9,29,291,307,615,567,356,20615,1208,9988,143,1018,1659,25079,3,25401,26,069
"Iron County, Michigan: Summary level: 050, state:26> county:071",203,356,507,68,521,194,79,168,354,1028,377,228,241,1106,879,1057,598,684,11320,11112,58,76,42,0,32,53.3,8980,90,0,2,0,0,8,0,0,1,12,98,118,181,167,111,20594,426,4750,64,387,704,11225,0,11507,26,071
"Isabella County, Michigan: Summary level: 050, state:26> county:073",1057,1436,2855,476,3591,1028,447,1489,1695,9856,7136,1193,1152,9936,8994,8008,2645,3828,67944,62585,1827,2118,1197,1,216,26.3,36821,260,0,0,0,3,19,18,4,13,48,437,321,755,770,612,15636,4241,37652,847,4218,2881,70081,46,70669,26,073
"Jackson County, Michigan: Summary level: 050, state:26> county:075",631,3541,12767,1657,7616,3283,692,3232,4776,15128,5315,3381,3164,18909,12518,16112,5546,12098,156140,139863,13620,763,1061,66,767,40.5,109316,795,13,8,0,10,86,76,14,134,216,1185,1565,2668,2875,1451,23434,7463,72646,1399,5912,7053,151972,30,159759,26,075
"Kalamazoo County, Michigan: Summary level: 050, state:26> county:077",1301,4765,20905,2808,14227,3336,1292,7314,10889,33871,12868,5703,3530,47140,23998,28526,7861,15284,246393,209590,28169,745,5961,88,1840,34.0,158739,1065,3,17,7,114,103,24,223,221,156,1013,1341,2099,2348,1920,23297,12333,135142,1569,11819,8601,254844,81,256752,26,077
"Kalkaska County, Michigan: Summary level: 050, state:26> county:079",461,614,736,154,918,258,61,281,511,1289,815,399,318,1401,1445,1703,1050,1216,17004,16585,118,141,74,43,43,44.4,12324,136,1,7,0,1,4,0,5,25,22,173,151,339,458,329,22292,788,7603,276,613,1369,17168,18,17230,26,079
"Kent County, Michigan: Summary level: 050, state:26> county:081",3272,14247,57268,12489,35417,10592,4728,18176,29536,70252,27641,15147,6743,107405,50989,74489,21147,51478,601314,505803,60533,3040,15559,138,16241,34.8,401985,5523,105,176,291,609,711,360,681,3125,1256,3528,5073,6324,7916,6376,26042,25391,330899,5715,27180,25162,618639,302,622590,26,081
"Keweenaw County, Michigan: Summary level: 050, state:26> county:083",24,48,37,1,96,34,2,24,84,239,146,37,70,300,247,129,86,80,2196,2162,19,11,3,0,1,54.5,1724,9,0,0,0,0,0,0,0,3,6,19,20,34,25,15,21662,63,905,8,29,175,2190,0,2198,26,083
"Lake County, Michigan: Summary level: 050, state:26> county:085",85,207,521,35,491,155,35,168,150,659,402,162,227,708,823,742,336,688,11010,9993,902,56,11,5,43,51.5,8798,155,0,0,0,0,34,14,21,9,94,184,221,364,320,179,17173,501,3798,152,347,795,11059,31,11426,26,085
"Lapeer County, Michigan: Summary level: 050, state:26> county:087",825,2723,9072,618,4706,1374,417,1426,3113,7671,3097,1783,857,10990,6417,8584,4327,7364,86807,84487,1122,252,415,6,525,43.3,61029,453,0,0,4,17,7,46,30,429,64,538,718,1418,1015,899,25715,4403,42085,691,2872,4598,86725,92,88235,26,087
"Leelanau County, Michigan: Summary level: 050, state:26> county:089",483,841,802,164,1056,251,177,474,894,2245,1216,537,488,3691,1782,2170,1051,934,21365,20169,125,754,150,9,158,52.4,16572,67,0,0,0,0,0,0,3,36,5,132,66,179,157,180,26985,736,10364,205,686,1021,21631,18,21772,26,089
"Lenawee County, Michigan: Summary level: 050, state:26> county:091",1075,2256,8493,877,5084,1510,623,1908,2762,11129,3500,2275,1603,12047,8415,10402,4094,8137,96310,91364,2616,467,284,67,1512,40.9,67319,648,0,25,0,1,121,31,64,220,275,769,889,1342,1524,980,23843,4061,47156,751,3322,4488,95725,11,98902,26,091
"Livingston County, Michigan: Summary level: 050, state:26> county:093",612,6338,16742,3054,11446,3069,1529,5926,9524,19349,7431,4399,2649,35447,13354,23672,8511,11084,181629,177908,873,448,1678,100,622,42.1,126354,435,0,7,12,44,4,12,60,166,92,394,697,1339,1562,1357,34067,5729,97797,1136,4758,6314,183760,13,184591,26,093
"Luce County, Michigan: Summary level: 050, state:26> county:095",135,96,250,10,259,100,6,72,83,442,245,106,299,514,526,506,218,339,6268,5210,553,463,10,4,28,44.3,4866,66,0,3,0,0,0,0,0,6,32,68,38,157,144,54,20044,277,2380,59,161,344,5434,0,6477,26,095
