,C24050_002E,C24050_003E,C24050_004E,C24050_005E,C24050_006E,C24050_007E,C24050_008E,C24050_009E,C24050_010E,C24050_011E,C24050_012E,C24050_013E,C24050_014E,C24050_015E,C24050_029E,C24050_043E,C24050_057E,C24050_071E,C02003_002E,C02003_003E,C02003_004E,C02003_005E,C02003_006E,C02003_007E,C02003_008E,B01002_001E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B19326_001E,B23025_005E,B23025_003E,B27010_017E,B27010_033E,B27010_050E,B27010_001E,B27010_066E,B01003_001E,state_fip,county_fip
"Champaign County, Illinois: Summary level: 050, state:17> county:019",1424,3368,7562,2856,10503,3721,2124,4956,8741,39489,10291,4118,2567,45572,18972,21811,5514,9851,199874,150999,25902,325,20546,89,2013,29.3,117746,584,34,0,0,62,0,95,58,252,113,893,679,1163,1627,1148,22968,7043,108763,953,8290,6573,203872,197,205766,17,019
"Christian County, Illinois: Summary level: 050, state:17> county:021",699,1147,1790,353,1492,927,169,880,1156,3882,1117,672,867,4045,3106,3552,1891,2557,33835,32960,576,49,180,8,62,42.0,24019,240,0,3,0,0,7,0,23,23,54,400,395,618,774,308,25361,873,16024,252,987,1323,32419,0,34200,17,021
"Clark County, Illinois: Summary level: 050, state:17> county:023",440,694,1502,110,798,435,109,364,305,1590,505,308,265,2183,1282,1508,1008,1444,15939,15719,51,6,70,6,87,43.4,11221,39,0,0,0,12,3,0,3,0,13,318,181,306,151,76,25519,694,8119,201,476,760,15928,0,16159,17,023
"Clay County, Illinois: Summary level: 050, state:17> county:025",586,371,1239,133,764,393,145,160,273,1339,326,346,195,1589,990,1278,749,1664,13397,13276,74,25,22,0,0,42.8,9366,103,0,34,11,6,10,0,0,7,40,234,63,256,170,191,25472,449,6719,222,389,667,13406,7,13582,17,025
"Clinton County, Illinois: Summary level: 050, state:17> county:027",761,1808,2245,695,2113,1126,258,1219,1272,4457,1373,691,1232,6130,3482,4349,2099,3190,37368,35608,1307,51,206,0,196,40.1,26599,169,5,0,11,8,12,20,12,128,64,954,255,404,400,331,31011,991,20241,311,726,1039,36001,3,37929,17,027
"Coles County, Illinois: Summary level: 050, state:17> county:029",554,1315,3460,371,2952,907,797,1071,1395,7615,2759,1203,540,7207,5284,6341,1975,4132,51905,49289,1835,80,533,71,97,33.3,32350,368,0,0,0,5,48,0,10,45,61,610,311,743,562,377,20228,2681,27620,356,2850,1942,52349,0,53037,17,029
"Cook County, Illinois: Summary level: 050, state:17> county:031",4575,112960,254630,68415,249744,158391,56415,199520,342325,561213,243193,123729,88545,943691,447279,601574,150202,320909,5117173,2976501,1255823,13223,354652,1308,515666,35.9,3537179,55134,472,675,2773,6972,13881,11338,13550,80916,15053,62174,50786,62193,71510,72877,28720,296577,2760232,47104,317970,363924,5192597,11858,5236393,17,031
"Crawford County, Illinois: Summary level: 050, state:17> county:033",366,671,1877,149,896,322,78,456,578,1805,473,369,329,2352,1359,1749,948,1961,19007,18161,696,26,79,5,40,42.4,13928,81,0,0,4,6,15,0,3,99,6,300,265,220,312,226,25174,607,8976,214,816,707,18161,2,19541,17,033
"Cumberland County, Illinois: Summary level: 050, state:17> county:035",368,377,1024,189,498,236,107,202,234,1125,296,171,105,1423,789,1010,629,1081,10889,10737,23,21,93,15,0,41.6,7587,97,0,0,0,0,0,12,0,6,29,270,81,173,98,127,24423,392,5324,69,219,454,10817,12,10943,17,035
"DeKalb County, Illinois: Summary level: 050, state:17> county:037",820,2769,6351,1572,6649,2369,817,2453,3589,14139,6219,1891,1999,17237,9858,12972,4270,7300,101953,87370,7215,237,2551,8,4572,30.3,60466,431,0,0,40,29,42,104,22,501,144,515,374,814,906,809,23275,5968,57605,743,4259,4617,103520,11,104345,17,037
