,vax_percentage,total_agriculture,total_construction,total_manufacturing,total_wholesale_trade,total_retail_trade,transportation_warehousing_utilities,total_information,total_finance_and_real_estate,total_scientific_administrative_and_waste_management_services,total_educational_healthcare_and_social_assistance,total_arts_and_entertainment,total_other_services,total_public_administration,total_management_business_science_and_arts_occupations,total_service_occupations,total_sales_and_office_occupations,total_natural_resources_and_maintenance_occupations,"total_production,_transportation,_and_material_moving_occupations",median_age:_total,median_income,under_19_no_health_insurance_coverage,19_to_34_years_no_health_insurance_coverage,35_to_64_years_no_health_insurance_coverage,health_insurance_total,65_years_and_over_no_health_insurance_coverage,total_population_estimate,total_votes,target,county_[2],population(2010),land_areami²,water_areami²,total_areami²,percent_no_hs,unemp_rate,uninsured_rate,percent_white,percent_black,percent_american_indian_and_alaska_native,percent_pacific_islander
50,0.9398576962283384,1645,1815,1819,611,3243,1317,221,1277,1688,4753,2156,1014,1568,6041,4961,5413,3345,3367,40.5,21442.0,1280,2851,4051,62585,75,63152,22303.0,1,Tehama,63463,2949.7090000000007,12.462,2962.171,0.1767305893358279,0.1318041895037165,1.1307342014859791,0.9007821265923042,0.005296680087122962,0.030460035641211802,0.0020790706884034056
51,0.7520144,152,429,141,43,406,149,40,303,307,977,972,260,653,1438,1448,1069,534,343,50.3,20593.0,327,613,1387,13160,99,13373,5026.0,1,Trinity,13786,3179.254000000001,28.343000000000004,3207.597,0.09186046511627907,0.09019017134249671,1.176823708206687,0.8911277725710716,0.011793189628241175,0.03569197125898157,0.00851296469853171
52,0.9711143663530716,33244,7926,13632,6689,19187,7611,1328,6239,10675,35083,12193,7021,9952,40733,31715,34782,39116,24434,30.3,19431.0,9932,33390,35450,449747,664,454033,105884.0,1,Tulare,442179,4824.215,14.437,4838.652,0.3161125672506553,0.12015332144954714,1.1751473606271972,0.8373517056416853,0.017893387702229945,0.013886418266489694,0.0014025533312352048
53,0.8183600798403192,537,1634,1031,241,2254,950,309,639,1718,4319,3025,1223,1597,6609,5148,3896,2216,1608,48.6,24659.0,576,1917,2655,50840,28,54079,23674.0,1,Tuolumne,55365,2220.884,53.54600000000001,2274.43,0.0974774289838761,0.12874077387609037,1.1012588512981905,0.9146962217398821,0.01903536236338142,0.0177484105184303,0.0021705307235742686
54,0.9473089169241332,21992,23965,42379,13397,44839,12436,10492,31931,47805,74062,36559,19481,18778,148104,68064,96160,45115,40673,37.1,30055.0,13095,49259,51115,834057,1286,840833,326725.0,0,Ventura,823318,1843.133,365.249,2208.382,0.16867386753382102,0.08628006306961757,1.1360446588182822,0.8230617339145337,0.018706456540367348,0.007805223352334116,0.0018156303168038945
55,0.9221084787018256,3815,4075,5880,2126,9297,4194,1418,3959,9765,28075,9033,3864,7305,41339,17200,17830,7630,8807,30.9,24660.0,2588,10793,8954,205756,92,207320,75491.0,0,Yolo,200849,1014.689,8.868,1023.557,0.1450622654172156,0.09041369779772813,1.108550904955384,0.6987723834733336,0.027586945545236163,0.00997087789627227,0.005207297356569814
56,0.9472481318681318,1338,1907,1234,627,3258,1214,482,940,2722,5792,2378,1042,2565,7153,5342,6292,3738,2974,32.1,22586.0,1090,4416,4580,71111,58,73437,21080.0,1,Yuba,72155,631.839,11.969,643.808,0.19175230333097093,0.14784613842194966,1.1418345966165573,0.7575133194007005,0.03614635151443794,0.01688105260059459,0.00350278162069879
57,0.938,922,4181,4415,2122,12700,3298,1998,6221,11528,45337,13567,5306,5064,54157,22333,27597,5794,6778,30.8,23418.0,2991,18582,11852,251519,268,254218,122654.0,0,Alachua,247336,875.02,93.788,968.808,0.07437956397502381,0.07858113231391381,1.1328925448972045,0.7212318587520609,0.20539100632659527,0.003138933331167618,0.0020709650697224905
58,0.986,83,948,661,316,1281,812,96,531,876,2586,589,468,927,3012,2073,2442,1169,1478,36.6,25315.0,448,1231,1565,24631,8,27135,12406.0,1,Baker,27115,585.231,3.74,588.971,0.18345890025863038,0.08924894816936711,1.1317039503065243,0.8385723277426043,0.14580325076826242,0.00144396312340331,0.0
59,0.9640000000000001,665,5171,4670,1589,10290,3571,1414,4559,9329,15954,10954,3622,6106,25149,17509,19449,7834,7953,39.8,24626.0,3720,11370,13521,171019,71,175353,83991.0,1,Bay,168852,758.459,274.694,1033.153,0.12001084286876022,0.08628739002932552,1.167297200895807,0.8538929830182633,0.11203080684016281,0.005897919707596093,0.0006052191249243476
60,0.96,90,713,631,94,1021,476,28,410,825,2299,732,527,1379,3029,2078,2107,1027,984,39.6,24452.0,843,1228,2237,23903,0,27223,11837.0,1,Bradford,28520,293.962,6.527,300.4890000000001,0.23467870147187037,0.12384841865324342,1.1802284232104756,0.7894087749458106,0.2039390088945362,0.0008595560206293445,0.00026160400627849614
61,0.9570000000000001,1029,13587,23210,4622,31379,9313,4013,11373,30840,50125,24702,11803,13697,84172,45470,59560,19153,21338,46.6,25490.0,9421,27855,42386,548302,757,553591,301527.0,1,Brevard,543376,1015.664,541.331,1556.995,0.09344883327780451,0.108812049445561,1.1452885453636865,0.8536685902720528,0.1056757499461539,0.003295752471350163,0.0009153836441552848
62,0.9420000000000001,1840,54111,43076,32952,122832,46893,21460,72184,123159,185450,97856,51096,38088,315119,177544,253258,72466,72610,40.0,26472.0,42882,129124,181842,1832097,9075,1843152,814271.0,0,Broward,1748066,1209.785,113.077,1322.862,0.11783991130889353,0.10038741022775118,1.1931382454094952,0.644026626325778,0.2863111244539109,0.002480942333994211,0.00048435851234974705
63,0.97,441,404,236,143,444,163,65,184,215,1067,443,225,705,1203,1358,975,746,453,40.5,20733.0,418,641,1498,12585,37,14615,5896.0,1,Calhoun,14625,567.3340000000002,6.979,574.313,0.2475305055200465,0.09980988593155894,1.2031783869686135,0.8325154234436343,0.13761918115535615,0.011918115535614133,0.0
64,0.9470000000000001,382,4883,2410,979,10284,2298,929,3545,6168,11778,7411,3162,2501,15923,13256,16713,6554,4284,57.3,22990.0,3741,7397,13589,162538,330,165783,93663.0,1,Charlotte,159978,680.279,178.02200000000005,858.301,0.10672081066984576,0.10759792354884379,1.1521305786954434,0.9217593246788354,0.05710002641813144,0.002211750539114194,3.071875748769714e-05
65,0.95,406,3199,2043,697,6664,2977,558,2050,3784,11230,5057,2652,2169,12510,10476,10921,4598,4981,55.4,20966.0,1717,5974,10247,137765,211,139654,77245.0,1,Citrus,141236,581.696,191.598,773.294,0.1336704677513074,0.13104468068100072,1.1302072369614924,0.9469694216497918,0.030374833734309242,0.0036342227487807183,0.0
66,0.973,375,6524,4367,2605,11628,6107,1552,7334,8963,19156,7570,4326,5867,28965,15624,23123,9387,9275,39.0,28397.0,3093,8816,12635,194380,88,197417,102785.0,1,Clay,190865,604.36,39.188,643.548,0.09675135867496841,0.10653439947037953,1.1262681345817471,0.8513830458561211,0.10136201093815735,0.0023506520824568785,0.0009307951198990324
67,0.95,5168,14170,4826,3098,18697,4760,2048,11475,18141,23920,22036,8871,3896,41942,34993,35705,17925,10541,48.5,26677.0,8951,23264,34995,339234,1337,341091,166508.0,1,Collier,321520,1998.324,306.691,2305.015,0.14023243553730064,0.07755769105053278,1.198122829669196,0.8888572302012009,0.06914554191263983,0.0026949457894440043,4.748803153205294e-05
68,0.9109999999999999,325,1850,1190,446,3717,1315,316,923,2308,6448,2326,1337,2725,7716,5510,6219,3168,2613,40.4,22088.0,1520,3507,5125,63166,46,67806,27969.0,1,Columbia,67531,797.574,3.754,801.328,0.14339063807868135,0.1482882031197245,1.1607193743469588,0.7942193900773783,0.18438780154756487,0.0029585798816568047,0.00036413290851160674
