,unnamed:_0,target_2020,fip,"total_production,_transportation,_and_material_moving_occupations",median_age:_total,median_income,in_civilian_labor_force,under_19_no_health_insurance_coverage,19_to_34_years_no_health_insurance_coverage,35_to_64_years_no_health_insurance_coverage,health_insurance_total,65_years_and_over_no_health_insurance_coverage,total_population_estimate,state_fip,county_fip,FIPS,Total Areami²,percent_no_hs,pop_density,unemp_rate,uninsured_rate,total_agriculture_percentage,total_construction_percentage,total_manufacturing_percentage,total_wholesale_trade_percentage,total_retail_trade_percentage,transportation_warehousing_utilities_percentage,total_information_percentage,total_finance_and_real_estate_percentage,total_scientific_administrative_and_waste_management_services_percentage,total_educational_healthcare_and_social_assistance_percentage,total_arts_and_entertainment_percentage,total_other_services_percentage,total_public_administration_percentage,total_management_business_science_and_arts_occupations_percentage,total_service_occupations_percentage,total_sales_and_office_occupations_percentage,total_natural_resources_and_maintenance_occupations_percentage,"total_production,_transportation,_and_material_moving_occupations_percentage",percent_white,percent_black,percent_american_indian_and_alaska_native,percent_pacific_islander
0,0,0,12001,8412,31.6,25648,132875,2429,10405,8988,262894,392,265443,12,1,12001,968.808,1.0738889163535692,273.9892734164045,0.05148447789275635,3117.4285714285716,0.010679209783631233,0.03641768579492004,0.0315032925682032,0.010634054562558795,0.09921354656632173,0.033219190968955786,0.01689557855126999,0.05022765757290687,0.092620884289746,0.3698739416745061,0.11172906867356538,0.04852681091251176,0.03697460018814675,0.4461260583254939,0.19094637817497648,0.19739604891815615,0.05073941674506115,0.06330761994355598,0.713174453941491,0.20784358091106628,0.004029851328524559,0.0006124749841029582
1,1,1,12003,1849,37.7,28349,11575,596,675,1240,25324,18,28211,12,3,12003,588.971,1.1429845266194598,47.89879297962039,0.04630669546436285,358.7142857142857,0.005615550755939525,0.06790496760259179,0.08647948164146868,0.022030237580993522,0.13062634989200864,0.07352051835853132,0.008034557235421166,0.04967602591792657,0.09174946004319655,0.2433693304535637,0.04630669546436285,0.0465658747300216,0.08181425485961123,0.30159827213822893,0.15326133909287257,0.2406047516198704,0.09848812095032397,0.15974082073434126,0.8411562782294489,0.13817524841915085,0.005203252032520325,0.0003613369467028004
2,2,1,12005,10041,39.8,27495,87174,3483,9016,10625,177278,159,182161,12,5,12005,1033.153,1.093383578068796,176.315608627183,0.05055406428522266,3303.4285714285716,0.010588019363571706,0.07124830798173767,0.05867575194438709,0.013582031339619612,0.1329066005919196,0.044875765709959395,0.01529125656732512,0.05815954298299952,0.1077729598274715,0.1837474476334687,0.13428315782228648,0.04216853649023791,0.07614655745979305,0.3124326060522633,0.20058733108495652,0.22183219767361828,0.09941037465299286,0.11518342625094638,0.8430365003511296,0.11451392814118265,0.003631194011955535,0.0011932697303438787
3,3,1,12007,1304,39.7,24309,10082,304,933,1407,23463,2,27317,12,7,12007,300.489,1.2036822777805725,90.90848583475602,0.06833961515572307,377.7142857142857,0.01904384050783575,0.06952985518746281,0.052568934735171595,0.0144812537195001,0.10821265621900417,0.07260464193612379,0.010612973616345963,0.04314620115056536,0.07974608212656219,0.25609998016266616,0.06952985518746281,0.04463400119024003,0.09145010910533624,0.28099583415988894,0.19648879190636778,0.20968061892481651,0.11515572307081928,0.12933941678238445,0.7812002517492873,0.20524971307985634,0.003776239309910777,0.0
4,4,1,12009,26849,47.3,28542,266313,6536,20595,31008,580488,925,585507,12,9,12009,1556.995,1.077930201805324,376.04937716562995,0.05193137398474727,8305.57142857143,0.005144322657925073,0.06348920255488842,0.10450109457668233,0.015830995858257015,0.11922061634242415,0.04404967087599929,0.013885916196355416,0.04910011903286734,0.1291337636540462,0.2014509242883374,0.1063335248373155,0.046287638981198816,0.049640836158955814,0.37277564369745375,0.17974338466391052,0.2136395895055818,0.0810925489931021,0.10081745915520458,0.8550979940867164,0.10001770444204451,0.0034718410849282084,0.0009277127631322699
5,5,0,12011,97997,40.4,30277,1028751,35847,93234,133436,1914269,8568,1926205,12,11,12011,1322.862,1.1104694184977786,1456.0891461089666,0.06051512951141724,37502.42857142857,0.0025263644944209045,0.06581864804991684,0.043853177299463135,0.03258806066774176,0.11827351808163492,0.06002910325239052,0.020943843553979536,0.07297975895041657,0.133607646553928,0.19484112287618677,0.10400184301157422,0.05156544197769917,0.03845634171923041,0.3390723313999209,0.18733784948933221,0.23785736295760587,0.07995909603004031,0.0952582306116835,0.6282436145177337,0.2958962494369028,0.0027404512402098937,0.0006588036190708345
6,6,1,12013,603,41.6,23568,5116,410,491,1113,12336,17,14362,12,13,12013,574.313,1.2309958190801977,25.00726955510323,0.05883502736512901,287.7142857142857,0.07310398749022674,0.05551211884284597,0.07779515246286162,0.005863956215793589,0.10301016419077404,0.06313526192337764,0.012314308053166537,0.033620015637216574,0.03596559812353401,0.20074276778733385,0.10203283815480844,0.04593432369038311,0.13213448006254885,0.2609460516028147,0.24433150899139952,0.1702501954652072,0.14777169663799844,0.11786551993745113,0.8284095798078303,0.1365266026100674,0.010970887709737559,0.0
7,7,1,12015,6066,59.1,26006,66178,2101,5728,10445,177693,200,181067,12,15,12015,858.301,1.093921062141146,210.95979149505825,0.05881108525491855,2610.5714285714284,0.006134969325153374,0.09315784701864668,0.04014929432741999,0.01857112635619088,0.16399709873371815,0.04635981746199643,0.018631569403729335,0.059491069539726195,0.10109099700806914,0.19692344888029253,0.10891837166429931,0.05232856840641905,0.03543473661942035,0.2819668167669014,0.20203088639729216,0.25111064099851915,0.11441868899029889,0.09166188159206987,0.9158329256016152,0.05687435676806533,0.003267477630994359,0.0007592245786303589
8,8,1,12017,5746,56.5,24413,50572,1751,4278,8423,142910,71,145169,12,17,12017,773.294,1.116266186552178,187.72808272144877,0.07994542434548763,2064.5714285714284,0.013347306810092541,0.08993118721822352,0.03454480740330618,0.018389622716127502,0.14355769991299533,0.05412085739144191,0.010302143478604761,0.04288934588309737,0.08757810646207387,0.22053705607846238,0.10915130902475678,0.05872814996440718,0.03697698331092304,0.28007593134540854,0.20339318199794354,0.21403147987028395,0.10893379735822194,0.11362018508265444,0.943429800410528,0.03004000196156729,0.002676138234449325,0.0002802238988952173
9,9,1,12019,11848,39.7,32036,103191,4153,7520,9521,208638,224,211405,12,19,12019,643.548,1.0819833155790435,328.49919508723514,0.06129410510606545,3027.714285714286,0.004370536190171624,0.07312653235262766,0.045352792394685586,0.02159103022550416,0.13348063300094,0.07337849231037591,0.013373259295868826,0.07729356242307953,0.09789613435280209,0.21796474498745044,0.07949336666957389,0.04999467007781686,0.05139014061303796,0.3300869261854231,0.1628048957757944,0.23115387969881093,0.0998439786415482,0.11481621459235786,0.8298192771084337,0.11538423430564362,0.0011889663918833227,0.0005053107165504121
10,10,1,12021,13361,50.8,31213,164851,7712,18908,28953,369593,1171,371453,12,21,12021,2305.015,1.12865092868283,161.14992744081925,0.03881687099259331,7939.0,0.02873503952053673,0.11107606262625037,0.03849536854492845,0.01890798357304475,0.11860407276874269,0.039138373440258174,0.011968383570618316,0.07335715282285216,0.14134582137809296,0.1523739619413895,0.14642313361763046,0.05639031610363298,0.02436745909942918,0.2977173326215795,0.23390212980206368,0.2116153374865788,0.13689938186604875,0.081048947231136,0.8998688011259646,0.06929264440740933,0.0018384208128874935,8.728407420237357e-05
11,11,1,12023,3526,40.4,25790,29040,1047,3198,3860,65174,59,69968,12,23,12023,801.328,1.138706015891033,87.31505700537109,0.08643250688705234,1157.857142857143,0.014428374655647383,0.07689393939393939,0.05199724517906336,0.017286501377410467,0.12665289256198348,0.0709366391184573,0.005681818181818182,0.03787878787878788,0.08367768595041322,0.22320936639118458,0.09507575757575758,0.03550275482093664,0.07434573002754821,0.2801997245179063,0.19039256198347107,0.20840220385674932,0.11315426997245179,0.12141873278236914,0.787699490537505,0.18577028673782503,0.002877655591607817,0.00019086491168827355
12,12,1,12027,1718,40.9,21509,14250,765,2729,2893,35122,352,36903,12,27,12027,639.482,1.2645456608912764,57.70764462486826,0.047649122807017545,912.4285714285714,0.1863157894736842,0.13010526315789472,0.028,0.02463157894736842,0.12498245614035088,0.05207017543859649,0.0054736842105263155,0.02568421052631579,0.07649122807017544,0.1263859649122807,0.07410526315789474,0.038456140350877195,0.05964912280701754,0.1607017543859649,0.20673684210526316,0.156,0.30835087719298243,0.12056140350877192,0.8526006803467574,0.12712608361681116,0.0008504334467244596,0.0011247668166355755
13,13,1,12029,954,46.5,22643,5397,205,715,1510,15011,0,16589,12,29,12029,863.65,1.2156142731699529,19.20801250506571,0.04706318324995368,347.14285714285717,0.07392996108949416,0.12803409301463775,0.08430609597924774,0.012414304243098017,0.08282379099499722,0.04798962386511025,0.005002779321845469,0.03724291272929405,0.07263294422827497,0.18695571613859552,0.06170094496942746,0.05391884380211229,0.10598480637391143,0.24254215304798962,0.1882527329998147,0.17083564943487123,0.1745414118954975,0.17676486937187327,0.8890887662055704,0.09143353389988214,0.00012406178276781838,0.0012406178276781837
