,all_skew_diff,1620_skew_diff,FIPS,county,state,Population(2010),Latitude,Longitude
2108,15.084999999999999,19.13,40009.0,BECKHAM,OK,22119,35.27394,-99.67163
365,12.319999999999999,19.06,13009.0,BALDWIN,GA,45720,33.05953,-83.25536
361,12.295,19.04,13001.0,APPLING,GA,18236,31.73971,-82.2901
148,9.815000000000001,19.01,5127.0,SCOTT,AR,11233,34.85886,-94.06364
2766,9.56,19.0,49035.0,SALT LAKE,UT,1029655,40.66788,-111.92424
2307,11.155,18.89,45037.0,EDGEFIELD,SC,26985,33.77649,-81.96824
2120,14.180000000000001,18.89,40033.0,COTTON,OK,6193,34.29067,-98.37343
2167,16.375,18.799999999999997,40127.0,PUSHMATAHA,OK,11572,34.37789,-95.40808
390,11.134999999999998,18.63,13061.0,CLAY,GA,3183,31.61983,-84.99258
2178,13.74,18.61,40149.0,WASHITA,OK,11629,35.29017,-98.99196
1932,10.76,18.599999999999998,37139.0,PASQUOTANK,NC,40661,36.26527,-76.26035
159,12.855,18.590000000000003,5149.0,YELL,AR,22185,34.99771,-93.4083
441,11.459999999999999,18.560000000000002,13163.0,JEFFERSON,GA,16930,33.05187,-82.41905
447,11.635000000000002,18.55,13175.0,LAURENS,GA,48434,32.39322,-82.92631
378,13.329999999999998,18.47,13035.0,BUTTS,GA,23655,33.29035,-83.95822
1926,17.9,18.47,37127.0,NASH,NC,95840,35.96594,-77.98755
465,11.925000000000002,18.450000000000003,13213.0,MURRAY,GA,39628,34.79709,-84.73799
2754,19.735,18.38,49011.0,DAVIS,UT,306479,41.03704,-112.20212
2174,13.224999999999998,18.36,40141.0,TILLMAN,OK,7992,34.37108,-98.9317
499,12.559999999999999,18.339999999999996,13281.0,TOWNS,GA,10471,34.90265,-83.73215
2858,9.185,18.31,51139.0,PAGE,VA,24042,38.62375,-78.49047
475,14.115000000000002,18.28,13233.0,POLK,GA,41475,33.99596,-85.18682
2115,19.955,18.270000000000003,40023.0,CHOCTAW,OK,15205,34.02764,-95.5542
372,11.875,18.23,13023.0,BLECKLEY,GA,13063,32.4354,-83.33171
442,11.415,18.18,13165.0,JENKINS,GA,8340,32.79456,-81.97152
459,12.275,18.17,13199.0,MERIWETHER,GA,21992,33.03022,-84.66327
405,12.015,18.12,13091.0,DODGE,GA,21796,32.16065,-83.15681
502,13.885000000000002,18.07,13287.0,TURNER,GA,8930,31.71823,-83.62856
136,11.185,18.07,5103.0,OUACHITA,AR,26120,33.59115,-92.87841
2293,9.379999999999999,18.009999999999998,45009.0,BAMBERG,SC,15987,33.20302,-81.05316
488,11.360000000000003,17.970000000000002,13259.0,STEWART,GA,6058,32.07322,-84.83491
513,12.190000000000001,17.87,13309.0,WHEELER,GA,7421,32.10927,-82.7387
487,12.220000000000002,17.840000000000003,13257.0,STEPHENS,GA,26175,34.55291,-83.29021
433,10.99,17.79,13147.0,HART,GA,25213,34.34873,-82.96329
491,10.189999999999998,17.779999999999998,13265.0,TALIAFERRO,GA,1717,33.55931,-82.8752
426,9.49,17.759999999999998,13133.0,GREENE,GA,15994,33.57683,-83.1671
376,10.07,17.75,13031.0,BULLOCH,GA,70217,32.3934,-81.74381
1173,24.225,17.700000000000003,24017.0,CHARLES,MD,146551,38.47285,-77.01542
2148,10.405000000000003,17.590000000000003,40089.0,MCCURTAIN,OK,33151,34.11707,-94.76608
486,10.259999999999998,17.57,13255.0,SPALDING,GA,64073,33.26238,-84.28606
515,10.930000000000001,17.560000000000002,13313.0,WHITFIELD,GA,102599,34.80172,-84.96854
123,10.67,17.54,5077.0,LEE,AR,10424,34.77975,-90.77928
1954,21.765,17.5,37183.0,WAKE,NC,900993,35.78984,-78.65062
115,10.145,17.48,5061.0,HOWARD,AR,13789,34.08317,-93.99098
2847,9.025,17.46,51113.0,MADISON,VA,13308,38.41205,-78.27696
1870,10.43,17.43,37015.0,BERTIE,NC,21282,36.06133,-76.96236
1924,9.56,17.42,37123.0,MONTGOMERY,NC,27798,35.33807,-79.90419
2322,10.220000000000002,17.380000000000003,45067.0,MARION,SC,33062,34.0807,-79.36213
2296,10.23,17.35,45015.0,BERKELEY,SC,177843,33.2077,-79.95365
415,11.129999999999999,17.33,13111.0,FANNIN,GA,23682,34.86383,-84.31928
364,11.620000000000001,17.29,13007.0,BAKER,GA,3451,31.31962,-84.45485
2310,9.435,17.28,45043.0,GEORGETOWN,SC,60158,33.41753,-79.30081
490,10.59,17.25,13263.0,TALBOT,GA,6865,32.7046,-84.53002
2295,11.515,17.23,45013.0,BEAUFORT,SC,162233,32.35814,-80.68932
2815,9.43,17.21,51047.0,CULPEPER,VA,46689,38.48593,-77.95647
384,11.04,17.16,13049.0,CHARLTON,GA,12171,30.7799,-82.13964
514,12.53,17.15,13311.0,WHITE,GA,27144,34.64367,-83.74371
362,12.405,17.15,13003.0,ATKINSON,GA,8375,31.30056,-82.88361
467,22.115000000000002,17.1,13217.0,NEWTON,GA,99958,33.54404,-83.85518
387,11.959999999999999,17.08,13055.0,CHATTOOGA,GA,26015,34.47417,-85.34528
2305,9.76,17.07,45033.0,DILLON,SC,32062,34.39017,-79.37496
425,10.105,16.97,13131.0,GRADY,GA,25011,30.87586,-84.24477
2137,20.064999999999998,16.94,40067.0,JEFFERSON,OK,6472,34.10509,-97.83881
2877,15.87,16.83,51179.0,STAFFORD,VA,128961,38.41893,-77.45904
1939,10.275,16.75,37153.0,RICHMOND,NC,46639,35.00195,-79.7478
370,12.425000000000002,16.71,13019.0,BERRIEN,GA,19286,31.2743,-83.2319
1185,13.375,16.67,24041.0,TALBOT,MD,37782,38.74942,-76.17913
2822,7.820000000000001,16.67,51063.0,FLOYD,VA,15279,36.93143,-80.3503
2774,15.145000000000001,16.63,49051.0,WASATCH,UT,23530,40.33488,-111.16156
1866,9.030000000000001,16.59,37007.0,ANSON,NC,26948,34.97499,-80.10995
2560,16.064999999999998,16.57,48131.0,DUVAL,TX,11782,27.68112,-98.49739
838,11.825,16.53,19153.0,POLK,IA,430640,41.68428,-93.56972
2873,8.73,16.509999999999998,51171.0,SHENANDOAH,VA,41993,38.8562,-78.57398
408,26.105,16.5,13097.0,DOUGLAS,GA,132403,33.69931,-84.76594
2824,9.545,16.49,51067.0,FRANKLIN,VA,56159,36.99235,-79.88395
2518,4.869999999999998,16.4,48047.0,BROOKS,TX,7223,27.03499,-98.21527
478,10.125,16.39,13239.0,QUITMAN,GA,2513,31.86148,-85.00931
106,10.745000000000001,16.39,5043.0,DREW,AR,18509,33.58724,-91.72277
437,12.27,16.35,13155.0,IRWIN,GA,9538,31.6043,-83.27703
2845,9.9,16.310000000000002,51109.0,LOUISA,VA,33153,37.97168,-77.95917
409,11.005,16.25,13099.0,EARLY,GA,11008,31.32419,-84.90672
1901,9.3,16.21,37077.0,GRANVILLE,NC,59916,36.29988,-78.65763
2808,9.754999999999999,16.21,51033.0,CAROLINE,VA,28545,38.03031,-77.35234
501,10.614999999999998,16.2,13285.0,TROUP,GA,67044,33.03448,-85.02836
2333,12.695,16.18,45089.0,WILLIAMSBURG,SC,34423,33.62646,-79.71647
1896,18.81,16.130000000000003,37067.0,FORSYTH,NC,350670,36.13166,-80.25728
479,10.455000000000002,16.130000000000003,13241.0,RABUN,GA,16276,34.88302,-83.40473
413,12.345,16.08,13107.0,EMANUEL,GA,22598,32.5911,-82.29976
440,11.32,16.08,13161.0,JEFF DAVIS,GA,15068,31.81161,-82.63682
2146,14.855,16.07,40085.0,LOVE,OK,9423,33.95777,-97.24512
1183,10.365,16.060000000000002,24037.0,ST. MARY'S,MD,105151,38.22266,-76.53427
477,11.185000000000002,16.0,13237.0,PUTNAM,GA,21218,33.32106,-83.37179
473,11.54,15.98,13229.0,PIERCE,GA,18758,31.35398,-82.21042
1168,13.77,15.860000000000001,24005.0,BALTIMORE,MD,805029,39.44316,-76.61656
406,9.355,15.79,13093.0,DOOLY,GA,14918,32.15199,-83.80716
2133,11.035,15.770000000000003,40059.0,HARPER,OK,3685,36.80045,-99.66284
859,10.264999999999999,15.77,19195.0,WORTH,IA,7598,43.37349,-93.24853
449,15.545,15.73,13179.0,LIBERTY,GA,63453,31.80724,-81.45796
379,9.524999999999999,15.709999999999999,13037.0,CALHOUN,GA,6694,31.52127,-84.62629
