,skew_diff,FIPS,county,state,Population(2010),Total Areami²,Latitude,Longitude
2029,12.93,37193.0,WILKES,NC,69340,756.920,36.2093,-81.16535
538,12.905,13219.0,OCONEE,GA,32808,186.372,33.83412,-83.43772
2220,12.899999999999999,40093.0,MAJOR,OK,7527,957.942,36.31311,-98.54201
2551,12.889999999999999,47163.0,SULLIVAN,TN,156823,429.707,36.51021,-82.29939
2645,12.879999999999999,48161.0,FREESTONE,TX,19816,891.992,31.70165,-96.14423
777,12.865000000000002,18075.0,JAY,IN,21253,384.082,40.43497,-85.00338
3110,12.86,55041.0,FOREST,WI,9304,1046.326,45.66688,-88.77322
501,12.859999999999996,13143.0,HARALSON,GA,28780,283.175,33.79516,-85.22006
229,12.855,5149.0,YELL,AR,22185,948.857,34.99771,-93.4083
38,12.85,1039.0,COVINGTON,AL,37765,1043.787,31.24398,-86.44872
39,12.85,1039.0,COVINGTON,AL,37765,1043.787,31.24398,-86.44872
2210,12.845,40073.0,KINGFISHER,OK,15034,906.018,35.94943,-97.93456
729,12.844999999999999,17183.0,VERMILION,IL,81625,901.277,40.18674,-87.72677
2264,12.834999999999999,41027.0,HOOD RIVER,OR,22346,533.187,45.51177,-121.65597
3073,12.825000000000001,54077.0,PRESTON,WV,33520,651.389,39.46903,-79.66886
573,12.825,13289.0,TWIGGS,GA,9023,362.634,32.66584,-83.42587
546,12.815000000000001,13235.0,PULASKI,GA,12010,251.207,32.23879,-83.48185
1395,12.815,27077.0,LAKE OF THE WOODS,MN,4045,1774.665,48.7681,-94.90463
3096,12.795,55013.0,BURNETT,WI,15457,880.232,45.86525,-92.36797
722,12.754999999999999,17169.0,SCHUYLER,IL,7544,441.332,40.1569,-90.61346
1585,12.750000000000004,29119.0,MCDONALD,MO,23083,539.681,36.63021,-94.34395
1735,12.745,31077.0,GREELEY,NE,2538,570.656,41.5676,-98.53056
2032,12.735,37199.0,YANCEY,NC,17818,313.160,35.8895,-82.30398
1752,12.735,31111.0,LINCOLN,NE,36288,2575.126,41.05032,-100.74448
224,12.73,5139.0,UNION,AR,41639,1055.199,33.16821,-92.59814
934,12.715,20007.0,BARBER,KS,4861,1136.166,37.2229,-98.68505
1387,12.715,27061.0,ITASCA,MN,45058,2927.963,47.49084,-93.61312
381,12.715,12037.0,FRANKLIN,FL,11549,1026.494,29.81017,-84.79917
2084,12.709999999999999,38103.0,WELLS,ND,4207,1290.373,47.58085,-99.6715
2135,12.705,39099.0,MAHONING,OH,238823,425.286,41.01088,-80.77039
2993,12.705,51820.0,WAYNESBORO,VA,21006,15.201,38.06715,-78.90142
