,year,FIPS,office,state_x,dem_votes,rep_votes,county_x,total_votes,target,win_percentage,win_margin,skew,skew_diff,county_y,state_y
3004,2020,48381.0,PRESIDENT,TX,12802.0,50796.0,RANDALL,63598.0,1,79.87,29.87,29.87,2.6450000000000014,RANDALL,TX
3010,2020,48383.0,PRESIDENT,TX,172.0,942.0,REAGAN,1114.0,1,84.56,34.56,34.56,2.1800000000000015,REAGAN,TX
3016,2020,48385.0,PRESIDENT,TX,320.0,1643.0,REAL,1963.0,1,83.7,33.7,33.7,4.600000000000001,REAL,TX
3022,2020,48387.0,PRESIDENT,TX,1246.0,4517.0,RED RIVER,5763.0,1,78.38,28.38,28.38,18.515,RED RIVER,TX
3028,2020,48389.0,PRESIDENT,TX,1395.0,2254.0,REEVES,3649.0,1,61.77,11.77,11.77,7.369999999999999,REEVES,TX
3034,2020,48391.0,PRESIDENT,TX,1108.0,2210.0,REFUGIO,3318.0,1,66.61,16.61,16.61,3.3949999999999996,REFUGIO,TX
3040,2020,48393.0,PRESIDENT,TX,17.0,529.0,ROBERTS,546.0,1,96.89,46.89,46.89,7.760000000000002,ROBERTS,TX
3046,2020,48395.0,PRESIDENT,TX,2374.0,5646.0,ROBERTSON,8020.0,1,70.4,20.4,20.4,17.265,ROBERTSON,TX
3052,2020,48397.0,PRESIDENT,TX,16412.0,36726.0,ROCKWALL,53138.0,1,69.11,19.11,19.11,7.140000000000001,ROCKWALL,TX
3058,2020,48399.0,PRESIDENT,TX,552.0,3807.0,RUNNELS,4359.0,1,87.34,37.34,37.34,9.525000000000002,RUNNELS,TX
3064,2020,48401.0,PRESIDENT,TX,4629.0,16534.0,RUSK,21163.0,1,78.13,28.13,28.13,6.6,RUSK,TX
3070,2020,48403.0,PRESIDENT,TX,669.0,4784.0,SABINE,5453.0,1,87.73,37.73,37.73,22.61,SABINE,TX
3076,2020,48405.0,PRESIDENT,TX,980.0,3007.0,SAN AUGUSTINE,3987.0,1,75.42,25.42,25.42,16.759999999999998,SAN AUGUSTINE,TX
3082,2020,48407.0,PRESIDENT,TX,2337.0,10161.0,SAN JACINTO,12498.0,1,81.3,31.3,31.3,16.650000000000002,SAN JACINTO,TX
3088,2020,48409.0,PRESIDENT,TX,8988.0,16516.0,SAN PATRICIO,25504.0,1,64.76,14.76,14.76,3.09,SAN PATRICIO,TX
3094,2020,48411.0,PRESIDENT,TX,287.0,2308.0,SAN SABA,2595.0,1,88.94,38.94,38.94,12.444999999999999,SAN SABA,TX
3100,2020,48413.0,PRESIDENT,TX,211.0,940.0,SCHLEICHER,1151.0,1,81.67,31.67,31.67,7.029999999999999,SCHLEICHER,TX
3106,2020,48415.0,PRESIDENT,TX,818.0,4983.0,SCURRY,5801.0,1,85.9,35.9,35.9,6.004999999999999,SCURRY,TX
3112,2020,48417.0,PRESIDENT,TX,130.0,1484.0,SHACKELFORD,1614.0,1,91.95,41.95,41.95,9.955000000000002,SHACKELFORD,TX
3118,2020,48419.0,PRESIDENT,TX,2068.0,7975.0,SHELBY,10043.0,1,79.41,29.41,29.41,13.92,SHELBY,TX
3124,2020,48421.0,PRESIDENT,TX,91.0,886.0,SHERMAN,977.0,1,90.69,40.69,40.69,2.1499999999999986,SHERMAN,TX
3130,2020,48423.0,PRESIDENT,TX,29615.0,69080.0,SMITH,98695.0,1,69.99,19.99,19.99,1.445000000000002,SMITH,TX
3136,2020,48425.0,PRESIDENT,TX,768.0,4105.0,SOMERVELL,4873.0,1,84.24,34.24,34.24,9.755000000000003,SOMERVELL,TX
