,year,FIPS,office,state,dem_votes,rep_votes,county
0,2000,12053.0,PRESIDENT,FL,32644.0,30646.0,HERNANDO
0,2000,12055.0,PRESIDENT,FL,14167.0,20206.0,HIGHLANDS
0,2000,12057.0,PRESIDENT,FL,169557.0,180760.0,HILLSBOROUGH
0,2000,12059.0,PRESIDENT,FL,2177.0,5011.0,HOLMES
0,2000,12061.0,PRESIDENT,FL,19768.0,28635.0,INDIAN RIVER
0,2000,12063.0,PRESIDENT,FL,6868.0,9138.0,JACKSON
0,2000,12065.0,PRESIDENT,FL,3041.0,2478.0,JEFFERSON
0,2000,12067.0,PRESIDENT,FL,789.0,1670.0,LAFAYETTE
0,2000,12069.0,PRESIDENT,FL,36571.0,50010.0,LAKE
0,2000,12071.0,PRESIDENT,FL,73560.0,106141.0,LEE
0,2000,12073.0,PRESIDENT,FL,61427.0,39062.0,LEON
0,2000,12075.0,PRESIDENT,FL,5398.0,6858.0,LEVY
0,2000,12077.0,PRESIDENT,FL,1017.0,1317.0,LIBERTY
0,2000,12079.0,PRESIDENT,FL,3014.0,3038.0,MADISON
0,2000,12081.0,PRESIDENT,FL,49177.0,57952.0,MANATEE
0,2000,12083.0,PRESIDENT,FL,44665.0,55141.0,MARION
0,2000,12085.0,PRESIDENT,FL,26620.0,33970.0,MARTIN
0,2000,12086.0,PRESIDENT,FL,328808.0,289533.0,MIAMI-DADE
0,2000,12087.0,PRESIDENT,FL,16483.0,16059.0,MONROE
0,2000,12089.0,PRESIDENT,FL,6952.0,16404.0,NASSAU
0,2000,12091.0,PRESIDENT,FL,16948.0,52093.0,OKALOOSA
0,2000,12093.0,PRESIDENT,FL,4588.0,5057.0,OKEECHOBEE
0,2000,12095.0,PRESIDENT,FL,140220.0,134517.0,ORANGE
0,2000,12097.0,PRESIDENT,FL,28181.0,26212.0,OSCEOLA
0,2000,12099.0,PRESIDENT,FL,269732.0,152951.0,PALM BEACH
0,2000,12101.0,PRESIDENT,FL,69564.0,68582.0,PASCO
0,2000,12103.0,PRESIDENT,FL,200630.0,184825.0,PINELLAS
0,2000,12105.0,PRESIDENT,FL,75200.0,90295.0,POLK
0,2000,12107.0,PRESIDENT,FL,12102.0,13447.0,PUTNAM
0,2000,12109.0,PRESIDENT,FL,19502.0,39546.0,ST. JOHNS
0,2000,12111.0,PRESIDENT,FL,41559.0,34705.0,ST. LUCIE
0,2000,12113.0,PRESIDENT,FL,12802.0,36274.0,SANTA ROSA
0,2000,12115.0,PRESIDENT,FL,72853.0,83100.0,SARASOTA
0,2000,12117.0,PRESIDENT,FL,59174.0,75677.0,SEMINOLE
0,2000,12119.0,PRESIDENT,FL,9637.0,12127.0,SUMTER
0,2000,12121.0,PRESIDENT,FL,4075.0,8006.0,SUWANNEE
0,2000,12123.0,PRESIDENT,FL,2649.0,4056.0,TAYLOR
0,2000,12125.0,PRESIDENT,FL,1407.0,2332.0,UNION
0,2000,12127.0,PRESIDENT,FL,97304.0,82357.0,VOLUSIA
0,2000,12129.0,PRESIDENT,FL,3838.0,4512.0,WAKULLA
0,2000,12131.0,PRESIDENT,FL,5642.0,12182.0,WALTON
0,2000,12133.0,PRESIDENT,FL,2798.0,4994.0,WASHINGTON
0,2000,17001.0,PRESIDENT,IL,12197.0,17331.0,ADAMS
0,2000,17003.0,PRESIDENT,IL,2357.0,1588.0,ALEXANDER
0,2000,17005.0,PRESIDENT,IL,3060.0,3804.0,BOND
0,2000,17007.0,PRESIDENT,IL,6481.0,8617.0,BOONE
0,2000,17009.0,PRESIDENT,IL,1077.0,1529.0,BROWN
0,2000,17011.0,PRESIDENT,IL,7754.0,8526.0,BUREAU
0,2000,17013.0,PRESIDENT,IL,1310.0,1229.0,CALHOUN
0,2000,17015.0,PRESIDENT,IL,3113.0,3835.0,CARROLL
0,2000,17017.0,PRESIDENT,IL,2789.0,2968.0,CASS
0,2000,17019.0,PRESIDENT,IL,35515.0,34645.0,CHAMPAIGN
0,2000,17021.0,PRESIDENT,IL,6799.0,7537.0,CHRISTIAN
0,2000,17023.0,PRESIDENT,IL,2932.0,4398.0,CLARK
0,2000,17025.0,PRESIDENT,IL,2212.0,3789.0,CLAY
0,2000,17027.0,PRESIDENT,IL,6436.0,8588.0,CLINTON
0,2000,17029.0,PRESIDENT,IL,8904.0,10495.0,COLES
0,2000,17031.0,PRESIDENT,IL,1280547.0,534542.0,COOK
0,2000,17033.0,PRESIDENT,IL,3333.0,4974.0,CRAWFORD
0,2000,17035.0,PRESIDENT,IL,1870.0,2964.0,CUMBERLAND
0,2000,17037.0,PRESIDENT,IL,14798.0,17139.0,DEKALB
0,2000,17039.0,PRESIDENT,IL,2870.0,3968.0,DE WITT
0,2000,17041.0,PRESIDENT,IL,3215.0,4734.0,DOUGLAS
0,2000,17043.0,PRESIDENT,IL,152550.0,201037.0,DUPAGE
