,year,FIPS,office,state,dem_votes,rep_votes,total_votes,target,win_margin,win_percentage,State,County [2],Population(2010),Land Areami²,Water Areami²,Total Areami²,Latitude,Longitude
38,2008,6013,PRESIDENT,CA,306983.0,136436.0,443419.0,0,19.230000000000004,69.23,CA,Contra Costa,1049025,715.937,87.833,803.770,37.91947,-121.95154
39,2012,6013,PRESIDENT,CA,290824.0,136517.0,427341.0,0,18.049999999999997,68.05,CA,Contra Costa,1049025,715.937,87.833,803.770,37.91947,-121.95154
40,2016,6013,PRESIDENT,CA,319287.0,115956.0,435243.0,0,23.36,73.36,CA,Contra Costa,1049025,715.937,87.833,803.770,37.91947,-121.95154
41,2020,6013,PRESIDENT,CA,416386.0,152877.0,569263.0,0,23.14,73.14,CA,Contra Costa,1049025,715.937,87.833,803.770,37.91947,-121.95154
42,2000,6015,PRESIDENT,CA,3117.0,4526.0,7643.0,1,9.219999999999999,59.22,CA,Del Norte,28610,1006.373,223.370,1229.743,41.7499,-123.98099
43,2004,6015,PRESIDENT,CA,3892.0,5356.0,9248.0,1,7.920000000000002,57.92,CA,Del Norte,28610,1006.373,223.370,1229.743,41.7499,-123.98099
44,2008,6015,PRESIDENT,CA,4323.0,4967.0,9290.0,1,3.469999999999999,53.47,CA,Del Norte,28610,1006.373,223.370,1229.743,41.7499,-123.98099
45,2012,6015,PRESIDENT,CA,3791.0,4614.0,8405.0,1,4.899999999999999,54.9,CA,Del Norte,28610,1006.373,223.370,1229.743,41.7499,-123.98099
46,2016,6015,PRESIDENT,CA,3485.0,5134.0,8619.0,1,9.57,59.57,CA,Del Norte,28610,1006.373,223.370,1229.743,41.7499,-123.98099
47,2020,6015,PRESIDENT,CA,4677.0,6461.0,11138.0,1,8.009999999999998,58.01,CA,Del Norte,28610,1006.373,223.370,1229.743,41.7499,-123.98099
48,2000,6017,PRESIDENT,CA,26220.0,42045.0,68265.0,1,11.590000000000003,61.59,CA,El Dorado,181058,1707.883,78.473,1786.356,38.78553,-120.53439
49,2004,6017,PRESIDENT,CA,32242.0,52878.0,85120.0,1,12.119999999999997,62.12,CA,El Dorado,181058,1707.883,78.473,1786.356,38.78553,-120.53439
50,2008,6017,PRESIDENT,CA,40529.0,50314.0,90843.0,1,5.390000000000001,55.39,CA,El Dorado,181058,1707.883,78.473,1786.356,38.78553,-120.53439
51,2012,6017,PRESIDENT,CA,35166.0,50973.0,86139.0,1,9.18,59.18,CA,El Dorado,181058,1707.883,78.473,1786.356,38.78553,-120.53439
52,2016,6017,PRESIDENT,CA,36404.0,49247.0,85651.0,1,7.5,57.5,CA,El Dorado,181058,1707.883,78.473,1786.356,38.78553,-120.53439
53,2020,6017,PRESIDENT,CA,51621.0,61838.0,113459.0,1,4.5,54.5,CA,El Dorado,181058,1707.883,78.473,1786.356,38.78553,-120.53439
54,2000,6019,PRESIDENT,CA,95059.0,117342.0,212401.0,1,5.25,55.25,CA,Fresno,930450,5957.991,53.211,6011.202,36.761,-119.65501
55,2004,6019,PRESIDENT,CA,103154.0,141988.0,245142.0,1,7.920000000000002,57.92,CA,Fresno,930450,5957.991,53.211,6011.202,36.761,-119.65501
56,2008,6019,PRESIDENT,CA,136706.0,131015.0,267721.0,0,1.0600000000000023,51.06,CA,Fresno,930450,5957.991,53.211,6011.202,36.761,-119.65501
57,2012,6019,PRESIDENT,CA,129129.0,124490.0,253619.0,0,0.9099999999999966,50.91,CA,Fresno,930450,5957.991,53.211,6011.202,36.761,-119.65501
58,2016,6019,PRESIDENT,CA,141341.0,124049.0,265390.0,0,3.259999999999998,53.26,CA,Fresno,930450,5957.991,53.211,6011.202,36.761,-119.65501
59,2020,6019,PRESIDENT,CA,193025.0,164464.0,357489.0,0,3.990000000000002,53.99,CA,Fresno,930450,5957.991,53.211,6011.202,36.761,-119.65501
60,2000,6021,PRESIDENT,CA,2498.0,5795.0,8293.0,1,19.879999999999995,69.88,CA,Glenn,28122,1313.947,13.031,1326.978,39.60254,-122.4017
61,2004,6021,PRESIDENT,CA,2995.0,6308.0,9303.0,1,17.810000000000002,67.81,CA,Glenn,28122,1313.947,13.031,1326.978,39.60254,-122.4017
62,2008,6021,PRESIDENT,CA,3734.0,5910.0,9644.0,1,11.280000000000001,61.28,CA,Glenn,28122,1313.947,13.031,1326.978,39.60254,-122.4017
63,2012,6021,PRESIDENT,CA,3301.0,5632.0,8933.0,1,13.049999999999997,63.05,CA,Glenn,28122,1313.947,13.031,1326.978,39.60254,-122.4017
64,2016,6021,PRESIDENT,CA,3065.0,5788.0,8853.0,1,15.379999999999995,65.38,CA,Glenn,28122,1313.947,13.031,1326.978,39.60254,-122.4017
65,2020,6021,PRESIDENT,CA,3995.0,7063.0,11058.0,1,13.869999999999997,63.87,CA,Glenn,28122,1313.947,13.031,1326.978,39.60254,-122.4017
66,2000,6023,PRESIDENT,CA,24851.0,23219.0,48070.0,0,1.7000000000000028,51.7,CA,Humboldt,134623,3567.987,484.271,4052.258,40.70667,-123.92581
67,2004,6023,PRESIDENT,CA,37988.0,25714.0,63702.0,0,9.630000000000003,59.63,CA,Humboldt,134623,3567.987,484.271,4052.258,40.70667,-123.92581
68,2008,6023,PRESIDENT,CA,39692.0,21713.0,61405.0,0,14.64,64.64,CA,Humboldt,134623,3567.987,484.271,4052.258,40.70667,-123.92581
69,2012,6023,PRESIDENT,CA,34457.0,18825.0,53282.0,0,14.670000000000002,64.67,CA,Humboldt,134623,3567.987,484.271,4052.258,40.70667,-123.92581
70,2016,6023,PRESIDENT,CA,33200.0,18373.0,51573.0,0,14.370000000000005,64.37,CA,Humboldt,134623,3567.987,484.271,4052.258,40.70667,-123.92581
71,2020,6023,PRESIDENT,CA,44768.0,21770.0,66538.0,0,17.28,67.28,CA,Humboldt,134623,3567.987,484.271,4052.258,40.70667,-123.92581
72,2000,6025,PRESIDENT,CA,15489.0,12524.0,28013.0,0,5.289999999999999,55.29,CA,Imperial,174528,4176.603,305.116,4481.719,33.04081,-115.35539
73,2004,6025,PRESIDENT,CA,13955.0,11628.0,25583.0,0,4.549999999999997,54.55,CA,Imperial,174528,4176.603,305.116,4481.719,33.04081,-115.35539
74,2008,6025,PRESIDENT,CA,24162.0,14008.0,38170.0,0,13.299999999999997,63.3,CA,Imperial,174528,4176.603,305.116,4481.719,33.04081,-115.35539
75,2012,6025,PRESIDENT,CA,25136.0,12777.0,37913.0,0,16.299999999999997,66.3,CA,Imperial,174528,4176.603,305.116,4481.719,33.04081,-115.35539
76,2016,6025,PRESIDENT,CA,32667.0,12704.0,45371.0,0,22.0,72.0,CA,Imperial,174528,4176.603,305.116,4481.719,33.04081,-115.35539
77,2020,6025,PRESIDENT,CA,34678.0,20847.0,55525.0,0,12.450000000000003,62.45,CA,Imperial,174528,4176.603,305.116,4481.719,33.04081,-115.35539
78,2000,6027,PRESIDENT,CA,2652.0,4713.0,7365.0,1,13.990000000000002,63.99,CA,Inyo,18546,10180.879,46.026,10226.905,36.56197,-117.40392
79,2004,6027,PRESIDENT,CA,3021.0,4559.0,7580.0,1,10.149999999999999,60.15,CA,Inyo,18546,10180.879,46.026,10226.905,36.56197,-117.40392
80,2008,6027,PRESIDENT,CA,3743.0,4523.0,8266.0,1,4.719999999999999,54.72,CA,Inyo,18546,10180.879,46.026,10226.905,36.56197,-117.40392
81,2012,6027,PRESIDENT,CA,3422.0,4340.0,7762.0,1,5.909999999999997,55.91,CA,Inyo,18546,10180.879,46.026,10226.905,36.56197,-117.40392
82,2016,6027,PRESIDENT,CA,3155.0,4248.0,7403.0,1,7.380000000000003,57.38,CA,Inyo,18546,10180.879,46.026,10226.905,36.56197,-117.40392
83,2020,6027,PRESIDENT,CA,4634.0,4620.0,9254.0,0,0.0799999999999983,50.08,CA,Inyo,18546,10180.879,46.026,10226.905,36.56197,-117.40392
84,2000,6029,PRESIDENT,CA,66003.0,110663.0,176666.0,1,12.64,62.64,CA,Kern,839631,8131.916,30.725,8162.641,35.34662,-118.7295
85,2004,6029,PRESIDENT,CA,68603.0,140417.0,209020.0,1,17.180000000000007,67.18,CA,Kern,839631,8131.916,30.725,8162.641,35.34662,-118.7295
86,2008,6029,PRESIDENT,CA,93457.0,134793.0,228250.0,1,9.049999999999997,59.05,CA,Kern,839631,8131.916,30.725,8162.641,35.34662,-118.7295
87,2012,6029,PRESIDENT,CA,89495.0,126618.0,216113.0,1,8.590000000000003,58.59,CA,Kern,839631,8131.916,30.725,8162.641,35.34662,-118.7295
88,2016,6029,PRESIDENT,CA,98689.0,129584.0,228273.0,1,6.770000000000003,56.77,CA,Kern,839631,8131.916,30.725,8162.641,35.34662,-118.7295
89,2020,6029,PRESIDENT,CA,133366.0,164484.0,297850.0,1,5.219999999999999,55.22,CA,Kern,839631,8131.916,30.725,8162.641,35.34662,-118.7295
90,2000,6031,PRESIDENT,CA,11041.0,16377.0,27418.0,1,9.729999999999997,59.73,CA,Kings,152982,1389.420,2.111,1391.531,36.07247,-119.81553
91,2004,6031,PRESIDENT,CA,10833.0,21003.0,31836.0,1,15.969999999999999,65.97,CA,Kings,152982,1389.420,2.111,1391.531,36.07247,-119.81553
92,2008,6031,PRESIDENT,CA,14747.0,19710.0,34457.0,1,7.200000000000003,57.2,CA,Kings,152982,1389.420,2.111,1391.531,36.07247,-119.81553
93,2012,6031,PRESIDENT,CA,12979.0,17671.0,30650.0,1,7.649999999999999,57.65,CA,Kings,152982,1389.420,2.111,1391.531,36.07247,-119.81553
94,2016,6031,PRESIDENT,CA,13617.0,18093.0,31710.0,1,7.060000000000002,57.06,CA,Kings,152982,1389.420,2.111,1391.531,36.07247,-119.81553
95,2020,6031,PRESIDENT,CA,18699.0,24072.0,42771.0,1,6.280000000000001,56.28,CA,Kings,152982,1389.420,2.111,1391.531,36.07247,-119.81553
96,2000,6033,PRESIDENT,CA,10717.0,8699.0,19416.0,0,5.200000000000003,55.2,CA,Lake,64665,1256.464,72.959,1329.423,39.0948,-122.74675
97,2004,6033,PRESIDENT,CA,9679.0,8185.0,17864.0,0,4.18,54.18,CA,Lake,64665,1256.464,72.959,1329.423,39.0948,-122.74675
98,2008,6033,PRESIDENT,CA,14854.0,9935.0,24789.0,0,9.920000000000002,59.92,CA,Lake,64665,1256.464,72.959,1329.423,39.0948,-122.74675
99,2012,6033,PRESIDENT,CA,13163.0,9200.0,22363.0,0,8.86,58.86,CA,Lake,64665,1256.464,72.959,1329.423,39.0948,-122.74675
100,2016,6033,PRESIDENT,CA,11496.0,10599.0,22095.0,0,2.030000000000001,52.03,CA,Lake,64665,1256.464,72.959,1329.423,39.0948,-122.74675
101,2020,6033,PRESIDENT,CA,14941.0,13123.0,28064.0,0,3.240000000000002,53.24,CA,Lake,64665,1256.464,72.959,1329.423,39.0948,-122.74675
102,2000,6035,PRESIDENT,CA,2982.0,7080.0,10062.0,1,20.36,70.36,CA,Lassen,34895,4541.184,178.935,4720.119,40.72108,-120.62993
103,2004,6035,PRESIDENT,CA,3158.0,8126.0,11284.0,1,22.010000000000005,72.01,CA,Lassen,34895,4541.184,178.935,4720.119,40.72108,-120.62993
104,2008,6035,PRESIDENT,CA,3586.0,7483.0,11069.0,1,17.599999999999994,67.6,CA,Lassen,34895,4541.184,178.935,4720.119,40.72108,-120.62993
105,2012,6035,PRESIDENT,CA,3053.0,7296.0,10349.0,1,20.5,70.5,CA,Lassen,34895,4541.184,178.935,4720.119,40.72108,-120.62993
106,2016,6035,PRESIDENT,CA,2224.0,7574.0,9798.0,1,27.299999999999997,77.3,CA,Lassen,34895,4541.184,178.935,4720.119,40.72108,-120.62993
107,2020,6035,PRESIDENT,CA,2799.0,8970.0,11769.0,1,26.22,76.22,CA,Lassen,34895,4541.184,178.935,4720.119,40.72108,-120.62993
108,2000,6037,PRESIDENT,CA,1710505.0,871930.0,2582435.0,0,16.239999999999995,66.24,CA,Los Angeles,9818605,4057.884,693.058,4750.942,34.19639,-118.26186
109,2004,6037,PRESIDENT,CA,1907736.0,1076225.0,2983961.0,0,13.93,63.93,CA,Los Angeles,9818605,4057.884,693.058,4750.942,34.19639,-118.26186
110,2008,6037,PRESIDENT,CA,2295853.0,956425.0,3252278.0,0,20.590000000000003,70.59,CA,Los Angeles,9818605,4057.884,693.058,4750.942,34.19639,-118.26186
111,2012,6037,PRESIDENT,CA,2216903.0,885333.0,3102236.0,0,21.459999999999994,71.46,CA,Los Angeles,9818605,4057.884,693.058,4750.942,34.19639,-118.26186
112,2016,6037,PRESIDENT,CA,2464364.0,769743.0,3234107.0,0,26.200000000000003,76.2,CA,Los Angeles,9818605,4057.884,693.058,4750.942,34.19639,-118.26186
113,2020,6037,PRESIDENT,CA,3028885.0,1145530.0,4174415.0,0,22.560000000000002,72.56,CA,Los Angeles,9818605,4057.884,693.058,4750.942,34.19639,-118.26186
114,2000,6039,PRESIDENT,CA,11650.0,20283.0,31933.0,1,13.520000000000003,63.52,CA,Madera,150865,2137.069,16.200,2153.269,37.21003,-119.74985
115,2004,6039,PRESIDENT,CA,13481.0,24871.0,38352.0,1,14.849999999999994,64.85,CA,Madera,150865,2137.069,16.200,2153.269,37.21003,-119.74985
116,2008,6039,PRESIDENT,CA,17952.0,23583.0,41535.0,1,6.780000000000001,56.78,CA,Madera,150865,2137.069,16.200,2153.269,37.21003,-119.74985
117,2012,6039,PRESIDENT,CA,16018.0,22852.0,38870.0,1,8.79,58.79,CA,Madera,150865,2137.069,16.200,2153.269,37.21003,-119.74985
118,2016,6039,PRESIDENT,CA,17029.0,23357.0,40386.0,1,7.829999999999998,57.83,CA,Madera,150865,2137.069,16.200,2153.269,37.21003,-119.74985
119,2020,6039,PRESIDENT,CA,23168.0,29378.0,52546.0,1,5.909999999999997,55.91,CA,Madera,150865,2137.069,16.200,2153.269,37.21003,-119.74985
120,2000,6041,PRESIDENT,CA,79135.0,34872.0,114007.0,0,19.409999999999997,69.41,CA,Marin,252409,520.306,307.886,828.192,38.05181,-122.74597
121,2004,6041,PRESIDENT,CA,99070.0,34378.0,133448.0,0,24.239999999999995,74.24,CA,Marin,252409,520.306,307.886,828.192,38.05181,-122.74597
122,2008,6041,PRESIDENT,CA,109320.0,28384.0,137704.0,0,29.39,79.39,CA,Marin,252409,520.306,307.886,828.192,38.05181,-122.74597
123,2012,6041,PRESIDENT,CA,99896.0,30880.0,130776.0,0,26.39,76.39,CA,Marin,252409,520.306,307.886,828.192,38.05181,-122.74597
124,2016,6041,PRESIDENT,CA,108707.0,21771.0,130478.0,0,33.31,83.31,CA,Marin,252409,520.306,307.886,828.192,38.05181,-122.74597
125,2020,6041,PRESIDENT,CA,128288.0,24612.0,152900.0,0,33.900000000000006,83.9,CA,Marin,252409,520.306,307.886,828.192,38.05181,-122.74597
