fips,vax_percentage
6001,0.960919313882987
6005,0.9224615384615383
6007,0.9407571214392804
6009,0.8959375
6011,0.9707449856733525
6013,0.961462093862816
6015,0.9358713136729223
6017,0.8840620842572063
6019,0.9602081388324455
6021,0.9546123260437375
6023,0.8970861833105337
6025,0.9714214046822741
6027,0.9590731707317074
6029,0.9082505950357023
6031,0.9711847783444487
6033,0.9307858048162232
6035,0.9501242236024845
6037,0.9445693236401402
6039,0.9484259259259259
6041,0.9550839694656488
6043,0.8914851485148515
6045,0.8739794007490638
6047,0.9713696467337674
6049,0.9688659793814431
6051,0.95
6053,0.968357846853677
6055,0.948380797396257
6057,0.8158986175115208
6059,0.9571250852543991
6061,0.9177728973483
6063,0.8575806451612904
6065,0.9614540861812779
6067,0.9318329512608392
6069,0.966948310139165
6071,0.9478206798164
6073,0.9232091981622146
6075,0.9462445232630919
6077,0.9587135881461526
6079,0.9488929484837413
6081,0.9573108604739576
6083,0.9689075336479634
6085,0.9663712065136937
6087,0.9169696010132995
6089,0.893607367475292
6091,0.95
6093,0.8863438256658596
6095,0.9692827386343054
6097,0.9126846205962059
6099,0.9546904127829561
6101,0.6986141804788213
6103,0.9527697441601779
6105,0.98
6107,0.9724163652802892
6109,0.9220377358490565
6111,0.964788628392099
6113,0.9662143407864301
6115,0.925732342007435
