fips,vax_percentage
17001,0.9897487994089398
17009,0.9848101265822785
17017,0.9779029462738301
17137,0.9853853853853853
17149,0.9924633082110274
17171,0.9803695150115473
17005,0.9868718877320054
17021,0.9878992263439794
17049,0.9894583198183587
17051,0.9928366762177651
17135,0.9878515185601799
17007,0.9874201277955271
17201,0.9769954619570556
17031,0.9795248822147269
17015,0.9597806215722121
17085,0.9796456841311723
17177,0.9818766442560655
17019,0.9859413427302426
17053,0.9898434193821414
17029,0.9834988540870894
17035,0.982725527831094
17041,0.9806070826306914
17045,0.9922033898305085
17139,0.9835777126099706
17173,0.9902392947103275
17025,0.9892611683848798
17033,0.9774568510038746
17079,0.9665676077265973
17101,0.9962756052141527
17159,0.9898534385569335
17027,0.9863990711560789
17081,0.9886199421965318
17121,0.9891107078039928
17189,0.996642685851319
17037,0.9800698699959911
17039,0.9821774506005424
17105,0.9826964671953857
17107,0.9889663182346109
17113,0.9831578947368421
17043,0.9794510494642595
17047,0.9933110367892977
17059,0.9817945383615084
17065,0.9876543209876543
17069,1.0
17151,0.9155206286836935
17165,0.9864657814096016
17185,0.9908980582524272
17191,0.983132530120482
17193,0.9857781389678992
17055,0.9908981624592135
17087,0.9863582443653618
17127,0.9152073732718893
17199,0.9833694866232827
17063,0.9810313739632167
17093,0.9794059265560754
17057,0.9884659746251442
17067,0.9906728847435043
17109,0.9789443322757427
17169,0.9818511796733213
17011,0.9835205992509364
17073,0.9826556397886516
17175,0.9895712630359212
17003,0.9851951547779273
17077,0.9802306425041186
17145,0.9924111762676785
17153,0.9516129032258065
17181,0.9886363636363636
17089,0.9805895324671204
17075,0.9922374429223745
17091,0.9737105526579211
17071,0.9689922480620154
17095,0.9737984944991315
17131,0.963963963963964
17187,0.9885918003565063
17097,0.9840318370126554
17099,0.9825549700163547
17123,0.9958437240232751
17155,0.9767711962833913
17115,0.9906000225149161
17147,0.9894353369763206
17013,0.9966666666666667
17061,0.9927884615384616
17083,0.9884823848238482
17117,0.9882566585956416
17119,0.9872672114085785
17111,0.9795766511973996
17133,0.9845585767035918
17157,0.9861729552378721
17103,0.9583043780403058
17141,0.979307292243001
17195,0.9829121047784714
17143,0.9812247352420406
17161,0.9798093101514301
17163,0.9729265780567953
17129,0.9705623901581723
17167,0.9827218705593592
17125,0.9933619679812573
17179,0.9781830333699336
17203,0.9808296668761785
17183,0.9781496575045522
17197,0.9830177612405374
17023,0.9941815360744763
